player_name,player_name,league_name,year,fee,market_value_in_eur,player_position,from_club_name,to_club_name,perf_before_goals,perf_before_assists,perf_before_minutes,perf_before_matches,perf_after_goals,perf_after_assists,perf_after_minutes,perf_after_matches,goal_change,assist_change
Iliman Ndiaye,Iliman Ndiaye,Ligue 1,2023,17000000.0,18000000.0,Attack,Sheff Utd,Marseille,,,,,3.0,3.0,1618.0,30.0,,
Lesley Ugochukwu,Lesley Ugochukwu,Premier League,2023,27000000.0,9000000.0,Midfield,Stade Rennais,Chelsea,,,,,0.0,0.0,301.0,12.0,,
Bastien Meupiyou,Bastien Meupiyou,Ligue 1,2023,,,Defender,FC Nantes B,FC Nantes,,,,,0.0,0.0,8.0,1.0,,
Benoît Costil,Benoît Costil,Serie A,2023,0.0,1000000.0,Goalkeeper,LOSC Lille,Salernitana,,,,,0.0,0.0,1170.0,13.0,,
Florent Hanin,Florent Hanin,Ligue 1,2023,0.0,600000.0,Defender,Paris FC,Angers SCO,,,,,,,,,,
Stefano Gori,Stefano Gori,Serie A,2023,0.0,900000.0,Goalkeeper,Juventus,Monza,,,,,,,,,,
Maximilian Wöber,Maximilian Wöber,Bundesliga,2023,0.0,14000000.0,Defender,Leeds,Bor. M'gladbach,0.0,1.0,1846.0,27.0,2.0,3.0,2066.0,25.0,2.0,2.0
Jorge Meré,Jorge Meré,Primera Division,2023,0.0,1200000.0,Defender,América,Cádiz CF,0.0,0.0,601.0,10.0,0.0,0.0,673.0,10.0,0.0,0.0
Giuseppe Pezzella,Giuseppe Pezzella,Serie A,2023,0.0,2500000.0,Defender,Parma,FC Empoli,0.0,1.0,918.0,16.0,0.0,0.0,1085.0,19.0,0.0,-1.0
Stephy Mavididi,Stephy Mavididi,Premier League,2023,7500000.0,6000000.0,Attack,Montpellier,Leicester,,,,,,,,,,
Florian Ayé,Florian Ayé,Ligue 1,2023,1500000.0,1300000.0,Attack,Brescia,AJ Auxerre,,,,,,,,,,
Matías Viña,Matías Viña,Serie A,2023,0.0,8000000.0,Defender,AS Roma,Sassuolo,0.0,0.0,55.0,3.0,0.0,3.0,1014.0,15.0,0.0,3.0
Carl Rushworth,Carl Rushworth,Premier League,2023,0.0,900000.0,Goalkeeper,Brighton,Swansea,,,,,,,,,,
Lamine Diack,Lamine Diack,Ligue 1,2023,0.0,1700000.0,Midfield,Ankaragücü,FC Nantes,,,,,0.0,0.0,1.0,1.0,,
Mykola Kukharevych,Mykola Kukharevych,Premier League,2023,2000000.0,500000.0,Attack,Troyes,Swansea,,,,,,,,,,
Rubén Blanco,Rubén Blanco,Ligue 1,2023,1500000.0,4000000.0,Goalkeeper,Celta de Vigo,Marseille,0.0,0.0,495.0,6.0,0.0,0.0,121.0,2.0,0.0,0.0
Munir El Haddadi,Munir El Haddadi,Primera Division,2023,0.0,3500000.0,Attack,Getafe,UD Las Palmas,3.0,1.0,1150.0,28.0,3.0,2.0,2449.0,38.0,0.0,1.0
Arnau Tenas,Arnau Tenas,Ligue 1,2023,0.0,5000000.0,Goalkeeper,Barça Atlètic,Paris SG,,,,,0.0,1.0,529.0,6.0,,
El Bilal Touré,El Bilal Touré,Serie A,2023,29100000.0,12000000.0,Attack,UD Almería,Atalanta BC,,,,,2.0,0.0,394.0,11.0,,
Florian Lejeune,Florian Lejeune,Primera Division,2023,2500000.0,4000000.0,Defender,Alavés,Rayo Vallecano,4.0,0.0,2565.0,31.0,3.0,1.0,3327.0,37.0,-1.0,1.0
Georgios Kyriakopoulos,Georgios Kyriakopoulos,Serie A,2023,0.0,3800000.0,Midfield,Sassuolo,Monza,0.0,2.0,704.0,12.0,0.0,3.0,1712.0,28.0,0.0,1.0
Calvin Bassey,Calvin Bassey,Premier League,2023,22500000.0,15000000.0,Defender,Ajax,Fulham,,,,,1.0,0.0,2303.0,29.0,,
Ryan Giles,Ryan Giles,Premier League,2023,5850000.0,9000000.0,Defender,Wolves,Luton,0.0,1.0,148.0,4.0,0.0,0.0,503.0,11.0,0.0,-1.0
Rafa Marín,Rafa Marín,Primera Division,2023,0.0,500000.0,Defender,Real Madrid,Alavés,,,,,0.0,0.0,2443.0,33.0,,
Eliezer Mayenda,Eliezer Mayenda,Premier League,2023,800000.0,300000.0,Attack,FC Sochaux,Sunderland,,,,,,,,,,
Mathis Lambourde,Mathis Lambourde,Ligue 1,2023,,,Attack,Rennes B,Stade Rennais,,,,,0.0,0.0,10.0,1.0,,
Maxime Colin,Maxime Colin,Ligue 1,2023,0.0,1200000.0,Defender,Birmingham,FC Metz,,,,,0.0,0.0,1832.0,22.0,,
Wladimiro Falcone,Wladimiro Falcone,Serie A,2023,4000000.0,5000000.0,Goalkeeper,Sampdoria,Lecce,0.0,0.0,3420.0,38.0,0.0,0.0,3420.0,38.0,0.0,0.0
Gerard Gumbau,Gerard Gumbau,Primera Division,2023,0.0,3500000.0,Midfield,Elche CF,Granada CF,1.0,6.0,2737.0,35.0,0.0,3.0,2674.0,35.0,-1.0,-3.0
Jacob Bruun Larsen,Jacob Bruun Larsen,Premier League,2023,0.0,3000000.0,Attack,TSG Hoffenheim,Burnley,,,,,6.0,0.0,1249.0,32.0,,
Andrei Radu,Andrei Radu,Premier League,2023,0.0,3500000.0,Goalkeeper,Inter,Bournemouth,,,,,,,,,,
Jérémy Livolant,Jérémy Livolant,Ligue 1,2023,1250000.0,2500000.0,Attack,Guingamp,G. Bordeaux,,,,,,,,,,
Jamal Lewis,Jamal Lewis,Premier League,2023,0.0,6000000.0,Defender,Newcastle,Watford,0.0,0.0,11.0,2.0,,,,,,
Mark Travers,Mark Travers,Premier League,2023,0.0,2000000.0,Goalkeeper,Bournemouth,Stoke City,0.0,0.0,1035.0,12.0,0.0,0.0,360.0,4.0,0.0,0.0
Eldor Shomurodov,Eldor Shomurodov,Serie A,2023,0.0,6000000.0,Attack,AS Roma,Cagliari,0.0,0.0,119.0,6.0,3.0,3.0,936.0,22.0,3.0,3.0
Samuel Chukwueze,Samuel Chukwueze,Serie A,2023,21100000.0,25000000.0,Attack,Villarreal,AC Milan,,,,,1.0,3.0,1017.0,24.0,,
Benedict Hollerbach,Benedict Hollerbach,Bundesliga,2023,2000000.0,1200000.0,Attack,Wehen Wiesbaden,Union Berlin,,,,,5.0,0.0,1282.0,28.0,,
Kell Watts,Kell Watts,Premier League,2023,0.0,300000.0,Defender,Newcastle,Wigan,,,,,,,,,,
Chadi Riad,Chadi Riad,Primera Division,2023,0.0,500000.0,Defender,Barcelona,Real Betis,0.0,0.0,2.0,1.0,0.0,0.0,2164.0,26.0,0.0,0.0
Bradley Locko,Bradley Locko,Ligue 1,2023,500000.0,2500000.0,Defender,Stade Reims,Stade Brestois,0.0,0.0,270.0,7.0,0.0,3.0,2959.0,33.0,0.0,3.0
Isco,Isco,Primera Division,2023,,5000000.0,Midfield,Without Club,Real Betis,0.0,2.0,799.0,12.0,8.0,5.0,2326.0,29.0,8.0,3.0
Alexander Schwolow,Alexander Schwolow,Bundesliga,2023,0.0,900000.0,Goalkeeper,Hertha BSC,Union Berlin,0.0,0.0,2035.0,23.0,0.0,0.0,90.0,1.0,0.0,0.0
Abdoulaye Touré,Abdoulaye Touré,Ligue 1,2023,0.0,1300000.0,Midfield,Genoa,Le Havre AC,,,,,2.0,0.0,2284.0,30.0,,
Johan Mojica,Johan Mojica,Primera Division,2023,0.0,3000000.0,Defender,Villarreal,CA Osasuna,0.0,0.0,270.0,3.0,0.0,3.0,2041.0,30.0,0.0,3.0
Matteo Gabbia,Matteo Gabbia,Primera Division,2023,0.0,5000000.0,Defender,AC Milan,Villarreal,,,,,0.0,0.0,477.0,7.0,,
Igor,Igor,Premier League,2023,16500000.0,10000000.0,Defender,Fiorentina,Brighton,,,,,0.0,0.0,1637.0,24.0,,
Álex Domínguez,Álex Domínguez,Ligue 1,2023,,300000.0,Goalkeeper,UD Las Palmas,Toulouse,,,,,,,,,,
Mateo Retegui,Mateo Retegui,Serie A,2023,15250000.0,16000000.0,Attack,Tigre,Genoa,,,,,7.0,2.0,2216.0,29.0,,
Alberto Marí,Alberto Marí,Primera Division,2023,,800000.0,Attack,Valencia B,Valencia,1.0,0.0,86.0,5.0,1.0,1.0,276.0,16.0,0.0,1.0
Christian Kabasele,Christian Kabasele,Serie A,2023,6500000.0,1000000.0,Defender,Watford,Udinese,,,,,1.0,1.0,861.0,13.0,,
Simone Romagnoli,Simone Romagnoli,Serie A,2023,100000.0,750000.0,Defender,Lecce,Frosinone,0.0,0.0,167.0,7.0,1.0,1.0,2715.0,33.0,1.0,1.0
Alexander Nübel,Alexander Nübel,Bundesliga,2023,0.0,8000000.0,Goalkeeper,Bayern Munich,VfB Stuttgart,,,,,0.0,0.0,2700.0,30.0,,
Raúl Jiménez,Raúl Jiménez,Premier League,2023,6400000.0,6000000.0,Attack,Wolves,Fulham,0.0,1.0,846.0,15.0,7.0,0.0,1395.0,24.0,7.0,-1.0
Jérémie Boga,Jérémie Boga,Ligue 1,2023,17000000.0,14000000.0,Attack,Atalanta BC,OGC Nice,1.0,1.0,743.0,19.0,6.0,6.0,1998.0,28.0,5.0,5.0
Alexander Sørloth,Alexander Sørloth,Primera Division,2023,10000000.0,12000000.0,Attack,RB Leipzig,Villarreal,12.0,3.0,2386.0,34.0,23.0,6.0,2489.0,34.0,11.0,3.0
Aiyegun Tosin,Aiyegun Tosin,Ligue 1,2023,4000000.0,3200000.0,Attack,FC Zürich,FC Lorient,,,,,,,,,,
Eros Maddy,Eros Maddy,Ligue 1,2023,450000.0,250000.0,Attack,Helmond Sport,AJ Auxerre,,,,,,,,,,
Antonio Blanco,Antonio Blanco,Primera Division,2023,4000000.0,5000000.0,Midfield,Real Madrid,Alavés,0.0,0.0,158.0,3.0,0.0,1.0,2426.0,33.0,0.0,1.0
Jeremy Sarmiento,Jeremy Sarmiento,Premier League,2023,0.0,5000000.0,Attack,Brighton,West Brom,0.0,1.0,176.0,9.0,,,,,,
Anthony Elanga,Anthony Elanga,Premier League,2023,17500000.0,18000000.0,Attack,Man Utd,Nottm Forest,0.0,1.0,426.0,16.0,5.0,9.0,2433.0,36.0,5.0,8.0
Luca Koleosho,Luca Koleosho,Premier League,2023,3000000.0,1000000.0,Attack,RCD Espanyol B,Burnley,,,,,1.0,1.0,974.0,15.0,,
Lucas Pires,Lucas Pires,Primera Division,2023,0.0,1500000.0,Defender,Santos,Cádiz CF,3.0,0.0,628.0,14.0,,,,,,
Marc Bartra,Marc Bartra,Primera Division,2023,0.0,3700000.0,Defender,Trabzonspor,Real Betis,,,,,0.0,0.0,225.0,3.0,,
Marcel Sabitzer,Marcel Sabitzer,Bundesliga,2023,19000000.0,20000000.0,Midfield,Bayern Munich,Bor. Dortmund,1.0,1.0,628.0,15.0,4.0,3.0,1961.0,25.0,3.0,2.0
Morgan Sanson,Morgan Sanson,Ligue 1,2023,0.0,6000000.0,Midfield,Aston Villa,OGC Nice,1.0,2.0,1419.0,18.0,2.0,3.0,1964.0,29.0,1.0,1.0
Attila Szalai,Attila Szalai,Bundesliga,2023,12300000.0,14000000.0,Defender,Fenerbahce,TSG Hoffenheim,,,,,0.0,0.0,103.0,3.0,,
Enric Franquesa,Enric Franquesa,Primera Division,2023,0.0,800000.0,Defender,Levante,CD Leganés,,,,,,,,,,
Aarón Escandell,Aarón Escandell,Primera Division,2023,400000.0,1000000.0,Goalkeeper,FC Cartagena,UD Las Palmas,,,,,0.0,0.0,153.0,2.0,,
Marco Sala,Marco Sala,Serie A,2023,0.0,1100000.0,Defender,Sassuolo,Como,,,,,,,,,,
Ismaïla Sarr,Ismaïla Sarr,Ligue 1,2023,13000000.0,20000000.0,Attack,Watford,Marseille,,,,,3.0,4.0,1447.0,23.0,,
Elia Caprile,Elia Caprile,Serie A,2023,0.0,4000000.0,Goalkeeper,Napoli,FC Empoli,,,,,0.0,0.0,2070.0,23.0,,
Elia Caprile,Elia Caprile,Serie A,2023,7000000.0,4000000.0,Goalkeeper,Bari,Napoli,,,,,0.0,0.0,2070.0,23.0,,
Abdukodir Khusanov,Abdukodir Khusanov,Ligue 1,2023,450000.0,400000.0,Defender,Energetik-BGU,Lens,,,,,0.0,0.0,809.0,11.0,,
Adrien Tamèze,Adrien Tamèze,Serie A,2023,2800000.0,6000000.0,Midfield,Hellas Verona,Torino,0.0,0.0,3031.0,37.0,0.0,2.0,2146.0,29.0,0.0,2.0
Arnaut Danjuma,Arnaut Danjuma,Premier League,2023,0.0,25000000.0,Attack,Villarreal,Everton,1.0,0.0,169.0,9.0,1.0,0.0,595.0,14.0,0.0,0.0
Harvey Barnes,Harvey Barnes,Premier League,2023,44000000.0,35000000.0,Attack,Leicester,Newcastle,13.0,1.0,2711.0,34.0,5.0,3.0,802.0,21.0,-8.0,2.0
Josh Wilson-Esbrand,Josh Wilson-Esbrand,Ligue 1,2023,0.0,1500000.0,Defender,Man City,Stade Reims,,,,,1.0,1.0,461.0,11.0,,
Samuel Umtiti,Samuel Umtiti,Ligue 1,2023,0.0,4000000.0,Defender,Barcelona,LOSC Lille,,,,,0.0,0.0,185.0,6.0,,
Ola Aina,Ola Aina,Premier League,2023,0.0,3500000.0,Defender,Torino,Nottm Forest,,,,,1.0,1.0,1692.0,22.0,,
Iván Martín,Iván Martín,Primera Division,2023,2000000.0,3000000.0,Midfield,Villarreal,Girona,3.0,3.0,1586.0,24.0,5.0,4.0,2729.0,36.0,2.0,1.0
Noah Okafor,Noah Okafor,Serie A,2023,15500000.0,20000000.0,Attack,RB Salzburg,AC Milan,,,,,6.0,2.0,887.0,28.0,,
Arthur Melo,Arthur Melo,Serie A,2023,0.0,15000000.0,Midfield,Juventus,Fiorentina,,,,,2.0,3.0,1986.0,33.0,,
Moussa Diaby,Moussa Diaby,Premier League,2023,55000000.0,50000000.0,Attack,B. Leverkusen,Aston Villa,,,,,6.0,8.0,2174.0,38.0,,
Joseph Okumu,Joseph Okumu,Ligue 1,2023,10000000.0,4000000.0,Defender,KAA Gent,Stade Reims,,,,,1.0,0.0,1743.0,21.0,,
Emanuel Emegha,Emanuel Emegha,Ligue 1,2023,13000000.0,8000000.0,Attack,Sturm Graz,R. Strasbourg,,,,,8.0,1.0,2078.0,28.0,,
Liam Shaw,Liam Shaw,Premier League,2023,0.0,500000.0,Midfield,Celtic,Wigan,,,,,,,,,,
Victor Boniface,Victor Boniface,Bundesliga,2023,21700000.0,12000000.0,Attack,Union SG,B. Leverkusen,,,,,14.0,8.0,1546.0,23.0,,
Chiquinho,Chiquinho,Premier League,2023,0.0,2000000.0,Attack,Wolves,Stoke City,,,,,,,,,,
Ibou Sané,Ibou Sané,Ligue 1,2023,,,Attack,Génération Foot,FC Metz,,,,,1.0,0.0,128.0,9.0,,
Sadibou Sané,Sadibou Sané,Ligue 1,2023,,,Defender,Génération Foot,FC Metz,,,,,0.0,0.0,846.0,14.0,,
Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,Ligue 1,2023,0.0,4000000.0,Attack,Chelsea,Marseille,,,,,17.0,8.0,2622.0,34.0,,
Riccardo Saponara,Riccardo Saponara,Serie A,2023,0.0,2000000.0,Midfield,Fiorentina,Hellas Verona,4.0,3.0,1208.0,29.0,0.0,0.0,342.0,12.0,-4.0,-3.0
Andrea Bertolacci,Andrea Bertolacci,Serie A,2023,0.0,1300000.0,Midfield,Karagümrük,Cremonese,,,,,,,,,,
Nathan Redmond,Nathan Redmond,Premier League,2023,0.0,10000000.0,Attack,Besiktas,Burnley,0.0,0.0,1.0,1.0,0.0,0.0,142.0,12.0,0.0,0.0
Emmanuel Gyasi,Emmanuel Gyasi,Serie A,2023,2000000.0,2000000.0,Midfield,Spezia Calcio,FC Empoli,2.0,0.0,2810.0,35.0,1.0,2.0,1879.0,33.0,-1.0,2.0
Dylan Batubinsika,Dylan Batubinsika,Ligue 1,2023,,1200000.0,Defender,Famalicão,Saint-Étienne,,,,,,,,,,
Reda Khadra,Reda Khadra,Ligue 1,2023,1900000.0,1400000.0,Midfield,Brighton,Stade Reims,,,,,1.0,3.0,1368.0,29.0,,
Ki-Jana Hoever,Ki-Jana Hoever,Premier League,2023,0.0,3500000.0,Defender,Wolves,Stoke City,,,,,,,,,,
Taty Castellanos,Taty Castellanos,Serie A,2023,15000000.0,15000000.0,Attack,New York City,Lazio,,,,,,,,,,
Issa Kaboré,Issa Kaboré,Premier League,2023,0.0,7000000.0,Defender,Man City,Luton,,,,,0.0,2.0,1729.0,24.0,,
Giuliano Simeone,Giuliano Simeone,Primera Division,2023,0.0,2500000.0,Attack,Atlético Madrid,Alavés,,,,,1.0,2.0,630.0,14.0,,
Frank Magri,Frank Magri,Ligue 1,2023,2000000.0,1000000.0,Attack,SC Bastia,Toulouse,,,,,5.0,2.0,1438.0,29.0,,
Jean N'Guessan,Jean N'Guessan,Ligue 1,2023,400000.0,1200000.0,Midfield,OGC Nice,FC Metz,,,,,,,,,,
Christian Gytkjaer,Christian Gytkjaer,Serie A,2023,0.0,800000.0,Attack,Monza,Venezia,1.0,0.0,559.0,22.0,,,,,,
Matt Doherty,Matt Doherty,Premier League,2023,0.0,5000000.0,Defender,Atlético Madrid,Wolves,1.0,0.0,667.0,12.0,1.0,0.0,1150.0,30.0,0.0,0.0
André Onana,André Onana,Premier League,2023,50200000.0,35000000.0,Goalkeeper,Inter,Man Utd,,,,,0.0,0.0,3420.0,38.0,,
Marvelous Nakamba,Marvelous Nakamba,Premier League,2023,2900000.0,4000000.0,Midfield,Aston Villa,Luton,,,,,0.0,0.0,1130.0,13.0,,
Rúben Vinagre,Rúben Vinagre,Premier League,2023,0.0,4000000.0,Midfield,Sporting CP,Hull City,0.0,0.0,26.0,2.0,,,,,,
Oussama El Azzouzi,Oussama El Azzouzi,Serie A,2023,2290000.0,800000.0,Midfield,Union SG,Bologna,,,,,2.0,2.0,547.0,18.0,,
James Trafford,James Trafford,Premier League,2023,17300000.0,15000000.0,Goalkeeper,Man City U21,Burnley,,,,,0.0,0.0,2520.0,28.0,,
Dominique Youfeigane,Dominique Youfeigane,Ligue 1,2023,0.0,300000.0,Goalkeeper,Guingamp,FC Lorient,,,,,,,,,,
Gaetano Oristanio,Gaetano Oristanio,Serie A,2023,0.0,1000000.0,Midfield,Inter,Cagliari,,,,,2.0,1.0,1104.0,25.0,,
Carlos Dotor,Carlos Dotor,Primera Division,2023,3000000.0,700000.0,Midfield,RM Castilla,Celta de Vigo,,,,,0.0,0.0,708.0,17.0,,
Formose Mendy,Formose Mendy,Ligue 1,2023,7500000.0,3000000.0,Defender,Amiens SC,FC Lorient,,,,,0.0,0.0,1256.0,18.0,,
Abdoulaye Ndiaye,Abdoulaye Ndiaye,Ligue 1,2023,3500000.0,1500000.0,Defender,Olympique Lyon,Troyes,,,,,,,,,,
José Ángel Carmona,José Ángel Carmona,Primera Division,2023,0.0,4000000.0,Defender,Sevilla FC,Getafe,,,,,,,,,,
Milos Kerkez,Milos Kerkez,Premier League,2023,17870000.0,15000000.0,Defender,AZ Alkmaar,Bournemouth,,,,,0.0,1.0,1970.0,28.0,,
Omari Hutchinson,Omari Hutchinson,Premier League,2023,0.0,1000000.0,Midfield,Chelsea,Ipswich,0.0,0.0,23.0,1.0,,,,,,
Oriol Romeu,Oriol Romeu,Primera Division,2023,3400000.0,5000000.0,Midfield,Girona,Barcelona,2.0,0.0,2950.0,33.0,0.0,1.0,936.0,28.0,-2.0,1.0
Juan Cuadrado,Juan Cuadrado,Serie A,2023,0.0,4000000.0,Midfield,Juventus,Inter,1.0,3.0,2078.0,31.0,0.0,2.0,267.0,10.0,-1.0,-1.0
Jonas Martin,Jonas Martin,Ligue 1,2023,0.0,1500000.0,Midfield,LOSC Lille,Stade Brestois,0.0,0.0,277.0,12.0,0.0,1.0,1208.0,31.0,0.0,1.0
Benjamin Mendy,Benjamin Mendy,Ligue 1,2023,0.0,3000000.0,Defender,Man City,FC Lorient,,,,,2.0,1.0,711.0,15.0,,
Lucas Tousart,Lucas Tousart,Bundesliga,2023,2800000.0,9000000.0,Midfield,Hertha BSC,Union Berlin,5.0,2.0,2944.0,33.0,0.0,0.0,1572.0,23.0,-5.0,-2.0
Tijjani Reijnders,Tijjani Reijnders,Serie A,2023,20500000.0,14000000.0,Midfield,AZ Alkmaar,AC Milan,,,,,3.0,3.0,2820.0,36.0,,
Zeki Amdouni,Zeki Amdouni,Premier League,2023,18600000.0,10000000.0,Attack,FC Basel,Burnley,,,,,5.0,1.0,1953.0,34.0,,
Xavi Simons,Xavi Simons,Bundesliga,2023,0.0,40000000.0,Midfield,Paris SG,RB Leipzig,,,,,8.0,11.0,2653.0,32.0,,
James Balagizi,James Balagizi,Premier League,2023,0.0,,Midfield,Liverpool U21,Wigan,,,,,,,,,,
Zinedin Smajlovic,Zinedin Smajlovic,Serie A,2023,100000.0,,Defender,Täby FK,Lecce,,,,,,,,,,
Jonny Evans,Jonny Evans,Premier League,2023,0.0,2000000.0,Defender,Leicester,Man Utd,0.0,0.0,1051.0,13.0,0.0,1.0,1392.0,23.0,0.0,1.0
Geoffrey Lembet,Geoffrey Lembet,Ligue 1,2023,0.0,150000.0,Goalkeeper,CS Sedan,Stade Rennais,,,,,,,,,,
Héctor Bellerín,Héctor Bellerín,Primera Division,2023,0.0,8000000.0,Defender,Sporting CP,Real Betis,0.0,0.0,143.0,3.0,0.0,1.0,1711.0,23.0,0.0,1.0
Tommaso Augello,Tommaso Augello,Serie A,2023,2000000.0,2000000.0,Defender,Sampdoria,Cagliari,2.0,5.0,3061.0,37.0,1.0,1.0,2418.0,32.0,-1.0,-4.0
Jonathan Bamba,Jonathan Bamba,Primera Division,2023,0.0,20000000.0,Attack,LOSC Lille,Celta de Vigo,,,,,3.0,2.0,1981.0,27.0,,
Jason Lokilo,Jason Lokilo,Premier League,2023,,700000.0,Attack,Sparta R.,Hull City,,,,,,,,,,
Christoph Klarer,Christoph Klarer,Bundesliga,2023,2000000.0,2200000.0,Defender,F. Düsseldorf,Darmstadt 98,0.0,0.0,2222.0,29.0,2.0,2.0,2354.0,30.0,2.0,2.0
Siebe Van der Heyden,Siebe Van der Heyden,Primera Division,2023,2700000.0,4000000.0,Defender,Union SG,RCD Mallorca,,,,,0.0,0.0,286.0,6.0,,
Mads Hermansen,Mads Hermansen,Premier League,2023,7700000.0,3500000.0,Goalkeeper,Bröndby IF,Leicester,,,,,,,,,,
Hamza Rafia,Hamza Rafia,Serie A,2023,800000.0,600000.0,Midfield,Pescara,Lecce,,,,,1.0,0.0,1204.0,28.0,,
Ignace Van der Brempt,Ignace Van der Brempt,Bundesliga,2023,0.0,3000000.0,Defender,RB Salzburg,Hamburger SV,,,,,,,,,,
Min-jae Kim,Min-jae Kim,Bundesliga,2023,50000000.0,60000000.0,Defender,Napoli,Bayern Munich,,,,,,,,,,
Xavi Simons,Xavi Simons,Ligue 1,2023,4000000.0,40000000.0,Midfield,PSV Eindhoven,Paris SG,,,,,,,,,,
Pablo Torre,Pablo Torre,Primera Division,2023,0.0,3000000.0,Midfield,Barcelona,Girona,0.0,0.0,144.0,8.0,0.0,2.0,701.0,26.0,0.0,2.0
El Chadaille Bitshiabu,El Chadaille Bitshiabu,Bundesliga,2023,15000000.0,7000000.0,Defender,Paris SG,RB Leipzig,,,,,0.0,0.0,34.0,6.0,,
Bénie Traoré,Bénie Traoré,Premier League,2023,4600000.0,3500000.0,Attack,Häcken,Sheff Utd,,,,,0.0,0.0,387.0,8.0,,
Asmir Begovic,Asmir Begovic,Premier League,2023,0.0,800000.0,Goalkeeper,Everton,QPR,0.0,0.0,90.0,1.0,,,,,,
Alfonso Espino,Alfonso Espino,Primera Division,2023,0.0,3500000.0,Defender,Cádiz CF,Rayo Vallecano,0.0,4.0,3122.0,36.0,0.0,1.0,2507.0,31.0,0.0,-3.0
Marc Roca,Marc Roca,Primera Division,2023,0.0,10000000.0,Midfield,Leeds,Real Betis,,,,,2.0,2.0,1980.0,26.0,,
Jorge Sáenz,Jorge Sáenz,Primera Division,2023,400000.0,1000000.0,Defender,Valencia,CD Leganés,,,,,,,,,,
Filippo Ranocchia,Filippo Ranocchia,Serie A,2023,0.0,1800000.0,Midfield,Juventus,FC Empoli,1.0,0.0,530.0,14.0,0.0,0.0,476.0,9.0,-1.0,0.0
Yasser Larouci,Yasser Larouci,Premier League,2023,0.0,3500000.0,Defender,Troyes,Sheff Utd,,,,,0.0,0.0,531.0,11.0,,
Raúl Moro,Raúl Moro,Primera Division,2023,0.0,2500000.0,Attack,Lazio,Real Valladolid,,,,,,,,,,
Hákon Arnar Haraldsson,Hákon Arnar Haraldsson,Ligue 1,2023,15000000.0,6000000.0,Midfield,FC Copenhagen,LOSC Lille,,,,,2.0,0.0,1284.0,26.0,,
Rassoul Ndiaye,Rassoul Ndiaye,Ligue 1,2023,1500000.0,4000000.0,Midfield,FC Sochaux,Le Havre AC,,,,,0.0,0.0,526.0,19.0,,
Dembo Sylla,Dembo Sylla,Ligue 1,2023,1000000.0,600000.0,Defender,Stade Lavallois,FC Lorient,,,,,0.0,0.0,45.0,1.0,,
Giuseppe Ciocci,Giuseppe Ciocci,Serie A,2023,0.0,250000.0,Goalkeeper,Cagliari,Pescara,,,,,,,,,,
Lewis O'Brien,Lewis O'Brien,Premier League,2023,0.0,8000000.0,Midfield,D.C. United,Nottm Forest,1.0,0.0,584.0,13.0,,,,,,
Ângelo,Ângelo,Premier League,2023,15000000.0,13000000.0,Attack,Santos,Chelsea,,,,,,,,,,
Alessio Cragno,Alessio Cragno,Serie A,2023,0.0,3000000.0,Goalkeeper,Monza,Sassuolo,0.0,0.0,90.0,1.0,0.0,0.0,270.0,3.0,0.0,0.0
Philipp Köhn,Philipp Köhn,Ligue 1,2023,8000000.0,4500000.0,Goalkeeper,RB Salzburg,Monaco,,,,,0.0,0.0,1980.0,22.0,,
Jesús Vallejo,Jesús Vallejo,Primera Division,2023,0.0,2000000.0,Defender,Real Madrid,Granada CF,0.0,0.0,22.0,1.0,0.0,0.0,108.0,3.0,0.0,0.0
Jakub Jankto,Jakub Jankto,Serie A,2023,860000.0,1000000.0,Midfield,Getafe,Cagliari,,,,,1.0,2.0,872.0,18.0,,
Declan Rice,Declan Rice,Premier League,2023,116600000.0,90000000.0,Midfield,West Ham,Arsenal,4.0,1.0,3273.0,37.0,7.0,8.0,3225.0,38.0,3.0,7.0
Nikola Sekulov,Nikola Sekulov,Serie A,2023,0.0,600000.0,Attack,Juve Next Gen,Cremonese,,,,,0.0,0.0,11.0,1.0,,
Valentín Carboni,Valentín Carboni,Serie A,2023,0.0,5000000.0,Midfield,Inter,Monza,0.0,0.0,25.0,5.0,2.0,3.0,1169.0,31.0,2.0,3.0
Abakar Sylla,Abakar Sylla,Ligue 1,2023,20000000.0,8000000.0,Defender,Club Brugge,R. Strasbourg,,,,,2.0,0.0,1792.0,22.0,,
Simone Scuffet,Simone Scuffet,Serie A,2023,2000000.0,2000000.0,Goalkeeper,CFR Cluj,Cagliari,,,,,0.0,0.0,2789.0,31.0,,
Lorenzo Venuti,Lorenzo Venuti,Serie A,2023,0.0,2000000.0,Defender,Fiorentina,Lecce,0.0,1.0,924.0,17.0,0.0,0.0,364.0,14.0,0.0,-1.0
Tahith Chong,Tahith Chong,Premier League,2023,4700000.0,3200000.0,Attack,Birmingham,Luton,,,,,4.0,0.0,1982.0,33.0,,
Loïs Openda,Loïs Openda,Bundesliga,2023,40000000.0,35000000.0,Attack,Lens,RB Leipzig,,,,,24.0,7.0,2697.0,34.0,,
Rasmus Kristensen,Rasmus Kristensen,Serie A,2023,0.0,13000000.0,Defender,Leeds,AS Roma,,,,,1.0,1.0,1744.0,29.0,,
