Model,Type,Baseline_F1,Expanded_F1,F1_Change,F1_Change_Pct,Baseline_AUC,Expanded_AUC,AUC_Change,AUC_Change_Pct,Baseline_RMSE,Expanded_RMSE,RMSE_Change,RMSE_Change_Pct,Baseline_R2,Expanded_R2,R2_Change,R2_Change_Pct
Random Forest Clf,Classification,0.6957,0.3225806451612903,-0.37311935483870967,-53.63222004293656,0.9342,0.7549261083743842,-0.1792738916256158,-19.190097583559815,,,,,,,,
Xgboost Clf,Classification,0.7925,0.40559440559440557,-0.3869055944055944,-48.820895193134945,0.9564,0.7317105125248925,-0.22468948747510753,-23.493254650262184,,,,,,,,
Lightgbm Clf,Classification,0.8077,0.42758620689655175,-0.3801137931034482,-47.06125951509821,0.957,0.6900744156796982,-0.2669255843203018,-27.891910587283363,,,,,,,,
Random Forest Reg,Regression,,,,,,,,,1.3731,2.893895934544826,1.520795934544826,110.75638588193331,0.7791,0.1867347960700434,-0.5923652039299566,-76.03198612886108
Xgboost Reg,Regression,,,,,,,,,1.2556,3.2095078000037467,1.9539078000037466,155.61546670944142,0.8153,-0.00032988292393110186,-0.8156298829239311,-100.04046153856632
Lightgbm Reg,Regression,,,,,,,,,1.4155,3.0593180153001915,1.6438180153001916,116.12984919111209,0.7652,0.09110101170341867,-0.6740989882965813,-88.09448357247534
