,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Manchester Utd,Bruno Fernandes,POR,MF,26,1994,34.6,10,87,29,33.3,2.52,0.84,0.11,0.34,21.9,6,0,2,9.7,8.1,0.09,0.3,1.9
ENG-Premier League,2122,Manchester Utd,Cristiano Ronaldo,POR,FW,36,1985,27.3,18,107,39,36.4,3.92,1.43,0.14,0.38,15.5,8,3,3,17.7,15.4,0.15,0.3,-0.4
ENG-Premier League,2122,Manchester Utd,Daniel James,WAL,FW,23,1997,1.4,0,4,1,25.0,2.86,0.71,0.0,0.0,15.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ENG-Premier League,2122,Manchester Utd,David de Gea,ESP,GK,30,1990,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Diogo Dalot,POR,DF,22,1999,20.0,0,13,4,30.8,0.65,0.2,0.0,0.0,21.0,0,0,0,0.6,0.6,0.04,-0.6,-0.6
ENG-Premier League,2122,Manchester Utd,Donny van de Beek,NED,MF,24,1997,0.8,1,2,1,50.0,2.4,1.2,0.5,1.0,9.0,0,0,0,0.5,0.5,0.24,0.5,0.5
ENG-Premier League,2122,Manchester Utd,Edinson Cavani,URU,FW,34,1987,8.5,2,18,6,33.3,2.11,0.7,0.11,0.33,12.6,0,0,0,3.4,3.4,0.2,-1.4,-1.4
ENG-Premier League,2122,Manchester Utd,Eric Bailly,CIV,DF,27,1994,2.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Fred,BRA,MF,28,1993,22.5,4,15,9,60.0,0.67,0.4,0.27,0.44,21.3,0,0,0,1.3,1.3,0.08,2.7,2.7
ENG-Premier League,2122,Manchester Utd,Hannibal Mejbri,TUN,FW,18,2003,0.8,0,1,1,100.0,1.32,1.32,0.0,0.0,22.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2122,Manchester Utd,Harry Maguire,ENG,DF,28,1993,27.9,1,23,10,43.5,0.82,0.36,0.04,0.1,12.8,0,0,0,1.9,1.9,0.08,-0.9,-0.9
ENG-Premier League,2122,Manchester Utd,Jadon Sancho,ENG,"FW,MF",21,2000,21.1,3,26,9,34.6,1.23,0.43,0.12,0.33,14.1,0,0,0,3.6,3.6,0.14,-0.6,-0.6
ENG-Premier League,2122,Manchester Utd,Jesse Lingard,ENG,"FW,MF",28,1992,4.1,2,8,6,75.0,1.96,1.47,0.25,0.33,18.6,0,0,0,0.6,0.6,0.08,1.4,1.4
ENG-Premier League,2122,Manchester Utd,Juan Mata,ESP,MF,33,1988,2.6,0,5,1,20.0,1.91,0.38,0.0,0.0,16.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
