,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,"FW,MF",24,1998,8.0,124,225,55.1,2213,845,63,84,75.0,40,67,59.7,17,45,37.8,0,1.8,1.7,-1.8,18,12,6,3,14
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,25.7,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0,0.2,0.2,-0.2,3,61,2,0,49
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,10.5,343,405,84.7,6944,2813,115,129,89.1,178,201,88.6,46,67,68.7,0,0.1,0.1,-0.1,2,31,0,0,26
ESP-La Liga,2324,Alavés,Alex Sola,ESP,"FW,MF",24,1999,14.0,269,430,62.6,4680,1722,131,154,85.1,101,155,65.2,33,82,40.2,3,2.3,2.1,0.7,27,23,19,9,42
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,32.6,1111,1471,75.5,18552,6374,530,641,82.7,439,558,78.7,105,173,60.7,0,0.9,1.5,-0.9,21,167,21,2,187
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,31.7,1059,1329,79.7,15562,6234,627,704,89.1,345,439,78.6,55,100,55.0,0,1.3,2.4,-1.3,15,57,32,10,117
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,27.0,811,1053,77.0,14200,5503,383,444,86.3,310,379,81.8,87,154,56.5,1,1.2,1.1,-0.2,20,100,19,8,133
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,651,1105,58.9,23568,18918,107,107,100.0,205,208,98.6,336,784,42.9,0,0.1,0.1,-0.1,4,41,2,0,0
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,12.6,321,459,69.9,5838,1863,147,179,82.1,130,178,73.0,37,84,44.0,1,0.5,0.7,0.5,6,45,9,0,60
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,FW,24,1999,12.4,201,357,56.3,3443,1278,97,140,69.3,67,108,62.0,27,66,40.9,4,3.7,2.9,0.3,33,11,18,14,23
ESP-La Liga,2324,Alavés,Eneko Ortiz,ESP,DF,20,2003,0.2,3,4,75.0,43,31,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
ESP-La Liga,2324,Alavés,Giuliano Simeone,ARG,FW,20,2002,7.0,114,169,67.5,1546,563,70,93,75.3,34,45,75.6,3,7,42.9,2,2.0,1.2,0.0,11,9,12,1,24
ESP-La Liga,2324,Alavés,Ianis Hagi,ROU,"MF,FW",24,1998,8.9,194,301,64.5,3661,1189,100,119,84.0,61,93,65.6,31,65,47.7,2,2.0,1.8,0.0,24,21,12,4,32
ESP-La Liga,2324,Alavés,Javi López,ESP,DF,21,2002,26.5,775,1129,68.6,13424,5698,391,458,85.4,282,395,71.4,84,204,41.2,3,3.0,2.5,0.0,14,63,21,16,92
ESP-La Liga,2324,Alavés,Jesús Owono,EQG,GK,22,2001,4.0,77,119,64.7,3064,2621,10,10,100.0,27,28,96.4,40,81,49.4,0,0.0,0.0,0.0,0,7,0,0,0
ESP-La Liga,2324,Alavés,Joaquín Panichelli,ARG,"FW,MF",20,2002,2.5,29,46,63.0,399,153,16,21,76.2,11,15,73.3,0,3,0.0,0,0.1,0.1,-0.1,2,4,1,0,6
ESP-La Liga,2324,Alavés,Jon Guridi,ESP,MF,28,1995,29.8,643,830,77.5,10484,2965,326,389,83.8,251,303,82.8,48,78,61.5,4,3.5,2.9,0.5,32,67,23,4,117
ESP-La Liga,2324,Alavés,Jon Karrikaburu,ESP,"MF,FW",20,2002,0.2,2,5,40.0,58,9,0,2,0.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Alavés,Kiké,ESP,"FW,MF",33,1989,15.8,200,301,66.4,2973,589,105,147,71.4,67,95,70.5,11,19,57.9,2,2.0,1.4,0.0,18,15,8,2,32
ESP-La Liga,2324,Alavés,Luis Rioja,ESP,"FW,MF",29,1993,27.8,551,855,64.4,9059,2662,280,351,79.8,193,279,69.2,56,133,42.1,4,3.9,4.2,0.1,41,25,38,19,77
ESP-La Liga,2324,Alavés,Mamadou Sylla,SEN,"FW,MF",29,1994,0.2,3,7,42.9,64,6,1,4,25.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1
ESP-La Liga,2324,Alavés,Miguel,ESP,"FW,MF",23,1999,0.7,7,15,46.7,75,0,3,6,50.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Alavés,Nahuel Tenaglia,ARG,DF,27,1996,12.7,330,454,72.7,6427,3084,121,144,84.0,166,203,81.8,39,84,46.4,0,0.5,0.7,-0.5,6,33,6,3,45
ESP-La Liga,2324,Alavés,Rafa Marín,ESP,DF,21,2002,27.1,846,1025,82.5,17631,7334,259,291,89.0,454,506,89.7,127,211,60.2,0,0.3,0.4,-0.3,5,71,2,0,77
ESP-La Liga,2324,Alavés,Rubén Duarte,ESP,DF,27,1995,20.9,566,827,68.4,11070,5341,226,262,86.3,254,331,76.7,80,198,40.4,1,1.5,1.5,-0.5,17,58,15,10,81
ESP-La Liga,2324,Alavés,Samu Omorodion,ESP,FW,19,2004,21.3,232,322,72.0,3200,468,142,180,78.9,68,93,73.1,8,13,61.5,1,1.3,0.6,-0.3,16,11,5,0,18
