,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2223,Augsburg,Aaron Zehnter,GER,DF,17,2004,1,1,1,0.0,0.0,0,,0,1,1,6,3.0,0,0,0,0.0,0.62,0.0,0.0,0.0,-2.98,-2.27
GER-Bundesliga,2223,Augsburg,André Hahn,GER,"FW,MF",31,1990,7,391,56,12.8,4.3,4,82,3,3,21,0,1.71,6,6,0,0.0,0.71,4.7,8.2,-3.4,-0.79,-0.1
GER-Bundesliga,2223,Augsburg,Arne Engels,BEL,MF,18,2003,18,1440,80,47.1,16.0,18,80,11,0,,0,1.06,18,32,-14,-0.87,-0.49,13.8,28.7,-15.0,-0.94,-0.44
GER-Bundesliga,2223,Augsburg,Arne Maier,GER,MF,23,1999,30,1960,65,64.1,21.8,24,77,7,6,19,3,0.9,23,44,-21,-0.96,-0.96,18.4,37.0,-18.7,-0.86,-0.43
GER-Bundesliga,2223,Augsburg,Carlos Gruezo,ECU,MF,27,1995,13,961,74,31.4,10.7,12,79,7,1,11,1,1.08,15,17,-2,-0.19,0.63,11.7,19.9,-8.2,-0.77,-0.09
GER-Bundesliga,2223,Augsburg,Daniel Caligiuri,ITA,"DF,MF",34,1988,13,290,22,9.5,3.2,2,74,1,11,13,20,0.85,2,10,-8,-2.48,-2.06,1.7,7.7,-6.0,-1.86,-1.28
GER-Bundesliga,2223,Augsburg,Daniel Katić,CRO,DF,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
GER-Bundesliga,2223,Augsburg,Daniel Klein,GER,GK,21,2001,0,,,,,0,,0,0,,19,,,,,,,,,,,
GER-Bundesliga,2223,Augsburg,David Čolina,CRO,"DF,FW",22,2000,7,166,24,5.4,1.8,0,,0,7,24,5,0.14,1,6,-5,-2.71,-2.21,2.7,4.4,-1.7,-0.91,-0.21
GER-Bundesliga,2223,Augsburg,Dion Drena Beljo,CRO,FW,20,2002,18,1128,63,36.9,12.5,16,69,2,2,16,1,1.06,18,27,-9,-0.72,-0.16,12.2,23.0,-10.8,-0.86,-0.25
GER-Bundesliga,2223,Augsburg,Elvis Rexhbeçaj,KVX,MF,24,1997,31,2524,81,82.5,28.0,30,83,17,1,45,0,1.0,34,47,-13,-0.46,0.88,27.4,47.7,-20.3,-0.72,-0.12
GER-Bundesliga,2223,Augsburg,Ermedin Demirović,BIH,"FW,MF",24,1998,30,2366,79,77.3,26.3,30,79,15,0,,0,1.0,32,47,-15,-0.57,0.21,27.3,41.0,-13.6,-0.52,0.82
GER-Bundesliga,2223,Augsburg,Felix Götze,GER,"DF,MF",24,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
