,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,15.6,3,20,7,35.0,1.28,0.45,0.15,0.43,19.9,2,0,0,1.8,1.8,0.09,1.2,1.2
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,MF,24,1999,11.1,2,22,5,22.7,1.97,0.45,0.09,0.4,22.2,3,0,0,1.5,1.5,0.07,0.5,0.5
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,6.5,2,19,7,36.8,2.94,1.08,0.11,0.29,13.4,0,0,0,3.0,3.0,0.16,-1.0,-1.0
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,22.1,2,28,3,10.7,1.27,0.14,0.04,0.33,24.3,0,1,1,1.7,1.0,0.03,0.3,0.0
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,31.9,15,77,32,41.6,2.41,1.0,0.16,0.38,14.0,0,3,4,13.5,10.3,0.13,1.5,1.7
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,"MF,FW",25,1997,14.9,2,14,5,35.7,0.94,0.34,0.14,0.4,18.9,0,0,0,0.9,0.9,0.06,1.1,1.1
GER-Bundesliga,2324,Augsburg,Iago,BRA,DF,26,1997,18.0,1,18,7,38.9,1.0,0.39,0.06,0.14,16.5,0,0,0,1.4,1.4,0.08,-0.4,-0.4
GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"MF,DF",25,1997,0.6,0,3,0,0.0,5.0,0.0,0.0,,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,28.8,1,23,3,13.0,0.8,0.1,0.04,0.33,15.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3
GER-Bundesliga,2324,Augsburg,Kevin Mbabu,SUI,DF,28,1995,22.7,0,4,1,25.0,0.18,0.04,0.0,0.0,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
GER-Bundesliga,2324,Augsburg,Kristijan Jakić,CRO,MF,26,1997,11.7,2,13,5,38.5,1.11,0.43,0.15,0.4,23.9,0,0,0,0.8,0.8,0.06,1.2,1.2
GER-Bundesliga,2324,Augsburg,Mads Pedersen,DEN,DF,26,1996,19.8,1,13,1,7.7,0.66,0.05,0.08,1.0,19.0,0,0,0,0.8,0.8,0.06,0.2,0.2
GER-Bundesliga,2324,Augsburg,Mahmut Kücüksahin,,MF,19,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Augsburg,Masaya Okugawa,JPN,"FW,DF",27,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Augsburg,Maximilian Bauer,GER,DF,23,2000,9.0,1,4,1,25.0,0.44,0.11,0.25,1.0,5.2,0,0,0,1.4,1.4,0.34,-0.4,-0.4
GER-Bundesliga,2324,Augsburg,Mergim Berisha,GER,FW,25,1998,1.4,0,5,0,0.0,3.69,0.0,0.0,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2
GER-Bundesliga,2324,Augsburg,Mert Kömür,GER,"MF,DF",18,2005,1.3,1,2,1,50.0,1.53,0.76,0.5,1.0,16.0,0,0,0,0.2,0.2,0.1,0.8,0.8
GER-Bundesliga,2324,Augsburg,Nathanael Mbuku,COD,FW,21,2002,0.1,0,1,0,0.0,18.0,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0
GER-Bundesliga,2324,Augsburg,Niklas Dorsch,GER,MF,25,1998,15.4,0,14,0,0.0,0.91,0.0,0.0,,25.1,2,0,0,0.7,0.7,0.05,-0.7,-0.7
GER-Bundesliga,2324,Augsburg,Ohis Felix Uduokhai,GER,DF,25,1997,32.5,2,13,3,23.1,0.4,0.09,0.15,0.67,9.2,0,0,0,1.4,1.4,0.11,0.6,0.6
GER-Bundesliga,2324,Augsburg,Patric Pfeiffer,GER,DF,23,1999,5.7,0,11,0,0.0,1.94,0.0,0.0,,17.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5
GER-Bundesliga,2324,Augsburg,Pep Biel,ESP,"MF,FW",26,1996,3.2,0,6,1,16.7,1.89,0.32,0.0,0.0,15.0,0,0,0,1.0,1.0,0.17,-1.0,-1.0
GER-Bundesliga,2324,Augsburg,Phillip Tietz,GER,FW,26,1997,26.5,8,52,18,34.6,1.96,0.68,0.15,0.44,15.1,1,0,0,8.2,8.2,0.16,-0.2,-0.2
GER-Bundesliga,2324,Augsburg,Robert Gumny,POL,DF,25,1998,5.3,0,3,1,33.3,0.56,0.19,0.0,0.0,13.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
