,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2122,Arminia,Alessandro Schöpf,AUT,MF,27,1994,31,2397,77,78.3,26.6,27,85,17,4,26,1,0.84,21,44,-23,-0.86,-0.46,21.7,51.3,-29.6,-1.11,-0.16
GER-Bundesliga,2122,Arminia,Amos Pieper,GER,DF,23,1998,27,2379,88,77.7,26.4,27,88,24,0,,5,0.85,21,41,-20,-0.76,0.04,20.6,49.8,-29.1,-1.1,-0.12
GER-Bundesliga,2122,Arminia,Andrés Andrade Cedeño,PAN,DF,22,1998,17,1046,62,34.2,11.6,12,81,9,5,15,9,1.0,12,18,-6,-0.52,0.38,8.2,21.4,-13.2,-1.14,-0.09
GER-Bundesliga,2122,Arminia,Arne Schulz,GER,GK,18,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,
GER-Bundesliga,2122,Arminia,Bryan Lasme,FRA,FW,22,1998,23,877,38,28.7,9.7,7,73,2,16,23,6,0.65,9,12,-3,-0.31,0.64,6.1,15.4,-9.4,-0.96,0.16
GER-Bundesliga,2122,Arminia,Burak İnce,TUR,FW,17,2004,5,139,28,4.5,1.5,1,65,0,4,19,3,0.4,1,4,-3,-1.94,-1.23,2.4,4.2,-1.8,-1.17,-0.1
GER-Bundesliga,2122,Arminia,Christian Gebauer,AUT,"DF,FW",27,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,
GER-Bundesliga,2122,Arminia,Cédric Brunner,SUI,DF,27,1994,27,2183,81,71.3,24.3,26,84,19,1,11,0,1.0,20,30,-10,-0.41,1.23,19.2,40.7,-21.5,-0.88,0.66
GER-Bundesliga,2122,Arminia,Edimilson Fernandes,SUI,"MF,FW",25,1996,7,283,40,9.2,3.1,2,70,0,5,29,8,0.71,3,7,-4,-1.27,-0.56,2.6,7.4,-4.9,-1.55,-0.52
GER-Bundesliga,2122,Arminia,Fabian Klos,GER,FW,33,1987,25,1420,57,46.4,15.8,14,79,3,11,28,1,0.96,11,21,-10,-0.63,0.24,13.0,29.6,-16.6,-1.05,0.05
GER-Bundesliga,2122,Arminia,Fabian Kunze,GER,MF,23,1998,22,1260,57,41.2,14.0,13,80,8,9,24,6,1.09,8,18,-10,-0.71,0.09,9.4,23.3,-13.9,-0.99,0.14
GER-Bundesliga,2122,Arminia,Florian Krüger,GER,"FW,MF",22,1999,27,1129,42,36.9,12.5,12,74,2,15,16,2,0.93,13,19,-6,-0.48,0.45,10.3,23.2,-12.9,-1.04,0.05
GER-Bundesliga,2122,Arminia,George Bello,USA,DF,19,2002,10,434,43,14.2,4.8,3,90,3,7,23,3,0.2,2,12,-10,-2.07,-1.53,2.7,12.5,-9.7,-2.02,-1.1
