,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,32,13,1405,15.6,3,2,5,3,0,0,1,1,1.8,1.8,1.2,3.0,23,52,62,0.19,0.13,0.32,0.19,0.32,0.12,0.08,0.19,0.12,0.19
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,MF,24,1999,22,10,1003,11.1,2,4,6,2,0,0,0,0,1.5,1.5,2.3,3.9,17,64,66,0.18,0.36,0.54,0.18,0.54,0.14,0.21,0.35,0.14,0.35
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,26,3,581,6.5,2,0,2,2,0,0,2,0,3.0,3.0,0.5,3.5,16,20,35,0.31,0.0,0.31,0.31,0.31,0.46,0.08,0.54,0.46,0.54
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,25,24,1985,22.1,2,0,2,1,1,1,4,0,1.7,1.0,0.5,1.5,15,91,51,0.09,0.0,0.09,0.05,0.05,0.08,0.02,0.1,0.04,0.07
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,33,33,2873,31.9,15,9,24,12,3,4,7,0,13.5,10.3,3.9,14.2,28,60,167,0.47,0.28,0.75,0.38,0.66,0.42,0.12,0.54,0.32,0.45
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31,31,2790,31.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,"MF,FW",25,1997,22,18,1338,14.9,2,4,6,2,0,0,1,0,0.9,0.9,4.3,5.2,22,46,90,0.13,0.27,0.4,0.13,0.4,0.06,0.29,0.35,0.06,0.35
GER-Bundesliga,2324,Augsburg,Iago,BRA,DF,26,1997,23,18,1622,18.0,1,1,2,1,0,0,4,0,1.4,1.4,1.6,3.0,24,54,51,0.06,0.06,0.11,0.06,0.11,0.08,0.09,0.16,0.08,0.16
GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"MF,DF",25,1997,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,6,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33
GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,30,29,2593,28.8,1,0,1,1,0,0,7,0,1.3,1.3,1.8,3.2,33,143,17,0.03,0.0,0.03,0.03,0.03,0.05,0.06,0.11,0.05,0.11
GER-Bundesliga,2324,Augsburg,Kevin Mbabu,SUI,DF,28,1995,25,22,2047,22.7,0,2,2,0,0,0,5,0,0.1,0.1,1.9,2.1,70,84,106,0.0,0.09,0.09,0.0,0.09,0.01,0.09,0.09,0.01,0.09
GER-Bundesliga,2324,Augsburg,Kristijan Jakić,CRO,MF,26,1997,14,13,1051,11.7,2,1,3,2,0,0,4,0,0.8,0.8,0.3,1.0,11,56,10,0.17,0.09,0.26,0.17,0.26,0.07,0.02,0.09,0.07,0.09
GER-Bundesliga,2324,Augsburg,Mads Pedersen,DEN,DF,26,1996,27,19,1786,19.8,1,1,2,1,0,0,5,1,0.8,0.8,1.5,2.3,56,66,79,0.05,0.05,0.1,0.05,0.1,0.04,0.07,0.12,0.04,0.12
GER-Bundesliga,2324,Augsburg,Mahmut Kücüksahin,,MF,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Augsburg,Masaya Okugawa,JPN,"FW,DF",27,1996,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,Augsburg,Maximilian Bauer,GER,DF,23,2000,14,9,810,9.0,1,0,1,1,0,0,3,0,1.4,1.4,0.0,1.4,2,25,1,0.11,0.0,0.11,0.11,0.11,0.15,0.0,0.15,0.15,0.15
GER-Bundesliga,2324,Augsburg,Mergim Berisha,GER,FW,25,1998,2,2,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,1,5,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2
GER-Bundesliga,2324,Augsburg,Mert Kömür,GER,"MF,DF",18,2005,4,1,118,1.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,7,4,9,0.76,0.0,0.76,0.76,0.76,0.15,0.02,0.17,0.15,0.17
GER-Bundesliga,2324,Augsburg,Nathanael Mbuku,COD,FW,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.56,0.69,1.25,0.56,1.25
GER-Bundesliga,2324,Augsburg,Niklas Dorsch,GER,MF,25,1998,21,16,1386,15.4,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,12,47,12,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
GER-Bundesliga,2324,Augsburg,Ohis Felix Uduokhai,GER,DF,25,1997,33,33,2921,32.5,2,0,2,2,0,0,5,1,1.4,1.4,0.8,2.2,25,101,6,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.07,0.04,0.07
GER-Bundesliga,2324,Augsburg,Patric Pfeiffer,GER,DF,23,1999,11,4,511,5.7,0,1,1,0,0,0,0,0,0.5,0.5,0.8,1.3,1,19,4,0.0,0.18,0.18,0.0,0.18,0.09,0.14,0.22,0.09,0.22
