,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Toulouse,Branco van den Boomen,NED,MF,27,1995,35,32,2888,32.1,5,8,13,1,4,4,6,0,6.0,2.9,8.1,10.9,48,321,102,0.16,0.25,0.41,0.03,0.28,0.19,0.25,0.44,0.09,0.34
FRA-Ligue 1,2223,Toulouse,Brecht Dejaegere,BEL,MF,31,1991,30,25,1809,20.1,4,1,5,4,0,0,5,0,2.6,2.6,1.7,4.3,36,96,96,0.2,0.05,0.25,0.2,0.25,0.13,0.08,0.21,0.13,0.21
FRA-Ligue 1,2223,Toulouse,Christian Mawissa,FRA,DF,17,2005,2,1,98,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,Toulouse,Denis Genreau,AUS,MF,23,1999,20,7,657,7.3,0,1,1,0,0,0,3,0,0.6,0.6,0.7,1.3,9,27,34,0.0,0.14,0.14,0.0,0.14,0.08,0.1,0.18,0.08,0.18
FRA-Ligue 1,2223,Toulouse,Fares Chaïbi,ALG,"FW,MF",19,2002,36,24,2340,26.0,5,5,10,5,0,0,2,0,5.9,5.9,4.9,10.9,71,101,212,0.19,0.19,0.38,0.19,0.38,0.23,0.19,0.42,0.23,0.42
FRA-Ligue 1,2223,Toulouse,Gabriel Suazo,CHI,DF,24,1997,18,14,1259,14.0,0,1,1,0,0,0,1,0,0.1,0.1,0.8,0.9,26,79,66,0.0,0.07,0.07,0.0,0.07,0.01,0.06,0.07,0.01,0.07
FRA-Ligue 1,2223,Toulouse,Issiaga Sylla,GUI,DF,28,1994,17,16,1372,15.2,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,51,95,107,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
FRA-Ligue 1,2223,Toulouse,Kévin Keben Biakolo,CMR,DF,18,2004,11,4,362,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,5,18,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
FRA-Ligue 1,2223,Toulouse,Logan Costa,CPV,DF,21,2001,6,4,415,4.6,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,5,18,0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.17,0.13,0.17
FRA-Ligue 1,2223,Toulouse,Maxime Dupé,FRA,GK,29,1993,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
