,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Lorient,Gedeon Kalulu,COD,DF,24,1997,27.1,1101,1375,80.1,17656,6738,561,623,90.0,415,510,81.4,77,153,50.3,4,1.5,1.2,2.5,23,82,17,5,106
FRA-Ligue 1,2223,Lorient,Ibrahima Koné,MLI,FW,23,1999,17.5,240,359,66.9,2822,790,151,205,73.7,59,100,59.0,3,7,42.9,1,1.0,1.0,0.0,15,17,3,0,27
FRA-Ligue 1,2223,Lorient,Igor Carioca,BRA,DF,25,1996,5.1,224,274,81.8,3429,1228,119,133,89.5,86,102,84.3,12,23,52.2,0,0.5,0.3,-0.5,2,17,5,1,22
FRA-Ligue 1,2223,Lorient,Jean-Victor Makengo,FRA,MF,24,1998,11.8,475,540,88.0,6908,1677,261,288,90.6,168,185,90.8,19,28,67.9,0,0.5,0.7,-0.5,8,33,3,0,42
FRA-Ligue 1,2223,Lorient,Julien Laporte,FRA,DF,28,1993,18.4,681,799,85.2,14120,4913,196,213,92.0,377,406,92.9,96,156,61.5,0,0.0,0.1,0.0,1,52,1,0,41
FRA-Ligue 1,2223,Lorient,Julien Ponceau,FRA,MF,21,2000,18.4,691,840,82.3,10711,3196,352,407,86.5,260,302,86.1,42,59,71.2,4,3.0,2.0,1.0,26,75,12,1,101
FRA-Ligue 1,2223,Lorient,Laurent Abergel,FRA,MF,29,1993,26.0,1308,1483,88.2,22287,7579,593,640,92.7,562,617,91.1,111,160,69.4,1,1.3,1.1,-0.3,14,144,11,0,143
FRA-Ligue 1,2223,Lorient,Montassar Talbi,TUN,DF,24,1998,38.0,1753,1970,89.0,31264,10740,614,653,94.0,970,1030,94.2,113,218,51.8,2,0.5,0.6,1.5,5,40,2,1,61
FRA-Ligue 1,2223,Lorient,Quentin Boisgard,FRA,MF,25,1997,2.0,79,98,80.6,1013,236,54,60,90.0,19,25,76.0,2,6,33.3,0,0.1,0.4,-0.1,4,9,4,0,11
FRA-Ligue 1,2223,Lorient,Romain Faivre,FRA,"MF,FW",24,1998,13.8,452,543,83.2,6643,1953,254,290,87.6,152,178,85.4,22,37,59.5,3,2.1,2.6,0.9,17,33,22,2,67
