,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Union Berlin,Oluwaseun Ogbemudia,GER,DF,17,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
GER-Bundesliga,2324,Union Berlin,Paul Jaeckel,GER,DF,25,1998,6,234,39,7.6,2.6,2,90,2,4,14,19,1.67,2,6,-4,-1.54,-0.87,3.2,4.9,-1.7,-0.65,-0.37
GER-Bundesliga,2324,Union Berlin,Rani Khedira,GER,MF,29,1994,20,1343,67,43.9,14.9,18,73,8,2,19,1,1.1,16,19,-3,-0.2,0.95,15.9,18.2,-2.3,-0.16,0.27
GER-Bundesliga,2324,Union Berlin,Robin Gosens,GER,"DF,MF",29,1994,30,2283,76,74.6,25.4,27,82,10,3,20,0,1.0,27,45,-18,-0.71,0.1,31.5,34.7,-3.2,-0.13,0.71
GER-Bundesliga,2324,Union Berlin,Robin Knoche,GER,DF,31,1992,24,1917,80,62.6,21.3,20,89,18,4,33,7,1.08,25,31,-6,-0.28,1.21,24.8,31.9,-7.1,-0.33,-0.07
GER-Bundesliga,2324,Union Berlin,Sheraldo Becker,SUR,"FW,MF",28,1995,11,645,59,21.1,7.2,7,72,1,4,35,0,0.55,6,17,-11,-1.53,-1.01,9.6,12.1,-2.5,-0.35,-0.06
GER-Bundesliga,2324,Union Berlin,Tim Schleinitz,GER,MF,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
GER-Bundesliga,2324,Union Berlin,Yorbe Vertessen,BEL,"FW,MF",22,2001,13,593,46,19.4,6.6,7,60,0,6,28,2,1.0,7,10,-3,-0.46,0.35,8.1,8.6,-0.5,-0.07,0.29
GER-Bundesliga,2324,Werder Bremen,Amos Pieper,GER,DF,25,1998,7,590,84,19.3,6.6,7,84,6,0,,5,1.0,10,14,-4,-0.61,-0.54,11.6,12.3,-0.7,-0.11,0.21
GER-Bundesliga,2324,Werder Bremen,Anthony Jung,GER,DF,31,1991,31,2579,83,84.3,28.7,30,86,24,1,11,1,1.32,41,36,5,0.17,2.23,38.4,42.7,-4.3,-0.15,0.84
GER-Bundesliga,2324,Werder Bremen,Christian Groß,GER,"DF,MF",34,1989,20,797,40,26.0,8.9,8,83,2,12,11,11,1.4,14,23,-9,-1.02,-1.14,15.5,19.0,-3.5,-0.39,-0.15
GER-Bundesliga,2324,Werder Bremen,Cimo Röcker,GER,DF,29,1994,0,,,,,0,,0,0,,11,,,,,,,,,,,
GER-Bundesliga,2324,Werder Bremen,Dawid Kownacki,POL,FW,26,1997,22,380,17,12.4,4.2,3,62,0,19,10,10,0.95,9,9,0,0.0,0.2,9.1,8.8,0.3,0.07,0.4
GER-Bundesliga,2324,Werder Bremen,Eduardo Dos Santos Haesler,GER,GK,24,1999,0,,,,,0,,0,0,,9,,,,,,,,,,,
GER-Bundesliga,2324,Werder Bremen,Felix Agu,NGA,"DF,MF",23,1999,24,1614,67,52.7,17.9,19,81,4,5,14,5,1.42,21,23,-2,-0.11,0.14,22.5,28.7,-6.3,-0.35,-0.14
GER-Bundesliga,2324,Werder Bremen,Ilia Gruev,BUL,MF,23,2000,1,4,4,0.1,0.0,0,,0,1,4,1,0.0,0,1,-1,-22.5,-22.35,0.2,0.2,-0.1,-1.89,-1.61
GER-Bundesliga,2324,Werder Bremen,Isak Hansen-Aarøen,NOR,MF,18,2004,3,27,9,0.9,0.3,0,,0,3,9,7,1.0,0,3,-3,-10.0,-9.91,0.1,1.9,-1.8,-6.12,-5.89
GER-Bundesliga,2324,Werder Bremen,Jakob Löpping,GER,MF,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
GER-Bundesliga,2324,Werder Bremen,Jens Stage,DEN,MF,26,1996,30,2327,78,76.0,25.9,26,85,15,4,29,0,1.2,32,39,-7,-0.27,-0.39,34.6,41.5,-6.9,-0.27,0.06
GER-Bundesliga,2324,Werder Bremen,Jiří Pavlenka,CZE,GK,31,1992,7,630,90,20.6,7.0,7,90,7,0,,17,0.86,12,17,-5,-0.71,-0.68,11.8,13.5,-1.7,-0.24,0.05
GER-Bundesliga,2324,Werder Bremen,Joel Imasuen,USA,FW,18,2004,1,2,2,0.1,0.0,0,,0,1,2,1,0.0,0,0,0,0.0,0.18,0.0,0.1,-0.1,-4.99,-4.71
GER-Bundesliga,2324,Werder Bremen,Julián Malatini,ARG,DF,22,2001,11,602,55,19.7,6.7,6,85,4,5,19,6,1.27,6,13,-7,-1.05,-1.08,10.3,10.1,0.2,0.02,0.38
GER-Bundesliga,2324,Werder Bremen,Justin Njinmah,GER,FW,22,2000,24,1016,42,33.2,11.3,10,75,1,14,19,2,1.25,18,16,2,0.18,0.53,16.7,16.3,0.4,0.04,0.48
GER-Bundesliga,2324,Werder Bremen,Kein Sato,JPN,FW,22,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
GER-Bundesliga,2324,Werder Bremen,Leon Opitz,GER,"FW,DF",18,2005,3,18,6,0.6,0.2,0,,0,3,6,11,1.0,0,2,-2,-10.0,-9.88,0.0,1.4,-1.3,-6.34,-6.1
GER-Bundesliga,2324,Werder Bremen,Leonardo Bittencourt,GER,MF,29,1993,29,1578,54,51.6,17.5,19,75,1,10,15,3,1.24,23,23,0,0.0,0.36,22.2,28.3,-6.1,-0.35,-0.13
GER-Bundesliga,2324,Werder Bremen,Marco Friedl,AUT,DF,25,1998,25,2197,88,71.8,24.4,25,88,23,0,,0,1.36,33,32,1,0.04,0.77,31.3,41.7,-10.4,-0.43,-0.52
GER-Bundesliga,2324,Werder Bremen,Marvin Ducksch,GER,FW,29,1994,33,2696,82,88.1,30.0,32,83,15,1,45,0,1.18,41,50,-9,-0.3,-1.04,39.3,49.7,-10.4,-0.35,-0.54
GER-Bundesliga,2324,Werder Bremen,Michael Zetterer,GER,GK,28,1995,27,2430,90,79.4,27.0,27,90,27,0,,7,1.33,36,37,-1,-0.04,0.68,35.1,43.0,-7.9,-0.29,-0.05
GER-Bundesliga,2324,Werder Bremen,Miloš Veljković,SRB,DF,27,1995,23,1920,83,62.7,21.3,21,88,19,2,36,1,1.04,33,40,-7,-0.33,-0.41,27.8,38.9,-11.1,-0.52,-0.64
GER-Bundesliga,2324,Werder Bremen,Mitchell Weiser,GER,"DF,MF",29,1994,30,2636,88,86.1,29.3,30,88,26,0,,1,1.2,43,45,-2,-0.07,0.78,41.3,47.7,-6.4,-0.22,0.46
GER-Bundesliga,2324,Werder Bremen,Naby Keïta,GUI,"MF,DF",28,1995,5,109,22,3.6,1.2,1,58,0,4,13,7,0.6,3,3,0,0.0,0.18,1.8,2.3,-0.4,-0.35,-0.07
