,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24,1997,13,667,51,19.5,7.4,5,80,3,8,33,0,1.23,11,7,4,0.54,1.06,8.8,12.1,-3.3,-0.44,0.28
ESP-La Liga,2122,Elche,Fidel,ESP,MF,31,1989,33,2261,69,66.1,25.1,29,73,7,4,36,1,1.06,21,31,-10,-0.4,-0.24,19.9,37.5,-17.6,-0.7,-0.09
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26,1994,31,1890,61,55.3,21.0,20,79,10,11,28,2,1.06,26,34,-8,-0.38,-0.15,16.0,35.1,-19.1,-0.91,-0.54
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32,1988,19,1397,74,40.8,15.5,16,82,11,3,29,11,1.55,17,15,2,0.13,0.75,10.5,17.9,-7.4,-0.48,0.32
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30,1991,29,1168,40,34.2,13.0,11,76,5,18,18,6,1.0,12,20,-8,-0.62,-0.46,12.8,18.7,-5.9,-0.45,0.33
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28,1993,26,1931,74,56.5,21.5,22,84,17,4,21,5,0.96,22,28,-6,-0.28,0.08,17.1,32.8,-15.7,-0.73,-0.15
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31,1990,20,809,40,23.7,9.0,10,69,2,10,12,13,1.0,7,16,-9,-1.0,-0.9,9.9,17.7,-7.7,-0.86,-0.25
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32,1989,13,525,40,15.4,5.8,6,61,0,7,23,12,0.5,3,12,-9,-1.54,-1.45,5.0,8.3,-3.4,-0.58,0.11
ESP-La Liga,2122,Elche,Jesús López,ESP,GK,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28,1992,33,2855,87,83.5,31.7,32,89,28,1,13,1,1.18,33,40,-7,-0.22,0.58,28.4,49.1,-20.7,-0.65,0.11
