,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Angers,Abdoulaye Bamba,CIV,"DF,FW",31,1990,5.1,140,183,76.5,2236,914,70,79,88.6,56,74,75.7,8,19,42.1,0,0.1,0.1,-0.1,2,7,2,1,13
FRA-Ligue 1,2122,Angers,Angelo Fulgini,FRA,"MF,FW",24,1996,32.5,1108,1376,80.5,16460,4014,574,638,90.0,382,468,81.6,72,134,53.7,4,4.0,3.1,0.0,48,91,26,8,147
FRA-Ligue 1,2122,Angers,Anthony Mandrea,ALG,GK,24,1996,10.0,161,273,59.0,5083,3669,18,18,100.0,80,81,98.8,62,172,36.0,0,0.0,0.0,0.0,0,3,0,0,0
FRA-Ligue 1,2122,Angers,Antonin Bobichon,FRA,"MF,FW",25,1995,0.4,12,17,70.6,178,51,8,9,88.9,4,6,66.7,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,1
FRA-Ligue 1,2122,Angers,Azzedine Ounahi,MAR,MF,21,2000,18.1,782,909,86.0,12548,3196,389,430,90.5,307,339,90.6,59,88,67.0,1,1.5,1.4,-0.5,18,81,17,2,110
FRA-Ligue 1,2122,Angers,Batista Mendy,FRA,"MF,DF",21,2000,26.8,1059,1242,85.3,19289,5883,417,470,88.7,529,577,91.7,94,151,62.3,1,0.6,0.8,0.4,11,88,8,1,117
FRA-Ligue 1,2122,Angers,Bilal Brahimi,ALG,FW,21,2000,3.8,66,95,69.5,953,255,39,47,83.0,19,28,67.9,5,9,55.6,1,0.9,0.8,0.1,7,2,5,2,5
FRA-Ligue 1,2122,Angers,Casimir Ninga,CHA,FW,28,1993,4.5,56,71,78.9,761,192,26,35,74.3,15,17,88.2,4,5,80.0,0,0.0,0.1,0.0,1,3,1,0,5
FRA-Ligue 1,2122,Angers,Danijel Petković,MNE,GK,28,1993,15.0,352,456,77.2,9169,5622,55,55,100.0,188,191,98.4,107,205,52.2,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2122,Angers,Enzo Ebosse,CMR,DF,22,1999,21.0,911,1086,83.9,16592,5963,359,407,88.2,439,491,89.4,96,149,64.4,0,0.6,0.5,-0.6,9,45,5,3,55
FRA-Ligue 1,2122,Angers,Farid El Melali,ALG,FW,24,1997,0.2,2,4,50.0,26,0,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2122,Angers,Guédé Nadje,FRA,MF,17,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2122,Angers,Ismaël Traoré,CIV,DF,34,1986,35.7,1561,1766,88.4,32101,12574,375,416,90.1,1004,1055,95.2,167,241,69.3,1,1.3,1.2,-0.3,9,41,1,1,58
FRA-Ligue 1,2122,Angers,Jason Mbock,FRA,FW,21,1999,0.2,3,5,60.0,32,0,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2122,Angers,Jimmy Cabot,FRA,DF,27,1994,22.3,1081,1381,78.3,18917,5045,536,597,89.8,424,524,80.9,107,196,54.6,5,1.7,1.5,3.3,18,55,23,10,77
FRA-Ligue 1,2122,Angers,Marin Jakoliš,CRO,FW,24,1996,2.5,53,74,71.6,788,166,30,39,76.9,15,21,71.4,4,6,66.7,0,0.3,0.5,-0.3,4,3,3,1,4
FRA-Ligue 1,2122,Angers,Mathias Pereira Lage,POR,DF,24,1996,11.6,363,525,69.1,5461,2050,195,245,79.6,142,207,68.6,13,39,33.3,2,1.4,1.0,0.6,9,31,5,2,36
FRA-Ligue 1,2122,Angers,Mohamed Ali Cho,FRA,FW,17,2004,20.4,220,314,70.1,2951,510,132,159,83.0,63,92,68.5,9,21,42.9,1,2.7,2.4,-1.7,14,17,10,2,22
FRA-Ligue 1,2122,Angers,Nabil Bentaleb,ALG,MF,26,1994,16.8,755,913,82.7,13017,4028,324,370,87.6,333,387,86.0,66,96,68.8,0,0.1,0.4,-0.1,3,81,5,0,82
FRA-Ligue 1,2122,Angers,Noah Fatar,FRA,"DF,MF",19,2002,0.1,5,8,62.5,85,18,2,4,50.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
FRA-Ligue 1,2122,Angers,Paul Bernardoni,FRA,GK,24,1997,13.0,267,340,78.5,7530,4954,27,27,100.0,146,150,97.3,92,160,57.5,0,0.0,0.0,0.0,0,2,0,0,0
FRA-Ligue 1,2122,Angers,Pierrick Capelle,FRA,"MF,DF",34,1987,13.3,456,563,81.0,7826,2216,206,239,86.2,192,216,88.9,44,66,66.7,1,1.9,0.6,-0.9,14,38,3,1,50
FRA-Ligue 1,2122,Angers,Romain Thomas,FRA,DF,33,1988,28.5,1471,1706,86.2,31129,11989,405,450,90.0,810,876,92.5,242,342,70.8,0,0.0,0.9,0.0,2,81,1,0,93
FRA-Ligue 1,2122,Angers,Sada Thioub,SEN,FW,26,1995,0.0,2,3,66.7,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2122,Angers,Sofiane Boufal,MAR,"FW,MF",27,1993,25.9,746,1016,73.4,12458,3618,387,461,83.9,241,308,78.2,79,157,50.3,4,6.4,5.2,-2.4,56,65,33,4,125
FRA-Ligue 1,2122,Angers,Souleyman Doumbia,CIV,"DF,FW",24,1996,24.7,886,1083,81.8,13708,3696,468,517,90.5,361,420,86.0,38,82,46.3,1,2.1,2.3,-1.1,14,43,18,13,54
