,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,"DF,FW",24,1999,1.3,0,1,1,100.0,0.74,0.74,0.0,0.0,14.4,0,0,0,0.0,0.0,0.05,0.0,0.0
FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,"MF,FW",24,1999,0.6,0,2,0,0.0,3.33,0.0,0.0,,30.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,1.0,0,2,0,0.0,2.0,0.0,0.0,,9.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2
FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,"FW,MF",23,2000,2.5,0,4,2,50.0,1.63,0.81,0.0,0.0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,32.9,0,12,2,16.7,0.36,0.06,0.0,0.0,26.8,0,0,0,0.3,0.3,0.02,-0.3,-0.3
FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33.0,1,18,3,16.7,0.55,0.09,0.06,0.33,11.3,0,0,0,1.5,1.5,0.08,-0.5,-0.5
FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Brest,Hianga Mananga Mbock,FRA,"MF,FW",23,1999,0.1,0,1,0,0.0,10.0,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,26.0,2,36,10,27.8,1.38,0.38,0.06,0.2,23.9,0,0,0,2.4,2.4,0.07,-0.4,-0.4
FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,13.4,0,10,3,30.0,0.75,0.22,0.0,0.0,17.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2
FRA-Ligue 1,2324,Brest,Jordan Amavi,FRA,DF,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.0,1.0,26.9,1,0,0,0.1,0.1,0.1,0.9,0.9
FRA-Ligue 1,2324,Brest,Julien Le Cardinal,FRA,DF,25,1997,5.3,0,4,2,50.0,0.76,0.38,0.0,0.0,17.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3
FRA-Ligue 1,2324,Brest,Jérémy Le Douaron,FRA,FW,25,1998,18.0,4,50,19,38.0,2.78,1.06,0.08,0.21,13.2,0,0,0,6.2,6.2,0.12,-2.2,-2.2
FRA-Ligue 1,2324,Brest,Kamory Doumbia,MLI,MF,20,2003,9.8,6,25,11,44.0,2.56,1.13,0.24,0.55,17.1,0,0,0,4.2,4.2,0.17,1.8,1.8
FRA-Ligue 1,2324,Brest,Karamoko Dembélé,ENG,"MF,FW",20,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Brest,Kenny Lala,MAD,DF,31,1991,33.0,2,14,7,50.0,0.42,0.21,0.14,0.29,26.3,4,0,0,0.5,0.5,0.03,1.5,1.5
FRA-Ligue 1,2324,Brest,Lilian Brassier,FRA,DF,23,1999,29.7,3,12,3,25.0,0.4,0.1,0.25,1.0,16.3,0,0,0,1.1,1.1,0.09,1.9,1.9
FRA-Ligue 1,2324,Brest,Luck Zogbé,CIV,DF,18,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Brest,Mahdi Camara,FRA,MF,25,1998,22.4,7,41,13,31.7,1.83,0.58,0.15,0.46,16.6,0,1,1,4.9,4.1,0.1,2.1,1.9
FRA-Ligue 1,2324,Brest,Marco Bizot,NED,GK,32,1991,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Brest,Martin Satriano,URU,FW,22,2001,20.7,4,63,20,31.7,3.04,0.97,0.06,0.2,16.2,0,0,0,6.1,6.1,0.1,-2.1,-2.1
FRA-Ligue 1,2324,Brest,Mathias Pereira Lage,POR,"FW,MF",26,1996,13.2,3,36,16,44.4,2.73,1.21,0.08,0.19,17.9,4,0,0,3.5,3.5,0.1,-0.5,-0.5
FRA-Ligue 1,2324,Brest,Pierre Lees-Melou,FRA,MF,30,1993,28.0,4,52,13,25.0,1.86,0.46,0.08,0.31,22.8,0,0,0,2.4,2.4,0.05,1.6,1.6
FRA-Ligue 1,2324,Brest,Romain Del Castillo,FRA,FW,27,1996,27.7,8,37,14,37.8,1.33,0.5,0.14,0.36,20.3,3,3,3,5.2,2.9,0.08,2.8,2.1
FRA-Ligue 1,2324,Brest,Steve Mounié,BEN,FW,28,1994,19.7,6,60,25,41.7,3.05,1.27,0.1,0.24,11.4,0,0,0,8.9,8.9,0.15,-2.9,-2.9
FRA-Ligue 1,2324,Clermont Foot,Abdellah Baallal,MAR,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
