,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,"FW,MF",24,1998,23,722,31,21.1,8.0,6,64,0,17,20,15,0.7,5,6,-1,-0.12,0.18,7.5,6.8,0.7,0.09,0.06
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,27,2312,86,67.6,25.7,27,86,23,0,,4,1.07,21,30,-9,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58
ESP-La Liga,2324,Alavés,Adrian Rodriguez,ESP,GK,22,2000,0,,,,,0,,0,0,,16,,,,,,,,,,,
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,11,946,86,27.7,10.5,11,86,8,0,,1,1.09,10,14,-4,-0.38,-0.16,14.8,12.0,2.9,0.27,0.32
ESP-La Liga,2324,Alavés,Alex Sola,ESP,"FW,MF",24,1999,29,1262,44,36.9,14.0,14,71,3,15,18,6,1.24,9,20,-11,-0.78,-0.83,17.8,18.7,-1.0,-0.07,-0.17
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,37,2932,79,85.7,32.6,33,86,23,4,22,0,1.24,31,41,-10,-0.31,-0.31,39.3,39.0,0.3,0.01,-0.22
ESP-La Liga,2324,Alavés,Ander Sánchez,ESP,MF,19,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,36,2854,79,83.5,31.7,33,85,21,3,13,1,1.25,28,35,-7,-0.22,0.26,36.2,36.4,-0.2,-0.01,-0.28
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,33,2426,74,70.9,27.0,29,82,16,4,11,2,1.3,22,30,-8,-0.3,-0.12,29.0,30.5,-1.6,-0.06,-0.34
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34,3060,90,89.5,34.0,34,90,34,0,,4,1.21,32,38,-6,-0.18,0.82,39.5,39.1,0.4,0.01,-0.25
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,29,1136,39,33.2,12.6,10,79,5,19,18,4,1.34,19,13,6,0.48,1.11,16.3,15.4,0.9,0.07,0.05
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,FW,24,1999,18,1114,62,32.6,12.4,12,79,2,6,28,1,1.67,17,13,4,0.32,0.87,17.1,13.5,3.6,0.29,0.37
ESP-La Liga,2324,Alavés,Egoitz Muñoz,ESP,DF,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2324,Alavés,Eneko Ortiz,ESP,DF,20,2003,1,14,14,0.4,0.2,0,,0,1,14,8,1.0,0,0,0,0.0,0.26,0.2,0.1,0.1,0.35,0.31
