,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Villarreal,Pau Torres,ESP,DF,24,1997,31.7,5,24,9,37.5,0.76,0.28,0.21,0.56,8.2,0,0,0,3.0,3.0,0.12,2.0,2.0
ESP-La Liga,2122,Villarreal,Pervis Estupiñán,ECU,DF,23,1998,17.5,0,14,4,28.6,0.8,0.23,0.0,0.0,19.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8
ESP-La Liga,2122,Villarreal,Raúl Albiol,ESP,DF,35,1985,27.4,0,5,1,20.0,0.18,0.04,0.0,0.0,7.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4
ESP-La Liga,2122,Villarreal,Rubén Peña,ESP,"MF,FW",30,1991,1.5,0,3,2,66.7,2.05,1.36,0.0,0.0,12.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
ESP-La Liga,2122,Villarreal,Samuel Chukwueze,NGA,"MF,FW",22,1999,14.8,3,32,7,21.9,2.16,0.47,0.09,0.43,16.3,0,0,0,4.6,4.6,0.14,-1.6,-1.6
ESP-La Liga,2122,Villarreal,Serge Aurier,CIV,DF,28,1992,11.2,0,11,2,18.2,0.98,0.18,0.0,0.0,15.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8
ESP-La Liga,2122,Villarreal,Sergio Asenjo,ESP,GK,32,1989,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Villarreal,Vicente Iborra,ESP,MF,33,1988,11.5,0,8,2,25.0,0.7,0.17,0.0,0.0,15.6,0,0,0,0.7,0.7,0.08,-0.7,-0.7
ESP-La Liga,2122,Villarreal,Yeremi Pino,ESP,"MF,FW",18,2002,18.6,6,27,15,55.6,1.45,0.8,0.22,0.4,11.3,0,0,0,5.5,5.5,0.2,0.5,0.5
ESP-La Liga,2122,Villarreal,Étienne Capoue,FRA,MF,33,1988,25.4,1,14,5,35.7,0.55,0.2,0.07,0.2,19.9,0,0,0,0.5,0.5,0.04,0.5,0.5
