,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,21.0,635,838,75.8,9115,2499,376,441,85.3,201,247,81.4,29,74,39.2,7,5.2,4.8,1.8,50,46,32,2,97
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,13.1,454,622,73.0,7677,2316,212,250,84.8,179,216,82.9,44,106,41.5,5,4.1,4.5,0.9,45,41,29,9,75
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,31.5,1454,1661,87.5,27563,8404,488,555,87.9,808,870,92.9,136,187,72.7,1,0.7,0.5,0.3,7,40,5,1,79
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,22.5,565,782,72.3,8690,2346,302,384,78.6,211,273,77.3,31,58,53.4,8,6.1,4.1,1.9,49,44,42,7,126
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,DF,31,1992,20.7,881,1049,84.0,13132,4003,526,576,91.3,288,341,84.5,50,77,64.9,1,1.4,1.7,-0.4,17,46,29,14,78
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,1.2,36,50,72.0,393,32,26,29,89.7,7,12,58.3,0,1,0.0,0,0.1,0.1,-0.1,2,0,1,0,3
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,4.4,92,126,73.0,1229,181,58,75,77.3,25,29,86.2,2,4,50.0,0,0.8,0.6,-0.8,7,2,5,0,11
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,DF,23,2000,10.5,304,457,66.5,4675,1618,171,214,79.9,107,153,69.9,21,55,38.2,1,0.8,1.0,0.2,4,18,8,6,27
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,0.1,1,2,50.0,14,13,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,16.1,293,434,67.5,5369,1076,137,202,67.8,99,136,72.8,42,52,80.8,6,3.9,1.5,2.1,33,30,14,1,41
ITA-Serie A,2324,Atalanta,Giorgio Scalvini,ITA,DF,19,2003,28.3,1272,1564,81.3,20712,7854,646,721,89.6,533,622,85.7,73,157,46.5,3,1.1,1.5,1.9,11,89,14,2,116
ITA-Serie A,2324,Atalanta,Giovanni Bonfanti,ITA,DF,20,2003,1.0,46,57,80.7,797,245,17,19,89.5,25,28,89.3,3,6,50.0,0,0.0,0.0,0.0,0,1,1,1,1
ITA-Serie A,2324,Atalanta,Hans Hateboer,NED,DF,29,1994,12.4,514,616,83.4,7813,2447,303,324,93.5,174,210,82.9,27,47,57.4,1,2.0,1.2,-1.0,22,27,17,13,42
ITA-Serie A,2324,Atalanta,Isak Hien,SWE,DF,24,1999,10.4,417,472,88.3,8718,2621,102,124,82.3,268,283,94.7,44,56,78.6,1,0.1,0.1,0.9,1,14,0,0,24
ITA-Serie A,2324,Atalanta,José Luis Palomino,ARG,DF,33,1990,0.3,25,32,78.1,513,194,8,10,80.0,12,14,85.7,4,7,57.1,0,0.0,0.0,0.0,0,2,0,0,2
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29,1994,11.0,278,371,74.9,7215,4905,55,55,100.0,148,150,98.7,74,163,45.4,0,0.0,0.0,0.0,0,3,0,0,0
ITA-Serie A,2324,Atalanta,Leonardo Mendicino,ITA,MF,17,2006,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2324,Atalanta,Luis Muriel,COL,"FW,MF",32,1991,4.5,170,241,70.5,2821,831,93,117,79.5,56,75,74.7,18,34,52.9,1,1.7,1.4,-0.7,15,17,11,5,24
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,26.9,619,879,70.4,18321,13014,73,75,97.3,320,330,97.0,225,467,48.2,0,0.0,0.0,0.0,0,11,0,0,0
ITA-Serie A,2324,Atalanta,Mario Pašalić,CRO,MF,28,1995,22.8,988,1145,86.3,17661,5285,419,469,89.3,464,513,90.4,90,120,75.0,6,4.1,3.3,1.9,31,104,24,0,129
ITA-Serie A,2324,Atalanta,Marten de Roon,NED,"MF,DF",32,1991,28.9,1446,1712,84.5,26689,8394,564,630,89.5,690,779,88.6,159,239,66.5,5,1.2,1.2,3.8,23,147,20,3,178
ITA-Serie A,2324,Atalanta,Matteo Ruggeri,ITA,DF,21,2002,27.2,1250,1562,80.0,19172,6806,697,780,89.4,462,560,82.5,68,148,45.9,4,1.8,2.1,2.2,24,86,31,23,142
ITA-Serie A,2324,Atalanta,Michel Ndary Adopo,FRA,MF,23,2000,1.2,74,89,83.1,1138,292,35,43,81.4,33,37,89.2,2,2,100.0,1,0.1,0.2,0.9,2,8,0,0,9
ITA-Serie A,2324,Atalanta,Mitchel Bakker,NED,DF,23,2000,4.2,167,212,78.8,2347,433,105,117,89.7,51,62,82.3,6,16,37.5,0,0.1,0.1,-0.1,3,9,0,0,10
ITA-Serie A,2324,Atalanta,Nadir Zortea,ITA,DF,24,1999,1.7,69,92,75.0,1150,484,35,39,89.7,25,30,83.3,8,14,57.1,0,0.3,0.2,-0.3,3,5,2,2,10
ITA-Serie A,2324,Atalanta,Rafael Tolói,ITA,DF,32,1990,10.7,442,537,82.3,7801,2968,194,211,91.9,210,238,88.2,32,73,43.8,0,0.1,0.2,-0.1,2,48,4,1,53
