,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,"DF,FW",24,1999,1.3,73,85,85.9,1773,564,11,14,78.6,45,47,95.7,17,23,73.9,0,0.0,0.0,0.0,0,4,0,0,8
FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,"MF,FW",24,1999,0.6,19,29,65.5,284,93,10,13,76.9,7,8,87.5,1,4,25.0,1,0.5,0.3,0.5,4,2,0,0,0
FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,1.0,18,22,81.8,294,39,4,4,100.0,10,13,76.9,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,1
FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,"FW,MF",23,2000,2.5,72,122,59.0,1213,394,39,55,70.9,23,43,53.5,7,16,43.8,0,0.3,0.8,-0.3,6,4,4,3,9
FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,32.9,1544,1852,83.4,25861,8098,760,863,88.1,607,701,86.6,127,205,62.0,3,1.6,1.9,1.4,24,109,37,26,129
FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33.0,1511,1824,82.8,32477,10685,401,441,90.9,849,918,92.5,238,421,56.5,1,1.6,1.3,-0.6,10,110,8,2,115
FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,55,80,68.8,1658,1275,7,7,100.0,28,28,100.0,20,45,44.4,0,0.0,0.0,0.0,0,2,0,0,0
FRA-Ligue 1,2324,Brest,Hianga Mananga Mbock,FRA,"MF,FW",23,1999,0.1,6,7,85.7,108,29,2,2,100.0,4,5,80.0,0,0,,0,0.2,0.1,-0.2,1,0,1,0,2
FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,26.0,1008,1143,88.2,16762,3382,435,491,88.6,464,499,93.0,64,87,73.6,0,1.8,2.5,-1.8,24,92,13,7,101
FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,13.4,839,962,87.2,14484,3556,361,416,86.8,365,396,92.2,77,97,79.4,1,0.9,0.9,0.1,15,83,4,0,105
FRA-Ligue 1,2324,Brest,Jordan Amavi,FRA,DF,29,1994,1.0,47,54,87.0,858,247,18,20,90.0,25,29,86.2,4,4,100.0,0,0.0,0.0,0.0,0,2,0,0,2
FRA-Ligue 1,2324,Brest,Julien Le Cardinal,FRA,DF,25,1997,5.3,212,258,82.2,4339,1880,68,80,85.0,92,107,86.0,44,58,75.9,0,0.1,0.1,-0.1,2,18,0,0,24
FRA-Ligue 1,2324,Brest,Jérémy Le Douaron,FRA,FW,25,1998,18.0,252,387,65.1,3702,739,145,196,74.0,73,105,69.5,18,37,48.6,0,1.0,1.5,-1.0,10,11,8,5,21
FRA-Ligue 1,2324,Brest,Kamory Doumbia,MLI,MF,20,2003,9.8,420,487,86.2,6341,1497,213,234,91.0,161,184,87.5,23,34,67.6,5,0.9,0.7,4.1,12,42,6,0,48
FRA-Ligue 1,2324,Brest,Karamoko Dembélé,ENG,"MF,FW",20,2003,0.2,8,10,80.0,171,24,3,3,100.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,1
FRA-Ligue 1,2324,Brest,Kenny Lala,MAD,DF,31,1991,33.0,1713,2195,78.0,35548,12428,600,693,86.6,773,938,82.4,321,488,65.8,3,3.3,4.3,-0.3,35,164,45,19,200
FRA-Ligue 1,2324,Brest,Lilian Brassier,FRA,DF,23,1999,29.7,1503,1810,83.0,33730,12106,362,400,90.5,835,915,91.3,289,464,62.3,0,0.6,0.9,-0.6,6,114,8,3,121
FRA-Ligue 1,2324,Brest,Luck Zogbé,CIV,DF,18,2005,0.1,5,7,71.4,57,12,4,4,100.0,1,1,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Mahdi Camara,FRA,MF,25,1998,22.4,693,852,81.3,10625,2324,346,414,83.6,270,317,85.2,38,59,64.4,3,3.1,2.4,-0.1,32,63,18,10,81
FRA-Ligue 1,2324,Brest,Marco Bizot,NED,GK,32,1991,32.0,826,1100,75.1,25531,18973,95,95,100.0,404,404,100.0,325,595,54.6,0,0.1,0.1,-0.1,3,15,0,0,1
FRA-Ligue 1,2324,Brest,Martin Satriano,URU,FW,22,2001,20.7,325,456,71.3,5299,1060,172,233,73.8,105,136,77.2,33,45,73.3,4,2.9,2.6,1.1,21,22,9,1,37
FRA-Ligue 1,2324,Brest,Mathias Pereira Lage,POR,"FW,MF",26,1996,13.2,266,395,67.3,3999,1074,136,174,78.2,78,118,66.1,26,67,38.8,2,1.7,1.7,0.3,14,16,5,2,23
FRA-Ligue 1,2324,Brest,Pierre Lees-Melou,FRA,MF,30,1993,28.0,1425,1673,85.2,28610,9103,519,584,88.9,619,692,89.5,246,327,75.2,0,2.4,3.0,-2.4,27,152,22,3,193
FRA-Ligue 1,2324,Brest,Romain Del Castillo,FRA,FW,27,1996,27.7,989,1469,67.3,16904,6014,486,603,80.6,327,474,69.0,126,258,48.8,8,9.9,9.1,-1.9,89,103,72,21,155
FRA-Ligue 1,2324,Brest,Steve Mounié,BEN,FW,28,1994,19.7,282,454,62.1,3928,730,155,236,65.7,94,155,60.6,13,19,68.4,2,2.1,1.4,-0.1,21,27,9,3,25
FRA-Ligue 1,2324,Clermont Foot,Abdellah Baallal,MAR,MF,18,2004,0.0,3,4,75.0,40,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
