league,season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
ITA-Serie A,2122,2021-10-27 Empoli-Inter,10,Wed,2021-10-27,20:45,Empoli,0.5,0–2,2.1,Inter,9335,Stadio Carlo Castellani,Daniele Chiffi,/en/matches/6f2b0b60/Empoli-Internazionale-October-27-2021-Serie-A,,6f2b0b60
ITA-Serie A,2122,2021-10-27 Juventus-Sassuolo,10,Wed,2021-10-27,18:30,Juventus,1.2,1–2,1.1,Sassuolo,18288,Allianz Stadium,Juan Sacchi,/en/matches/0b43e330/Juventus-Sassuolo-October-27-2021-Serie-A,,0b43e330
ITA-Serie A,2122,2021-10-27 Lazio-Fiorentina,10,Wed,2021-10-27,20:45,Lazio,0.8,1–0,0.5,Fiorentina,7000,Stadio Olimpico,Giovanni Ayroldi,/en/matches/00bd9193/Lazio-Fiorentina-October-27-2021-Serie-A,,00bd9193
ITA-Serie A,2122,2021-10-27 Sampdoria-Atalanta,10,Wed,2021-10-27,18:30,Sampdoria,1.3,1–3,1.3,Atalanta,5462,Stadio Comunale Luigi Ferraris,Alessandro Prontera,/en/matches/af5eee1e/Sampdoria-Atalanta-October-27-2021-Serie-A,,af5eee1e
ITA-Serie A,2122,2021-10-27 Udinese-Hellas Verona,10,Wed,2021-10-27,18:30,Udinese,1.1,1–1,0.9,Hellas Verona,8751,Dacia Arena,Matteo Marchetti,/en/matches/fef41792/Udinese-Hellas-Verona-October-27-2021-Serie-A,,fef41792
ITA-Serie A,2122,2021-10-28 Napoli-Bologna,10,Thu,2021-10-28,20:45,Napoli,2.7,3–0,0.3,Bologna,20000,Stadio Diego Armando Maradona,Marco Serra,/en/matches/d1e97c1f/Napoli-Bologna-October-28-2021-Serie-A,,d1e97c1f
ITA-Serie A,2122,2021-10-30 Atalanta-Lazio,11,Sat,2021-10-30,15:00,Atalanta,0.8,2–2,1.4,Lazio,11981,Stadio Atleti Azzurri d'Italia,Marco Guida,/en/matches/a2dcd280/Atalanta-Lazio-October-30-2021-Serie-A,,a2dcd280
ITA-Serie A,2122,2021-10-30 Hellas Verona-Juventus,11,Sat,2021-10-30,18:00,Hellas Verona,1.5,2–1,1.0,Juventus,22314,Stadio Marc'Antonio Bentegodi,Livio Marinelli,/en/matches/f91a95ea/Hellas-Verona-Juventus-October-30-2021-Serie-A,,f91a95ea
ITA-Serie A,2122,2021-10-30 Torino-Sampdoria,11,Sat,2021-10-30,20:45,Torino,2.4,3–0,0.2,Sampdoria,13137,Stadio Olimpico di Torino,Francesco Fourneau,/en/matches/9941470f/Torino-Sampdoria-October-30-2021-Serie-A,,9941470f
ITA-Serie A,2122,2021-10-31 Fiorentina-Spezia,11,Sun,2021-10-31,15:00,Fiorentina,2.8,3–0,0.1,Spezia,19511,Stadio Artemio Franchi,Antonio Giua,/en/matches/7d77c7d2/Fiorentina-Spezia-October-31-2021-Serie-A,,7d77c7d2
ITA-Serie A,2122,2021-10-31 Genoa-Venezia,11,Sun,2021-10-31,15:00,Genoa,0.8,0–0,0.6,Venezia,7920,Stadio Comunale Luigi Ferraris,Maurizio Mariani,/en/matches/8cf97f48/Genoa-Venezia-October-31-2021-Serie-A,,8cf97f48
ITA-Serie A,2122,2021-10-31 Inter-Udinese,11,Sun,2021-10-31,12:30,Inter,2.1,2–0,0.4,Udinese,48076,Stadio Giuseppe Meazza,Juan Sacchi,/en/matches/fc09dd93/Internazionale-Udinese-October-31-2021-Serie-A,,fc09dd93
ITA-Serie A,2122,2021-10-31 Roma-Milan,11,Sun,2021-10-31,20:45,Roma,1.3,1–2,1.8,Milan,51001,Stadio Olimpico,Fabio Maresca,/en/matches/7d80fa2c/Roma-Milan-October-31-2021-Serie-A,,7d80fa2c
ITA-Serie A,2122,2021-10-31 Salernitana-Napoli,11,Sun,2021-10-31,18:00,Salernitana,0.5,0–1,1.8,Napoli,17043,Stadio Arechi,Michael Fabbri,/en/matches/bef6bffd/Salernitana-Napoli-October-31-2021-Serie-A,,bef6bffd
ITA-Serie A,2122,2021-10-31 Sassuolo-Empoli,11,Sun,2021-10-31,15:00,Sassuolo,1.2,1–2,1.6,Empoli,3539,Mapei Stadium - Città del Tricolore,Luca Massimi,/en/matches/742c034b/Sassuolo-Empoli-October-31-2021-Serie-A,,742c034b
ITA-Serie A,2122,2021-11-01 Bologna-Cagliari,11,Mon,2021-11-01,20:45,Bologna,1.2,2–0,0.6,Cagliari,10126,Stadio Renato Dall'Ara,Davide Massa,/en/matches/22c2e561/Bologna-Cagliari-November-1-2021-Serie-A,,22c2e561
ITA-Serie A,2122,2021-11-05 Empoli-Genoa,12,Fri,2021-11-05,20:45,Empoli,0.7,2–2,1.6,Genoa,5631,Stadio Carlo Castellani,Luca Pairetto,/en/matches/a60bbf85/Empoli-Genoa-November-5-2021-Serie-A,,a60bbf85
ITA-Serie A,2122,2021-11-06 Cagliari-Atalanta,12,Sat,2021-11-06,20:45,Cagliari,0.6,1–2,2.9,Atalanta,6976,Unipol Domus,Marco Piccinini,/en/matches/df78a1fa/Cagliari-Atalanta-November-6-2021-Serie-A,,df78a1fa
ITA-Serie A,2122,2021-11-06 Juventus-Fiorentina,12,Sat,2021-11-06,18:00,Juventus,0.6,1–0,0.4,Fiorentina,6953,Allianz Stadium,Simone Sozza,/en/matches/4c7bc2f8/Juventus-Fiorentina-November-6-2021-Serie-A,,4c7bc2f8
ITA-Serie A,2122,2021-11-06 Spezia-Torino,12,Sat,2021-11-06,15:00,Spezia,0.3,1–0,0.4,Torino,6953,Stadio Alberto Picco,Daniele Orsato,/en/matches/e52702fc/Spezia-Torino-November-6-2021-Serie-A,,e52702fc
ITA-Serie A,2122,2021-11-07 Lazio-Salernitana,12,Sun,2021-11-07,18:00,Lazio,1.6,3–0,0.3,Salernitana,25000,Stadio Olimpico,Antonio Rapuano,/en/matches/9dc65c23/Lazio-Salernitana-November-7-2021-Serie-A,,9dc65c23
ITA-Serie A,2122,2021-11-07 Milan-Inter,12,Sun,2021-11-07,20:45,Milan,1.0,1–1,2.6,Inter,56608,Stadio Giuseppe Meazza,Daniele Doveri,/en/matches/0dd97be1/Derby-della-Madonnina-Milan-Internazionale-November-7-2021-Serie-A,,0dd97be1
ITA-Serie A,2122,2021-11-07 Napoli-Hellas Verona,12,Sun,2021-11-07,18:00,Napoli,0.9,1–1,0.9,Hellas Verona,28000,Stadio Diego Armando Maradona,Giovanni Ayroldi,/en/matches/ba0b7a5a/Napoli-Hellas-Verona-November-7-2021-Serie-A,,ba0b7a5a
ITA-Serie A,2122,2021-11-07 Sampdoria-Bologna,12,Sun,2021-11-07,15:00,Sampdoria,1.1,1–2,1.6,Bologna,5694,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,/en/matches/bc9af903/Sampdoria-Bologna-November-7-2021-Serie-A,,bc9af903
ITA-Serie A,2122,2021-11-07 Udinese-Sassuolo,12,Sun,2021-11-07,15:00,Udinese,1.5,3–2,0.9,Sassuolo,8322,Dacia Arena,Federico Dionisi,/en/matches/f30249c5/Udinese-Sassuolo-November-7-2021-Serie-A,,f30249c5
ITA-Serie A,2122,2021-11-07 Venezia-Roma,12,Sun,2021-11-07,12:30,Venezia,2.9,3–2,3.8,Roma,8263,Stadio Pierluigi Penzo,Gianluca Aureliano,/en/matches/b0977f10/Venezia-Roma-November-7-2021-Serie-A,,b0977f10
ITA-Serie A,2122,2021-11-20 Atalanta-Spezia,13,Sat,2021-11-20,15:00,Atalanta,2.2,5–2,0.7,Spezia,10744,Stadio Atleti Azzurri d'Italia,Rosario Abisso,/en/matches/70ac2ffb/Atalanta-Spezia-November-20-2021-Serie-A,,70ac2ffb
ITA-Serie A,2122,2021-11-20 Fiorentina-Milan,13,Sat,2021-11-20,20:45,Fiorentina,1.2,4–3,2.0,Milan,32567,Stadio Artemio Franchi,Marco Guida,/en/matches/fc389008/Fiorentina-Milan-November-20-2021-Serie-A,,fc389008
ITA-Serie A,2122,2021-11-20 Lazio-Juventus,13,Sat,2021-11-20,18:00,Lazio,0.2,0–2,2.4,Juventus,45000,Stadio Olimpico,Marco Di Bello,/en/matches/c79685ce/Lazio-Juventus-November-20-2021-Serie-A,,c79685ce
ITA-Serie A,2122,2021-11-21 Bologna-Venezia,13,Sun,2021-11-21,15:00,Bologna,1.3,0–1,0.7,Venezia,15255,Stadio Renato Dall'Ara,Daniele Chiffi,/en/matches/acfcf469/Bologna-Venezia-November-21-2021-Serie-A,,acfcf469
ITA-Serie A,2122,2021-11-21 Genoa-Roma,13,Sun,2021-11-21,20:45,Genoa,0.1,0–2,2.3,Roma,14667,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,/en/matches/d0eafd28/Genoa-Roma-November-21-2021-Serie-A,,d0eafd28
ITA-Serie A,2122,2021-11-21 Inter-Napoli,13,Sun,2021-11-21,18:00,Inter,1.8,3–2,0.9,Napoli,56649,Stadio Giuseppe Meazza,Paolo Valeri,/en/matches/4ddb85ae/Internazionale-Napoli-November-21-2021-Serie-A,,4ddb85ae
ITA-Serie A,2122,2021-11-21 Salernitana-Sampdoria,13,Sun,2021-11-21,15:00,Salernitana,0.9,0–2,0.9,Sampdoria,11849,Stadio Arechi,Piero Giacomelli,/en/matches/c5af2be5/Salernitana-Sampdoria-November-21-2021-Serie-A,,c5af2be5
ITA-Serie A,2122,2021-11-21 Sassuolo-Cagliari,13,Sun,2021-11-21,12:30,Sassuolo,3.1,2–2,1.4,Cagliari,4135,Mapei Stadium - Città del Tricolore,Niccolò Baroni,/en/matches/6c31cc2b/Sassuolo-Cagliari-November-21-2021-Serie-A,,6c31cc2b
ITA-Serie A,2122,2021-11-22 Hellas Verona-Empoli,13,Mon,2021-11-22,18:30,Hellas Verona,1.3,2–1,1.7,Empoli,13797,Stadio Marc'Antonio Bentegodi,Matteo Gariglio,/en/matches/00d5d4d8/Hellas-Verona-Empoli-November-22-2021-Serie-A,,00d5d4d8
ITA-Serie A,2122,2021-11-22 Torino-Udinese,13,Mon,2021-11-22,20:45,Torino,1.7,2–1,1.2,Udinese,7034,Stadio Olimpico di Torino,Ivan Pezzuto,/en/matches/57e23d41/Torino-Udinese-November-22-2021-Serie-A,,57e23d41
ITA-Serie A,2122,2021-11-26 Cagliari-Salernitana,14,Fri,2021-11-26,20:45,Cagliari,1.8,1–1,0.3,Salernitana,9700,Unipol Domus,Daniele Doveri,/en/matches/6b41ba10/Cagliari-Salernitana-November-26-2021-Serie-A,,6b41ba10
ITA-Serie A,2122,2021-11-27 Empoli-Fiorentina,14,Sat,2021-11-27,15:00,Empoli,1.8,2–1,2.0,Fiorentina,7878,Stadio Carlo Castellani,Juan Sacchi,/en/matches/5441a41d/Empoli-Fiorentina-November-27-2021-Serie-A,,5441a41d
ITA-Serie A,2122,2021-11-27 Juventus-Atalanta,14,Sat,2021-11-27,18:00,Juventus,0.8,0–1,0.5,Atalanta,29886,Allianz Stadium,Giovanni Ayroldi,/en/matches/1ed35e03/Juventus-Atalanta-November-27-2021-Serie-A,,1ed35e03
ITA-Serie A,2122,2021-11-27 Sampdoria-Hellas Verona,14,Sat,2021-11-27,15:00,Sampdoria,0.8,3–1,0.8,Hellas Verona,6813,Stadio Comunale Luigi Ferraris,Lorenzo Maggioni,/en/matches/32755e49/Sampdoria-Hellas-Verona-November-27-2021-Serie-A,,32755e49
ITA-Serie A,2122,2021-11-27 Venezia-Inter,14,Sat,2021-11-27,20:45,Venezia,0.2,0–2,2.5,Inter,8303,Stadio Pierluigi Penzo,Livio Marinelli,/en/matches/da139c2b/Venezia-Internazionale-November-27-2021-Serie-A,,da139c2b
ITA-Serie A,2122,2021-11-28 Milan-Sassuolo,14,Sun,2021-11-28,15:00,Milan,0.8,1–3,1.0,Sassuolo,52824,Stadio Giuseppe Meazza,Gianluca Manganiello,/en/matches/02ecaf9e/Milan-Sassuolo-November-28-2021-Serie-A,,02ecaf9e
ITA-Serie A,2122,2021-11-28 Napoli-Lazio,14,Sun,2021-11-28,20:45,Napoli,1.0,4–0,0.3,Lazio,36000,Stadio Diego Armando Maradona,Daniele Orsato,/en/matches/880095c6/Napoli-Lazio-November-28-2021-Serie-A,,880095c6
ITA-Serie A,2122,2021-11-28 Roma-Torino,14,Sun,2021-11-28,18:00,Roma,1.0,1–0,0.9,Torino,46728,Stadio Olimpico,Daniele Chiffi,/en/matches/30401495/Roma-Torino-November-28-2021-Serie-A,,30401495
ITA-Serie A,2122,2021-11-28 Spezia-Bologna,14,Sun,2021-11-28,15:00,Spezia,0.7,0–1,2.6,Bologna,6265,Stadio Alberto Picco,Luca Massimi,/en/matches/13817595/Spezia-Bologna-November-28-2021-Serie-A,,13817595
ITA-Serie A,2122,2021-11-28 Udinese-Genoa,14,Sun,2021-11-28,12:30,Udinese,1.0,0–0,0.6,Genoa,11537,Dacia Arena,Francesco Meraviglia,/en/matches/6a982c11/Udinese-Genoa-November-28-2021-Serie-A,,6a982c11
ITA-Serie A,2122,2021-11-30 Atalanta-Venezia,15,Tue,2021-11-30,18:30,Atalanta,2.5,4–0,0.6,Venezia,8667,Stadio Atleti Azzurri d'Italia,Alberto Santoro,/en/matches/23d2f4ee/Atalanta-Venezia-November-30-2021-Serie-A,,23d2f4ee
ITA-Serie A,2122,2021-11-30 Fiorentina-Sampdoria,15,Tue,2021-11-30,18:30,Fiorentina,2.9,3–1,0.6,Sampdoria,17913,Stadio Artemio Franchi,Federico Dionisi,/en/matches/a7574d94/Fiorentina-Sampdoria-November-30-2021-Serie-A,,a7574d94
ITA-Serie A,2122,2021-11-30 Hellas Verona-Cagliari,15,Tue,2021-11-30,20:45,Hellas Verona,1.3,0–0,0.6,Cagliari,12188,Stadio Marc'Antonio Bentegodi,Matteo Marcenaro,/en/matches/816fa570/Hellas-Verona-Cagliari-November-30-2021-Serie-A,,816fa570
ITA-Serie A,2122,2021-11-30 Salernitana-Juventus,15,Tue,2021-11-30,20:45,Salernitana,0.3,0–2,2.1,Juventus,19500,Stadio Arechi,Francesco Fourneau,/en/matches/a8be50d4/Salernitana-Juventus-November-30-2021-Serie-A,,a8be50d4
ITA-Serie A,2122,2021-12-01 Bologna-Roma,15,Wed,2021-12-01,18:30,Bologna,0.3,1–0,0.9,Roma,15780,Stadio Renato Dall'Ara,Luca Pairetto,/en/matches/a1d2e757/Bologna-Roma-December-1-2021-Serie-A,,a1d2e757
ITA-Serie A,2122,2021-12-01 Genoa-Milan,15,Wed,2021-12-01,20:45,Genoa,0.5,0–3,1.2,Milan,14000,Stadio Comunale Luigi Ferraris,Juan Sacchi,/en/matches/0664fa4e/Genoa-Milan-December-1-2021-Serie-A,,0664fa4e
ITA-Serie A,2122,2021-12-01 Inter-Spezia,15,Wed,2021-12-01,18:30,Inter,2.9,2–0,0.3,Spezia,30076,Stadio Giuseppe Meazza,Davide Ghersini,/en/matches/7701265a/Internazionale-Spezia-December-1-2021-Serie-A,,7701265a
ITA-Serie A,2122,2021-12-01 Sassuolo-Napoli,15,Wed,2021-12-01,20:45,Sassuolo,0.3,2–2,0.9,Napoli,8192,Mapei Stadium - Città del Tricolore,Ivan Pezzuto,/en/matches/ea8c298c/Sassuolo-Napoli-December-1-2021-Serie-A,,ea8c298c
ITA-Serie A,2122,2021-12-02 Lazio-Udinese,15,Thu,2021-12-02,20:45,Lazio,1.5,4–4,1.5,Udinese,7000,Stadio Olimpico,Marco Piccinini,/en/matches/fb9d520b/Lazio-Udinese-December-2-2021-Serie-A,,fb9d520b
ITA-Serie A,2122,2021-12-02 Torino-Empoli,15,Thu,2021-12-02,18:30,Torino,0.7,2–2,1.0,Empoli,7002,Stadio Olimpico di Torino,Andrea Colombo,/en/matches/c9fd1c3c/Torino-Empoli-December-2-2021-Serie-A,,c9fd1c3c
ITA-Serie A,2122,2021-12-04 Milan-Salernitana,16,Sat,2021-12-04,15:00,Milan,2.1,2–0,0.2,Salernitana,43609,Stadio Giuseppe Meazza,Antonio Giua,/en/matches/6feb04b8/Milan-Salernitana-December-4-2021-Serie-A,,6feb04b8
ITA-Serie A,2122,2021-12-04 Napoli-Atalanta,16,Sat,2021-12-04,20:45,Napoli,1.1,2–3,1.6,Atalanta,30000,Stadio Diego Armando Maradona,Maurizio Mariani,/en/matches/61aaea83/Napoli-Atalanta-December-4-2021-Serie-A,,61aaea83
ITA-Serie A,2122,2021-12-04 Roma-Inter,16,Sat,2021-12-04,18:00,Roma,0.7,0–3,1.3,Inter,51185,Stadio Olimpico,Marco Di Bello,/en/matches/83e0ac81/Roma-Internazionale-December-4-2021-Serie-A,,83e0ac81
ITA-Serie A,2122,2021-12-05 Bologna-Fiorentina,16,Sun,2021-12-05,12:30,Bologna,0.7,2–3,1.1,Fiorentina,18175,Stadio Renato Dall'Ara,Massimiliano Irrati,/en/matches/84a63b19/Derby-dellAppennino-Bologna-Fiorentina-December-5-2021-Serie-A,,84a63b19
ITA-Serie A,2122,2021-12-05 Juventus-Genoa,16,Sun,2021-12-05,20:45,Juventus,2.7,2–0,0.0,Genoa,18458,Allianz Stadium,Daniele Chiffi,/en/matches/2c5c4cc0/Juventus-Genoa-December-5-2021-Serie-A,,2c5c4cc0
