,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Angers,Sada Thioub,SEN,FW,26,1995,1,3,3,0.1,0.0,0,,0,1,3,6,3.0,0,0,0,0.0,0.29,0.0,0.1,-0.1,-2.23,-2.14
FRA-Ligue 1,2122,Angers,Sofiane Boufal,MAR,"FW,MF",27,1993,29,2330,80,68.1,25.9,28,82,13,1,24,0,1.0,29,42,-13,-0.5,-0.67,30.7,34.2,-3.5,-0.13,-0.13
FRA-Ligue 1,2122,Angers,Souleyman Doumbia,CIV,"DF,FW",24,1996,27,2219,82,64.9,24.7,27,82,15,0,,6,1.15,30,37,-7,-0.28,0.02,30.9,30.5,0.4,0.02,0.31
FRA-Ligue 1,2122,Angers,Stéphane Bahoken,CMR,FW,29,1992,29,1099,38,32.1,12.2,12,70,0,17,15,2,1.17,15,16,-1,-0.08,0.31,16.3,14.1,2.2,0.18,0.4
FRA-Ligue 1,2122,Angers,Thomas Mangani,FRA,MF,34,1987,33,2193,66,64.1,24.4,25,82,16,8,18,4,1.12,31,34,-3,-0.12,0.46,32.0,31.0,1.0,0.04,0.37
FRA-Ligue 1,2122,Angers,Vincent Manceau,FRA,DF,32,1989,28,2361,84,69.0,26.2,25,90,24,3,37,9,1.18,34,36,-2,-0.08,0.69,33.3,31.8,1.5,0.06,0.48
FRA-Ligue 1,2122,Angers,Waniss Taibi,FRA,"MF,FW",19,2002,7,132,19,3.9,1.5,1,77,0,6,9,21,1.43,1,0,1,0.68,1.01,1.3,0.6,0.7,0.46,0.58
FRA-Ligue 1,2122,Angers,Yassin Belkhdim,FRA,MF,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA-Ligue 1,2122,Bordeaux,Abdel Jalil Medioub,ALG,DF,23,1997,10,622,62,18.2,6.9,6,88,4,4,24,18,1.2,12,20,-8,-1.16,-0.16,6.8,12.2,-5.4,-0.78,-0.24
FRA-Ligue 1,2122,Bordeaux,Alberth Elis,HON,"FW,MF",25,1996,20,1409,70,41.2,15.7,16,80,6,4,34,1,0.7,24,44,-20,-1.28,-0.43,20.5,28.1,-7.6,-0.49,0.15
FRA-Ligue 1,2122,Bordeaux,Amadou Traore,FRA,FW,19,2002,1,19,19,0.6,0.2,0,,0,1,19,1,0.0,0,2,-2,-9.47,-8.49,0.0,1.4,-1.4,-6.53,-5.99
FRA-Ligue 1,2122,Bordeaux,Anel Ahmedhodžić,BIH,DF,22,1999,15,1350,90,39.5,15.0,15,90,15,0,,0,0.67,18,38,-20,-1.33,-0.51,20.0,22.9,-2.9,-0.19,0.63
