,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2223,Sampdoria,Emil Audero,IDN,GK,25,1997,25.0,617,919,67.1,19319,14234,91,91,100.0,246,248,99.2,279,572,48.8,0,0.0,0.1,0.0,0,16,0,0,0
ITA-Serie A,2223,Sampdoria,Emirhan İlkhan,TUR,MF,18,2004,1.3,53,63,84.1,885,283,30,35,85.7,15,15,100.0,6,8,75.0,0,0.1,0.1,-0.1,1,7,1,0,5
ITA-Serie A,2223,Sampdoria,Fabio Depaoli,ITA,"DF,MF",25,1997,1.5,74,95,77.9,1373,584,31,36,86.1,31,36,86.1,11,21,52.4,0,0.4,0.3,-0.4,4,6,4,4,10
ITA-Serie A,2223,Sampdoria,Fabio Quagliarella,ITA,FW,39,1983,8.9,159,245,64.9,2528,609,78,100,78.0,49,72,68.1,18,37,48.6,1,0.7,0.7,0.3,7,15,7,1,25
ITA-Serie A,2223,Sampdoria,Filip Đuričić,SRB,"MF,FW",30,1992,24.1,586,758,77.3,9599,2169,302,347,87.0,211,254,83.1,52,86,60.5,0,1.9,1.6,-1.9,34,50,18,4,77
ITA-Serie A,2223,Sampdoria,Flavio Paoletti,ITA,MF,19,2003,3.2,138,168,82.1,2534,583,58,66,87.9,64,71,90.1,14,19,73.7,0,0.0,0.1,0.0,1,7,0,0,8
ITA-Serie A,2223,Sampdoria,Francesco Caputo,ITA,FW,34,1987,12.2,168,237,70.9,2130,315,96,130,73.8,43,60,71.7,8,10,80.0,0,0.5,0.6,-0.5,9,11,4,0,11
ITA-Serie A,2223,Sampdoria,Gerard Yepes,ESP,MF,19,2002,2.2,77,105,73.3,1205,271,43,55,78.2,28,34,82.4,5,10,50.0,0,0.0,0.0,0.0,1,5,0,0,7
ITA-Serie A,2223,Sampdoria,Gonzalo Villar,ESP,MF,24,1998,7.7,317,381,83.2,5395,1357,136,162,84.0,145,165,87.9,27,41,65.9,0,0.0,0.2,0.0,0,25,1,0,26
ITA-Serie A,2223,Sampdoria,Harry Winks,ENG,MF,26,1996,19.1,792,961,82.4,14868,5159,319,360,88.6,352,400,88.0,104,162,64.2,0,1.3,1.5,-1.3,15,80,10,3,117
ITA-Serie A,2223,Sampdoria,Ignacio Pussetto,ARG,"MF,DF",26,1995,1.7,34,56,60.7,404,91,25,32,78.1,7,12,58.3,0,4,0.0,0,0.2,0.1,-0.2,2,2,0,0,1
ITA-Serie A,2223,Sampdoria,Jeison Murillo,COL,DF,30,1992,11.7,456,557,81.9,9153,3324,145,159,91.2,254,286,88.8,55,97,56.7,0,0.0,0.1,0.0,2,30,1,0,35
ITA-Serie A,2223,Sampdoria,Jesé,ESP,FW,29,1993,2.3,47,65,72.3,706,87,26,30,86.7,16,21,76.2,3,4,75.0,1,0.5,0.4,0.5,2,0,0,0,1
ITA-Serie A,2223,Sampdoria,Koray Günter,GER,DF,27,1994,8.6,344,420,81.9,6493,2308,138,157,87.9,172,198,86.9,32,55,58.2,0,0.2,0.3,-0.2,2,21,2,1,21
ITA-Serie A,2223,Sampdoria,Lorenzo Malagrida,ITA,"MF,DF",18,2003,1.2,31,42,73.8,381,99,22,26,84.6,8,10,80.0,0,2,0.0,0,0.1,0.1,-0.1,2,1,3,1,4
ITA-Serie A,2223,Sampdoria,Manolo Gabbiadini,ITA,"FW,MF",30,1991,26.2,428,625,68.5,5770,1470,263,332,79.2,116,167,69.5,19,45,42.2,2,4.5,4.1,-2.5,27,33,28,2,55
ITA-Serie A,2223,Sampdoria,Manuel De Luca,ITA,"FW,MF",24,1998,0.5,5,8,62.5,66,1,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2223,Sampdoria,Marios Oikonomou,GRE,DF,29,1992,2.4,63,85,74.1,1271,547,24,28,85.7,32,38,84.2,7,19,36.8,0,0.0,0.0,0.0,0,1,0,0,2
ITA-Serie A,2223,Sampdoria,Martin Turk,SVN,GK,18,2003,4.0,89,142,62.7,3103,2663,10,10,100.0,33,35,94.3,44,95,46.3,0,0.0,0.0,0.0,0,1,0,0,0
ITA-Serie A,2223,Sampdoria,Mehdi Léris,ALG,"MF,DF",24,1998,27.3,618,932,66.3,8836,2937,373,446,83.6,177,290,61.0,37,89,41.6,1,1.8,1.7,-0.8,20,48,19,5,62
ITA-Serie A,2223,Sampdoria,Mickaël Cuisance,FRA,MF,22,1999,6.9,176,223,78.9,3034,819,81,87,93.1,69,82,84.1,20,40,50.0,0,0.7,0.6,-0.7,6,13,8,0,23
ITA-Serie A,2223,Sampdoria,Mihailo Ivanović,SRB,FW,17,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2223,Sampdoria,Nicola Murru,ITA,DF,27,1994,8.7,254,331,76.7,4454,2064,114,126,90.5,112,137,81.8,23,53,43.4,0,0.1,0.3,-0.1,2,21,4,3,27
ITA-Serie A,2223,Sampdoria,Nicola Ravaglia,ITA,GK,33,1988,9.0,213,325,65.5,5681,4153,58,58,100.0,85,87,97.7,70,180,38.9,0,0.0,0.0,0.0,0,6,0,0,0
ITA-Serie A,2223,Sampdoria,Omar Colley,GAM,DF,29,1992,15.4,615,714,86.1,12155,4062,165,186,88.7,380,412,92.2,58,96,60.4,0,0.0,0.1,0.0,0,38,1,0,33
ITA-Serie A,2223,Sampdoria,Ronaldo Vieira,GNB,MF,24,1998,9.1,384,440,87.3,7101,1804,136,152,89.5,195,213,91.5,44,51,86.3,0,0.0,0.2,0.0,0,39,2,0,39
ITA-Serie A,2223,Sampdoria,Sam Lammers,NED,FW,25,1997,12.2,172,254,67.7,2243,537,116,153,75.8,45,69,65.2,4,4,100.0,1,1.2,0.7,-0.2,14,13,8,1,19
ITA-Serie A,2223,Sampdoria,Samuel Ntanda,COD,MF,17,2005,0.0,1,1,100.0,5,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2223,Sampdoria,Telasco Segovia,VEN,MF,19,2003,0.0,3,3,100.0,38,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2223,Sampdoria,Tommaso Augello,ITA,DF,27,1994,34.0,1283,1774,72.3,21887,9530,613,701,87.4,531,716,74.2,114,236,48.3,5,3.9,3.8,1.1,43,84,45,28,119
ITA-Serie A,2223,Sampdoria,Tomás Rincón,VEN,MF,34,1988,28.4,1018,1245,81.8,18851,5530,434,496,87.5,432,501,86.2,129,200,64.5,2,1.2,1.9,0.8,21,116,22,6,122
ITA-Serie A,2223,Sampdoria,Valerio Verre,ITA,MF,28,1994,7.5,282,398,70.9,5116,1682,136,161,84.5,99,135,73.3,41,74,55.4,0,1.1,0.9,-1.1,13,30,14,4,45
ITA-Serie A,2223,Sassuolo,Abdou Harroui,NED,MF,24,1998,7.2,254,308,82.5,3861,992,133,147,90.5,98,116,84.5,14,21,66.7,0,0.3,0.5,-0.3,6,35,7,2,36
ITA-Serie A,2223,Sassuolo,Agustín Álvarez,URU,"FW,MF",21,2001,4.1,68,84,81.0,942,179,43,52,82.7,13,17,76.5,6,8,75.0,1,0.4,0.3,0.6,2,4,2,0,6
ITA-Serie A,2223,Sassuolo,Alessandro Russo,ITA,GK,21,2001,1.0,37,50,74.0,750,387,16,16,100.0,15,15,100.0,6,19,31.6,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2223,Sassuolo,Andrea Consigli,ITA,GK,35,1987,35.0,1130,1427,79.2,31355,20598,200,201,99.5,483,486,99.4,444,735,60.4,0,0.0,0.0,0.0,0,16,0,0,1
ITA-Serie A,2223,Sassuolo,Andrea Pinamonti,ITA,FW,23,1999,24.0,324,496,65.3,3971,594,216,285,75.8,68,117,58.1,12,23,52.2,0,1.5,1.6,-1.5,17,15,14,2,29
ITA-Serie A,2223,Sassuolo,Armand Lauriente,FRA,FW,23,1998,24.2,572,805,71.1,8488,2579,338,400,84.5,170,235,72.3,36,92,39.1,6,6.2,4.3,-0.2,61,39,49,10,90
ITA-Serie A,2223,Sassuolo,Davide Frattesi,ITA,MF,22,1999,31.9,812,1024,79.3,13717,3762,400,479,83.5,301,363,82.9,80,116,69.0,0,1.9,2.0,-1.9,27,80,22,1,137
ITA-Serie A,2223,Sassuolo,Domenico Berardi,ITA,FW,27,1994,20.7,614,909,67.5,12161,3346,260,343,75.8,224,317,70.7,109,173,63.0,7,6.6,5.9,0.4,45,38,56,10,114
ITA-Serie A,2223,Sassuolo,Emil Ceide,NOR,FW,20,2001,5.7,123,169,72.8,1571,499,89,103,86.4,24,36,66.7,4,7,57.1,1,1.3,0.9,-0.3,8,7,9,1,19
ITA-Serie A,2223,Sassuolo,Filippo Romagna,ITA,DF,25,1997,0.5,34,36,94.4,579,165,13,13,100.0,21,22,95.5,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2223,Sassuolo,Giacomo Raspadori,ITA,FW,22,2000,0.5,10,12,83.3,207,33,2,2,100.0,6,7,85.7,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,2
ITA-Serie A,2223,Sassuolo,Gian Marco Ferrari,ITA,DF,30,1992,24.7,1111,1295,85.8,22139,8213,353,387,91.2,598,655,91.3,144,221,65.2,0,0.4,1.0,-0.4,4,78,5,1,101
ITA-Serie A,2223,Sassuolo,Gianluca Pegolo,ITA,GK,41,1981,2.0,64,77,83.1,1652,1058,13,13,100.0,31,32,96.9,19,31,61.3,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2223,Sassuolo,Giorgos Kyriakopoulos,GRE,"FW,DF",26,1996,8.5,300,391,76.7,5430,2158,148,165,89.7,103,125,82.4,44,81,54.3,1,1.4,0.9,-0.4,14,23,14,9,32
ITA-Serie A,2223,Sassuolo,Grégoire Defrel,MTQ,FW,31,1991,13.0,211,250,84.4,2451,347,138,151,91.4,46,56,82.1,3,9,33.3,1,0.5,0.2,0.5,9,12,1,0,10
ITA-Serie A,2223,Sassuolo,Hamed Junior Traorè,CIV,"MF,FW",22,2000,6.6,184,245,75.1,3077,823,87,101,86.1,68,83,81.9,20,34,58.8,3,1.8,0.8,1.2,17,17,7,3,26
ITA-Serie A,2223,Sassuolo,Janis Antiste,FRA,FW,19,2002,0.6,13,18,72.2,159,43,8,11,72.7,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
ITA-Serie A,2223,Sassuolo,Jeremy Toljan,GER,DF,27,1994,29.7,1363,1610,84.7,21955,8084,722,793,91.0,505,576,87.7,104,163,63.8,1,2.4,1.6,-1.4,22,124,23,7,142
ITA-Serie A,2223,Sassuolo,Kaan Ayhan,TUR,DF,27,1994,6.1,288,332,86.7,6000,1702,84,87,96.6,154,167,92.2,48,72,66.7,0,0.0,0.0,0.0,0,20,0,0,15
