league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
GER-Bundesliga,2223,2022-08-05 Eint Frankfurt-Bayern Munich,Bundesliga,1,Fri,2022-08-05,20:30,Eint Frankfurt,0.9,1–6,4.0,Bayern Munich,51500,Deutsche Bank Park,Deniz Aytekin,/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga,,6a1c18c4
GER-Bundesliga,2223,2022-08-06 Augsburg-Freiburg,Bundesliga,1,Sat,2022-08-06,15:30,Augsburg,0.7,0–4,1.2,Freiburg,25310,WWK Arena,Bastian Dankert,/en/matches/3c5c48d7/Augsburg-Freiburg-August-6-2022-Bundesliga,,3c5c48d7
GER-Bundesliga,2223,2022-08-06 Bochum-Mainz 05,Bundesliga,1,Sat,2022-08-06,15:30,Bochum,0.9,1–2,1.4,Mainz 05,24110,Vonovia Ruhrstadion,Felix Zwayer,/en/matches/b9e40750/Bochum-Mainz-05-August-6-2022-Bundesliga,,b9e40750
GER-Bundesliga,2223,2022-08-06 Dortmund-Leverkusen,Bundesliga,1,Sat,2022-08-06,18:30,Dortmund,1.8,1–0,1.3,Leverkusen,81365,Signal Iduna Park,Felix Brych,/en/matches/db9b4ee2/Dortmund-Bayer-Leverkusen-August-6-2022-Bundesliga,,db9b4ee2
GER-Bundesliga,2223,2022-08-06 Gladbach-Hoffenheim,Bundesliga,1,Sat,2022-08-06,15:30,Gladbach,1.9,3–1,0.1,Hoffenheim,49659,Stadion im Borussia-Park,Daniel Siebert,/en/matches/aeed6604/Monchengladbach-Hoffenheim-August-6-2022-Bundesliga,,aeed6604
GER-Bundesliga,2223,2022-08-06 Union Berlin-Hertha BSC,Bundesliga,1,Sat,2022-08-06,15:30,Union Berlin,1.0,3–1,0.3,Hertha BSC,22012,Stadion An der Alten Försterei,Marco Fritz,/en/matches/58e704e1/Union-Berlin-Hertha-BSC-August-6-2022-Bundesliga,,58e704e1
GER-Bundesliga,2223,2022-08-06 Wolfsburg-Werder Bremen,Bundesliga,1,Sat,2022-08-06,15:30,Wolfsburg,1.0,2–2,0.8,Werder Bremen,28015,Volkswagen Arena,Sascha Stegemann,/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga,,1591be13
GER-Bundesliga,2223,2022-08-07 Köln-Schalke 04,Bundesliga,1,Sun,2022-08-07,17:30,Köln,4.1,3–1,0.2,Schalke 04,50000,RheinEnergieSTADION,Robert Schröder,/en/matches/6ba18904/Koln-Schalke-04-August-7-2022-Bundesliga,,6ba18904
GER-Bundesliga,2223,2022-08-07 Stuttgart-RB Leipzig,Bundesliga,1,Sun,2022-08-07,15:30,Stuttgart,0.8,1–1,1.6,RB Leipzig,46000,Mercedes-Benz Arena,Tobias Stieler,/en/matches/d0ce6f1a/Stuttgart-RB-Leipzig-August-7-2022-Bundesliga,,d0ce6f1a
GER-Bundesliga,2223,2022-08-12 Freiburg-Dortmund,Bundesliga,2,Fri,2022-08-12,20:30,Freiburg,1.0,1–3,1.1,Dortmund,34700,Europa-Park Stadion,Tobias Welz,/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga,,ba444a3a
