,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2223,Cremonese,Leonardo Sernicola,ITA,DF,25,1997,32,27,2317,25.7,2,2,4,2,0,0,11,0,1.3,1.3,2.3,3.7,60,62,95,0.08,0.08,0.16,0.08,0.16,0.05,0.09,0.14,0.05,0.14
ITA-Serie A,2223,Cremonese,Luca Zanimacchia,ITA,"MF,FW",24,1998,15,9,746,8.3,0,0,0,0,0,0,2,0,1.2,1.2,0.9,2.0,22,26,70,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.25,0.14,0.25
ITA-Serie A,2223,Cremonese,Luka Lochoshvili,GEO,DF,24,1998,25,22,1839,20.4,1,2,3,1,0,0,4,0,0.6,0.6,1.1,1.7,17,70,5,0.05,0.1,0.15,0.05,0.15,0.03,0.05,0.08,0.03,0.08
ITA-Serie A,2223,Cremonese,Marco Benassi,ITA,MF,27,1994,15,11,998,11.1,0,0,0,0,0,0,1,0,1.3,1.3,0.4,1.7,10,27,30,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.16,0.12,0.16
ITA-Serie A,2223,Cremonese,Marco Carnesecchi,ITA,GK,22,2000,27,27,2430,27.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.04,0.04,0.0,0.04,0.0,0.01,0.01,0.0,0.01
ITA-Serie A,2223,Cremonese,Matteo Bianchetti,ITA,DF,29,1993,25,22,2132,23.7,1,0,1,1,0,0,5,0,0.8,0.8,0.5,1.2,6,47,4,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
ITA-Serie A,2223,Cremonese,Michele Castagnetti,ITA,MF,32,1989,27,14,1412,15.7,0,1,1,0,0,0,2,0,0.6,0.6,1.8,2.5,14,120,10,0.0,0.06,0.06,0.0,0.06,0.04,0.12,0.16,0.04,0.16
ITA-Serie A,2223,Cremonese,Mouhamadou Sarr,SEN,GK,25,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Cremonese,Pablo Galdames Millán,CHI,MF,25,1996,13,10,734,8.2,1,2,3,1,0,0,2,0,0.3,0.3,1.1,1.4,5,33,17,0.12,0.25,0.37,0.12,0.37,0.04,0.13,0.17,0.04,0.17
ITA-Serie A,2223,Cremonese,Paolo Ghiglione,ITA,DF,25,1997,15,8,711,7.9,1,1,2,1,0,0,4,0,0.8,0.8,0.6,1.5,5,19,35,0.13,0.13,0.25,0.13,0.25,0.1,0.08,0.18,0.1,0.18
ITA-Serie A,2223,Cremonese,Samuel Di Carmine,ITA,"FW,MF",33,1988,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28
ITA-Serie A,2223,Cremonese,Santiago Ascacíbar,ARG,MF,25,1997,13,7,727,8.1,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,1,41,6,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1
ITA-Serie A,2223,Cremonese,Soualiho Meïté,FRA,MF,28,1994,31,28,2366,26.3,0,2,2,0,0,0,5,0,0.5,0.5,0.7,1.2,26,82,22,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.04,0.02,0.04
ITA-Serie A,2223,Cremonese,Tommaso Milanese,ITA,MF,20,2002,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.0,0.63
ITA-Serie A,2223,Cremonese,Vlad Chiricheș,ROU,DF,32,1989,16,14,983,10.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Empoli,Alberto Grassi,ITA,MF,27,1995,25,14,1194,13.3,0,0,0,0,0,0,3,0,0.6,0.6,0.4,0.9,5,50,10,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07
ITA-Serie A,2223,Empoli,Ardian Ismajli,ALB,DF,25,1996,25,22,2094,23.3,0,0,0,0,0,0,3,0,0.7,0.7,0.3,1.0,10,42,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
ITA-Serie A,2223,Empoli,Duccio Degl'Innocenti,ITA,MF,19,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Empoli,Emanuel Vignato,ITA,"MF,FW",21,2000,5,0,57,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,7,5,1.58,0.0,1.58,1.58,1.58,0.3,0.19,0.49,0.3,0.49
ITA-Serie A,2223,Empoli,Emmanuel Ekong,SWE,"FW,MF",20,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
ITA-Serie A,2223,Empoli,Fabiano Parisi,ITA,DF,21,2000,33,33,2830,31.4,2,0,2,2,0,0,10,1,1.8,1.8,2.0,3.8,102,154,68,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.12
ITA-Serie A,2223,Empoli,Filippo Bandinelli,ITA,MF,27,1995,35,28,2263,25.1,2,0,2,2,0,0,10,0,1.7,1.7,2.6,4.4,40,101,89,0.08,0.0,0.08,0.08,0.08,0.07,0.1,0.17,0.07,0.17
ITA-Serie A,2223,Empoli,Francesco Caputo,ITA,FW,34,1987,21,20,1708,19.0,5,4,9,3,2,2,1,0,7.5,5.9,2.2,8.1,16,21,128,0.26,0.21,0.47,0.16,0.37,0.39,0.12,0.51,0.31,0.43
ITA-Serie A,2223,Empoli,Guglielmo Vicario,ITA,GK,25,1996,31,31,2783,30.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Empoli,Herculano Nabian,POR,MF,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Empoli,Jacopo Fazzini,ITA,MF,19,2003,21,8,825,9.2,0,0,0,0,0,0,4,0,1.0,1.0,0.9,1.9,11,21,40,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.2,0.11,0.2
ITA-Serie A,2223,Empoli,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",29,1992,24,16,1356,15.1,1,1,2,1,0,0,9,2,1.5,1.5,1.0,2.4,19,39,37,0.07,0.07,0.13,0.07,0.13,0.1,0.06,0.16,0.1,0.16
ITA-Serie A,2223,Empoli,Koni De Winter,BEL,DF,20,2002,14,12,1024,11.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,2,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
ITA-Serie A,2223,Empoli,Liam Henderson,SCO,MF,26,1996,25,11,1007,11.2,0,1,1,0,0,0,9,0,0.5,0.5,1.4,1.9,11,38,38,0.0,0.09,0.09,0.0,0.09,0.04,0.12,0.17,0.04,0.17
ITA-Serie A,2223,Empoli,Liberato Cacace,NZL,DF,21,2000,12,5,587,6.5,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,21,41,31,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.19,0.09,0.19
ITA-Serie A,2223,Empoli,Lorenzo Tonelli,ITA,DF,32,1990,1,0,19,0.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Empoli,Marko Pjaca,CRO,"MF,FW",27,1995,17,5,525,5.8,0,0,0,0,0,0,1,0,0.7,0.7,0.4,1.1,22,18,33,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.19,0.11,0.19
ITA-Serie A,2223,Empoli,Martin Satriano,URU,FW,21,2001,31,20,1705,18.9,2,1,3,2,0,0,4,0,3.9,3.9,1.2,5.1,29,22,127,0.11,0.05,0.16,0.11,0.16,0.2,0.07,0.27,0.2,0.27
ITA-Serie A,2223,Empoli,Mattia Destro,ITA,"FW,MF",31,1991,17,6,572,6.4,1,0,1,1,0,0,3,0,1.4,1.4,0.4,1.8,4,4,20,0.16,0.0,0.16,0.16,0.16,0.22,0.06,0.28,0.22,0.28
ITA-Serie A,2223,Empoli,Nedim Bajrami,ALB,"MF,FW",23,1999,19,8,940,10.4,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,22,29,47,0.1,0.1,0.19,0.1,0.19,0.12,0.11,0.23,0.12,0.23
ITA-Serie A,2223,Empoli,Nicolas Haas,SUI,MF,26,1996,24,12,1156,12.8,1,1,2,1,0,0,2,0,1.2,1.2,0.9,2.1,10,36,23,0.08,0.08,0.16,0.08,0.16,0.09,0.07,0.16,0.09,0.16
