,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2223,Almería,Rodrigo Ely,BRA,DF,28,1993,36,36,3155,35.1,0,1,1,0,0,0,10,1,1.0,1.0,0.8,1.8,6,52,4,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05
ESP-La Liga,2223,Almería,Samu Costa,POR,MF,21,2000,32,22,1989,22.1,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,9,91,24,0.05,0.09,0.14,0.05,0.14,0.08,0.04,0.12,0.08,0.12
ESP-La Liga,2223,Almería,Sergio Akieme,ESP,DF,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2.0,3.5,60,58,84,0.04,0.0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14
ESP-La Liga,2223,Almería,Srđan Babić,SRB,DF,26,1996,34,33,2998,33.3,3,0,3,3,0,0,5,0,1.2,1.2,0.3,1.5,21,63,5,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.04,0.04,0.04
ESP-La Liga,2223,Almería,Umar Sadiq,NGA,FW,25,1997,3,3,240,2.7,2,0,2,2,0,0,1,0,1.5,1.5,0.2,1.6,5,2,7,0.75,0.0,0.75,0.75,0.75,0.55,0.06,0.61,0.55,0.61
ESP-La Liga,2223,Almería,Álex Centelles,ESP,DF,24,1997,15,11,1123,12.5,1,2,3,1,0,0,0,1,0.4,0.4,1.3,1.7,17,35,48,0.08,0.16,0.24,0.08,0.24,0.03,0.11,0.14,0.03,0.14
ESP-La Liga,2223,Almería,Íñigo Eguaras,ESP,MF,30,1992,25,10,967,10.7,1,1,2,1,0,0,6,0,1.0,1.0,0.6,1.7,8,61,7,0.09,0.09,0.19,0.09,0.19,0.1,0.06,0.16,0.1,0.16
ESP-La Liga,2223,Athletic Club,Adu Ares,ESP,"FW,MF",20,2001,8,0,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,4,19,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3
ESP-La Liga,2223,Athletic Club,Aitor Paredes,ESP,DF,22,2000,16,9,859,9.5,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,4,33,8,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09
ESP-La Liga,2223,Athletic Club,Ander Capa,ESP,DF,30,1992,7,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
ESP-La Liga,2223,Athletic Club,Ander Herrera,ESP,MF,32,1989,17,9,697,7.7,0,1,1,0,0,0,4,1,0.5,0.5,0.9,1.4,8,40,14,0.0,0.13,0.13,0.0,0.13,0.07,0.11,0.18,0.07,0.18
ESP-La Liga,2223,Athletic Club,Asier Villalibre,ESP,FW,24,1997,5,1,97,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0,2,9,0.0,0.0,0.0,0.0,0.0,0.29,0.19,0.47,0.29,0.47
ESP-La Liga,2223,Athletic Club,Dani García,ESP,MF,32,1990,25,18,1485,16.5,0,2,2,0,0,0,6,0,1.4,1.4,0.7,2.1,6,73,8,0.0,0.12,0.12,0.0,0.12,0.09,0.04,0.13,0.09,0.13
ESP-La Liga,2223,Athletic Club,Daniel Vivian,ESP,DF,23,1999,29,26,2376,26.4,1,0,1,1,0,0,7,1,1.2,1.2,0.7,2.0,25,124,5,0.04,0.0,0.04,0.04,0.04,0.05,0.03,0.07,0.05,0.07
ESP-La Liga,2223,Athletic Club,Gorka Guruzeta,ESP,FW,25,1996,30,17,1421,15.8,6,1,7,6,0,0,2,0,6.1,6.1,1.0,7.1,15,37,93,0.38,0.06,0.44,0.38,0.44,0.39,0.06,0.45,0.39,0.45
ESP-La Liga,2223,Athletic Club,Iker Muniain,ESP,"MF,FW",29,1992,30,19,1689,18.8,0,3,3,0,0,0,2,0,3.0,3.0,3.9,6.9,50,154,103,0.0,0.16,0.16,0.0,0.16,0.16,0.21,0.37,0.16,0.37
ESP-La Liga,2223,Athletic Club,Iñaki Williams,GHA,FW,28,1994,36,34,2836,31.5,10,3,13,9,1,2,2,0,10.7,9.1,4.8,13.9,127,61,341,0.32,0.1,0.41,0.29,0.38,0.34,0.15,0.49,0.29,0.44
ESP-La Liga,2223,Athletic Club,Iñigo Lekue,ESP,DF,29,1993,20,14,1321,14.7,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,42,64,59,0.0,0.07,0.07,0.0,0.07,0.02,0.05,0.06,0.02,0.06
