,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,"FW,MF",24,1998,8.0,1,17,4,23.5,2.12,0.5,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,0.2,0.2
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,10.5,1,4,1,25.0,0.38,0.1,0.25,1.0,10.7,0,0,0,0.3,0.3,0.07,0.7,0.7
ESP-La Liga,2324,Alavés,Alex Sola,ESP,"FW,MF",24,1999,14.0,0,28,7,25.0,2.0,0.5,0.0,0.0,17.6,2,0,0,1.6,1.6,0.06,-1.6,-1.6
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,32.6,1,16,2,12.5,0.49,0.06,0.06,0.5,23.2,0,0,0,0.7,0.7,0.04,0.3,0.3
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,31.7,1,15,6,40.0,0.47,0.19,0.07,0.17,23.4,0,0,0,0.7,0.7,0.05,0.3,0.3
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,27.0,0,20,3,15.0,0.74,0.11,0.0,0.0,25.1,0,0,0,0.8,0.8,0.04,-0.8,-0.8
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,12.6,3,14,7,50.0,1.11,0.55,0.21,0.43,19.8,0,0,0,1.0,1.0,0.07,2.0,2.0
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,FW,24,1999,12.4,2,15,8,53.3,1.21,0.65,0.13,0.25,15.2,1,0,0,2.3,2.3,0.16,-0.3,-0.3
ESP-La Liga,2324,Alavés,Eneko Ortiz,ESP,DF,20,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2324,Alavés,Giuliano Simeone,ARG,FW,20,2002,7.0,1,14,2,14.3,2.0,0.29,0.07,0.5,19.7,0,0,1,2.4,1.6,0.12,-1.4,-0.6
ESP-La Liga,2324,Alavés,Ianis Hagi,ROU,"MF,FW",24,1998,8.9,0,26,8,30.8,2.91,0.9,0.0,0.0,23.9,4,0,1,2.8,2.0,0.08,-2.8,-2.0
ESP-La Liga,2324,Alavés,Javi López,ESP,DF,21,2002,26.5,1,18,3,16.7,0.68,0.11,0.06,0.33,17.4,0,0,0,0.9,0.9,0.05,0.1,0.1
ESP-La Liga,2324,Alavés,Jesús Owono,EQG,GK,22,2001,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2324,Alavés,Joaquín Panichelli,ARG,"FW,MF",20,2002,2.5,0,9,2,22.2,3.58,0.8,0.0,0.0,17.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6
ESP-La Liga,2324,Alavés,Jon Guridi,ESP,MF,28,1995,29.8,3,36,8,22.2,1.21,0.27,0.08,0.38,13.0,0,0,0,4.0,4.0,0.11,-1.0,-1.0
ESP-La Liga,2324,Alavés,Jon Karrikaburu,ESP,"MF,FW",20,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2324,Alavés,Kiké,ESP,"FW,MF",33,1989,15.8,3,56,23,41.1,3.54,1.45,0.05,0.13,13.1,0,0,1,7.7,6.9,0.12,-4.7,-3.9
ESP-La Liga,2324,Alavés,Luis Rioja,ESP,"FW,MF",29,1993,27.8,5,53,15,28.3,1.91,0.54,0.04,0.13,21.6,4,3,4,6.1,3.0,0.06,-1.1,-1.0
ESP-La Liga,2324,Alavés,Mamadou Sylla,SEN,"FW,MF",29,1994,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2324,Alavés,Miguel,ESP,"FW,MF",23,1999,0.7,0,2,1,50.0,2.77,1.38,0.0,0.0,19.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ESP-La Liga,2324,Alavés,Nahuel Tenaglia,ARG,DF,27,1996,12.7,1,8,1,12.5,0.63,0.08,0.13,1.0,14.1,0,0,0,0.6,0.6,0.08,0.4,0.4
ESP-La Liga,2324,Alavés,Rafa Marín,ESP,DF,21,2002,27.1,0,13,3,23.1,0.48,0.11,0.0,0.0,14.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7
ESP-La Liga,2324,Alavés,Rubén Duarte,ESP,DF,27,1995,20.9,2,15,5,33.3,0.72,0.24,0.13,0.4,24.6,3,0,0,0.7,0.7,0.05,1.3,1.3
ESP-La Liga,2324,Alavés,Samu Omorodion,ESP,FW,19,2004,21.3,8,64,24,37.5,3.0,1.13,0.13,0.33,13.5,0,0,0,10.8,10.8,0.17,-2.8,-2.8
