,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Ajaccio,Anthony Khelifa,ALG,DF,16,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2223,Ajaccio,Ben Hamed Touré,CIV,FW,18,2003,2.3,0,2,0,0.0,0.86,0.0,0.0,,28.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
FRA-Ligue 1,2223,Ajaccio,Benjamin Leroy,FRA,GK,33,1989,31.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2223,Ajaccio,Bevic Moussiti-Oko,CGO,FW,27,1995,7.8,1,20,7,35.0,2.58,0.9,0.05,0.14,12.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8
FRA-Ligue 1,2223,Ajaccio,Clément Vidal,FRA,"DF,MF",22,2000,21.1,1,12,2,16.7,0.57,0.09,0.08,0.5,10.8,0,0,0,0.8,0.8,0.06,0.2,0.2
FRA-Ligue 1,2223,Ajaccio,Cyrille Bayala,BFA,MF,26,1996,22.3,1,22,6,27.3,0.99,0.27,0.05,0.17,15.2,0,0,0,2.0,2.0,0.09,-1.0,-1.0
FRA-Ligue 1,2223,Ajaccio,Cédric Avinel,GLP,DF,35,1986,19.9,1,3,1,33.3,0.15,0.05,0.33,1.0,4.1,0,0,0,1.0,1.0,0.41,0.0,0.0
FRA-Ligue 1,2223,Ajaccio,Fernand Mayembo,CGO,DF,26,1996,7.9,0,4,0,0.0,0.51,0.0,0.0,,6.2,0,0,0,1.2,1.2,0.29,-1.2,-1.2
FRA-Ligue 1,2223,Ajaccio,Florian Chabrolle,FRA,MF,24,1998,3.7,0,2,1,50.0,0.55,0.27,0.0,0.0,26.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
FRA-Ligue 1,2223,Ajaccio,François-Joseph Sollacaro,FRA,GK,28,1994,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2223,Ajaccio,Ghjuvanni Quilichini,FRA,GK,19,2002,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2223,Ajaccio,Ismael Diallo,CIV,DF,25,1997,24.2,0,3,0,0.0,0.12,0.0,0.0,,17.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
FRA-Ligue 1,2223,Ajaccio,Ivane Chegra,FRA,"MF,FW",18,2004,2.1,0,1,0,0.0,0.47,0.0,0.0,,20.4,0,0,0,0.0,0.0,0.03,0.0,0.0
FRA-Ligue 1,2223,Ajaccio,Kevin Spadanuda,SUI,"MF,FW",25,1997,11.8,0,7,1,14.3,0.59,0.08,0.0,0.0,14.2,0,0,0,0.7,0.7,0.1,-0.7,-0.7
FRA-Ligue 1,2223,Ajaccio,Kouamé Botué,BFA,"FW,MF",19,2002,2.5,0,7,0,0.0,2.75,0.0,0.0,,14.2,0,0,0,1.2,1.2,0.17,-1.2,-1.2
FRA-Ligue 1,2223,Ajaccio,Mathieu Coutadeur,FRA,MF,36,1986,21.6,0,4,0,0.0,0.18,0.0,0.0,,29.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
FRA-Ligue 1,2223,Ajaccio,Mehdi Puch-Herrantz,FRA,MF,18,2004,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2223,Ajaccio,Mickaël Alphonse,GLP,DF,33,1989,15.1,0,10,2,20.0,0.66,0.13,0.0,0.0,16.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5
FRA-Ligue 1,2223,Ajaccio,Mickaël Barreto,FRA,MF,31,1991,14.7,1,19,4,21.1,1.29,0.27,0.05,0.25,26.6,3,0,0,0.9,0.9,0.05,0.1,0.1
FRA-Ligue 1,2223,Ajaccio,Mohamed Youssouf,COM,DF,34,1988,27.3,0,5,1,20.0,0.18,0.04,0.0,0.0,18.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
FRA-Ligue 1,2223,Ajaccio,Mounaim El Idrissy,FRA,FW,23,1999,27.7,6,50,19,38.0,1.8,0.68,0.12,0.32,14.6,0,0,0,7.2,7.2,0.14,-1.2,-1.2
FRA-Ligue 1,2223,Ajaccio,Moussa Djitte,SEN,FW,22,1999,1.5,0,2,0,0.0,1.32,0.0,0.0,,23.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
FRA-Ligue 1,2223,Ajaccio,Moussa Soumano,FRA,FW,17,2005,5.5,1,6,2,33.3,1.09,0.36,0.17,0.5,17.5,0,0,0,0.5,0.5,0.09,0.5,0.5
FRA-Ligue 1,2223,Ajaccio,Oumar Gonzalez,CMR,DF,24,1998,28.6,0,11,3,27.3,0.38,0.1,0.0,0.0,11.1,0,0,0,1.0,1.0,0.09,-1.0,-1.0
FRA-Ligue 1,2223,Ajaccio,Paolo Lebas,FRA,MF,19,2003,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
