league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2122,2021-08-06 Monaco-Nantes,Ligue 1,1,Fri,2021-08-06,21:00,Monaco,1.5,1–1,0.2,Nantes,7500,Stade Louis II,Antony Gautier,/en/matches/5a71bd1f/Monaco-Nantes-August-6-2021-Ligue-1,,5a71bd1f
FRA-Ligue 1,2122,2021-08-07 Lyon-Brest,Ligue 1,1,Sat,2021-08-07,17:00,Lyon,1.4,1–1,0.8,Brest,29018,Groupama Stadium,Mikael Lesage,/en/matches/22f9fbae/Lyon-Brest-August-7-2021-Ligue-1,,22f9fbae
FRA-Ligue 1,2122,2021-08-07 Troyes-Paris S-G,Ligue 1,1,Sat,2021-08-07,21:00,Troyes,0.9,1–2,1.2,Paris S-G,15248,Stade de l'Aube,Amaury Delerue,/en/matches/081fcc93/Troyes-Paris-Saint-Germain-August-7-2021-Ligue-1,,081fcc93
FRA-Ligue 1,2122,2021-08-08 Bordeaux-Clermont Foot,Ligue 1,1,Sun,2021-08-08,15:00,Bordeaux,0.7,0–2,3.1,Clermont Foot,18748,Stade Matmut-Atlantique,Florent Batta,/en/matches/3bd58e2c/Bordeaux-Clermont-Foot-August-8-2021-Ligue-1,,3bd58e2c
FRA-Ligue 1,2122,2021-08-08 Metz-Lille,Ligue 1,1,Sun,2021-08-08,17:00,Metz,0.9,3–3,1.3,Lille,15551,Stade Saint-Symphorien,Eric Wattellier,/en/matches/95922902/Metz-Lille-August-8-2021-Ligue-1,,95922902
FRA-Ligue 1,2122,2021-08-08 Montpellier-Marseille,Ligue 1,1,Sun,2021-08-08,20:45,Montpellier,0.6,2–3,1.9,Marseille,13500,Stade de la Mosson,Jérémie Pignard,/en/matches/2aa88717/Montpellier-Marseille-August-8-2021-Ligue-1,,2aa88717
FRA-Ligue 1,2122,2021-08-08 Nice-Reims,Ligue 1,1,Sun,2021-08-08,15:00,Nice,0.8,0–0,0.2,Reims,18030,Stade de Nice,Johan Hamel,/en/matches/ed6f883d/Nice-Reims-August-8-2021-Ligue-1,,ed6f883d
FRA-Ligue 1,2122,2021-08-08 Rennes-Lens,Ligue 1,1,Sun,2021-08-08,13:00,Rennes,0.7,1–1,2.1,Lens,22567,Roazhon Park,Bastien Dechepy,/en/matches/efa9bd32/Rennes-Lens-August-8-2021-Ligue-1,,efa9bd32
FRA-Ligue 1,2122,2021-08-08 Saint-Étienne-Lorient,Ligue 1,1,Sun,2021-08-08,15:00,Saint-Étienne,1.9,1–1,0.6,Lorient,20461,Stade Geoffroy-Guichard,Thomas Léonard,/en/matches/ffb00ebc/Saint-Etienne-Lorient-August-8-2021-Ligue-1,,ffb00ebc
FRA-Ligue 1,2122,2021-08-08 Strasbourg-Angers,Ligue 1,1,Sun,2021-08-08,15:00,Strasbourg,0.3,0–2,0.9,Angers,23250,Stade de la Meinau,Jeremy Stinat,/en/matches/d5c51de9/Strasbourg-Angers-August-8-2021-Ligue-1,,d5c51de9
