,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2223,Almería,Adri Embarba,ESP,"FW,MF",30,1992,29,1472,51,43.0,16.4,18,68,1,11,22,5,1.14,23,27,-4,-0.24,0.31,22.0,22.4,-0.4,-0.03,0.74
ESP-La Liga,2223,Almería,Alejandro Pozo Pozo,ESP,DF,23,1999,30,1880,63,55.0,20.9,20,83,14,10,22,3,1.33,27,26,1,0.05,1.04,27.1,30.4,-3.3,-0.16,0.65
ESP-La Liga,2223,Almería,Arnau Puigmal,ESP,"MF,FW",21,2001,22,763,35,22.3,8.5,7,63,0,15,21,16,0.64,11,18,-7,-0.83,-0.52,9.4,15.8,-6.5,-0.76,-0.4
ESP-La Liga,2223,Almería,Arvin Appiah,ENG,MF,21,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2223,Almería,Carlos Rojas,ESP,FW,20,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2223,Almería,Chumi,ESP,DF,23,1999,21,1489,71,43.5,16.5,15,89,13,6,27,9,1.1,20,30,-10,-0.6,-0.32,20.3,31.7,-11.4,-0.69,-0.43
ESP-La Liga,2223,Almería,Curro,ESP,MF,26,1996,2,43,22,1.3,0.5,0,,0,2,22,1,1.5,0,2,-2,-4.19,-3.81,0.4,0.6,-0.3,-0.58,-0.13
ESP-La Liga,2223,Almería,César de la Hoz,ESP,MF,30,1992,25,1673,67,48.9,18.6,18,84,12,7,23,8,1.48,25,30,-5,-0.27,0.3,24.5,27.3,-2.7,-0.15,0.59
ESP-La Liga,2223,Almería,Diego Fuoli,ESP,GK,24,1997,0,,,,,0,,0,0,,15,,,,,,,,,,,
ESP-La Liga,2223,Almería,Diego Mariño,ESP,GK,32,1990,1,45,45,1.3,0.5,0,,0,1,45,17,0.0,0,2,-2,-4.0,-3.63,0.3,1.2,-0.9,-1.87,-1.44
ESP-La Liga,2223,Almería,Dyego Sousa,POR,FW,32,1989,20,527,26,15.4,5.9,3,65,0,17,20,14,0.7,4,6,-2,-0.34,0.09,7.7,9.6,-1.9,-0.33,0.14
ESP-La Liga,2223,Almería,El Bilal Touré,MLI,FW,20,2001,21,1264,60,37.0,14.0,15,73,1,6,27,3,1.1,23,23,0,0.0,0.67,17.3,18.6,-1.4,-0.1,0.56
ESP-La Liga,2223,Almería,Fernando,ESP,GK,32,1990,37,3285,89,96.1,36.5,37,89,36,0,,1,1.11,48,61,-13,-0.36,1.64,44.2,60.3,-16.1,-0.44,0.18
ESP-La Liga,2223,Almería,Fernando Pacheco,ESP,GK,30,1992,1,90,90,2.6,1.0,1,90,1,0,,10,0.0,1,2,-1,-1.0,-0.59,1.0,1.0,0.0,0.0,0.46
