league,season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2223,2023-05-14 Marseille-Angers,35,Sun,2023-05-14,20:45,Marseille,2.7,3–1,0.3,Angers,63329,Orange Vélodrome,Benoît Millot,/en/matches/01b6ff4d/Marseille-Angers-May-14-2023-Ligue-1,,01b6ff4d
FRA-Ligue 1,2223,2023-05-14 Monaco-Lille,35,Sun,2023-05-14,17:05,Monaco,0.7,0–0,0.9,Lille,6805,Stade Louis II,Benoît Bastien,/en/matches/1609eed7/Monaco-Lille-May-14-2023-Ligue-1,,1609eed7
FRA-Ligue 1,2223,2023-05-14 Montpellier-Lorient,35,Sun,2023-05-14,15:00,Montpellier,1.6,1–1,0.6,Lorient,12595,Stade de la Mosson,Mathieu Vernice,/en/matches/1df43c24/Montpellier-Lorient-May-14-2023-Ligue-1,,1df43c24
FRA-Ligue 1,2223,2023-05-14 Rennes-Troyes,35,Sun,2023-05-14,15:00,Rennes,3.9,4–0,0.4,Troyes,27836,Roazhon Park,Stéphanie Frappart,/en/matches/ed2523e7/Rennes-Troyes-May-14-2023-Ligue-1,,ed2523e7
FRA-Ligue 1,2223,2023-05-14 Toulouse-Nantes,35,Sun,2023-05-14,15:00,Toulouse,1.3,0–0,1.0,Nantes,27033,Stadium Municipal,Jérôme Brisard,/en/matches/52ee44a2/Toulouse-Nantes-May-14-2023-Ligue-1,,52ee44a2
FRA-Ligue 1,2223,2023-05-19 Lyon-Monaco,36,Fri,2023-05-19,21:00,Lyon,2.1,3–1,1.8,Monaco,53980,Groupama Stadium,Benoît Millot,/en/matches/364d3262/Lyon-Monaco-May-19-2023-Ligue-1,,364d3262
FRA-Ligue 1,2223,2023-05-20 Lille-Marseille,36,Sat,2023-05-20,21:00,Lille,1.7,2–1,0.7,Marseille,47399,Stade Pierre-Mauroy,Jérôme Brisard,/en/matches/a4506b32/Lille-Marseille-May-20-2023-Ligue-1,,a4506b32
FRA-Ligue 1,2223,2023-05-20 Nantes-Montpellier,36,Sat,2023-05-20,17:00,Nantes,0.9,0–3,1.8,Montpellier,30170,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,/en/matches/1ed26dbe/Nantes-Montpellier-May-20-2023-Ligue-1,,1ed26dbe
FRA-Ligue 1,2223,2023-05-21 Ajaccio-Rennes,36,Sun,2023-05-21,13:00,Ajaccio,0.1,0–5,1.3,Rennes,6637,Stade François Coty,Eric Wattellier,/en/matches/3f140dc2/Ajaccio-Rennes-May-21-2023-Ligue-1,,3f140dc2
FRA-Ligue 1,2223,2023-05-21 Auxerre-Paris S-G,36,Sun,2023-05-21,20:45,Auxerre,0.9,1–2,2.1,Paris S-G,16682,Stade de l'Abbé Deschamps,Benoît Bastien,/en/matches/bd6c4cac/Auxerre-Paris-Saint-Germain-May-21-2023-Ligue-1,,bd6c4cac
FRA-Ligue 1,2223,2023-05-21 Brest-Clermont Foot,36,Sun,2023-05-21,15:00,Brest,1.3,2–1,0.5,Clermont Foot,13751,Stade Francis-Le Blé,Bastien Dechepy,/en/matches/903f7001/Brest-Clermont-Foot-May-21-2023-Ligue-1,,903f7001
FRA-Ligue 1,2223,2023-05-21 Lorient-Lens,36,Sun,2023-05-21,17:05,Lorient,1.3,1–3,1.9,Lens,16724,Stade du Moustoir,Stéphanie Frappart,/en/matches/123cfb3a/Lorient-Lens-May-21-2023-Ligue-1,,123cfb3a
FRA-Ligue 1,2223,2023-05-21 Nice-Toulouse,36,Sun,2023-05-21,15:00,Nice,2.2,0–0,0.8,Toulouse,20041,Stade de Nice,Jérémie Pignard,/en/matches/9250f89a/Nice-Toulouse-May-21-2023-Ligue-1,,9250f89a
FRA-Ligue 1,2223,2023-05-21 Reims-Angers,36,Sun,2023-05-21,15:00,Reims,1.5,2–2,1.2,Angers,11242,Stade Auguste-Delaune,Florent Batta,/en/matches/908507af/Reims-Angers-May-21-2023-Ligue-1,,908507af
FRA-Ligue 1,2223,2023-05-21 Troyes-Strasbourg,36,Sun,2023-05-21,15:00,Troyes,0.6,1–1,1.6,Strasbourg,9834,Stade de l'Aube,Clément Turpin,/en/matches/bfbeee1e/Troyes-Strasbourg-May-21-2023-Ligue-1,,bfbeee1e
FRA-Ligue 1,2223,2023-05-27 Angers-Troyes,37,Sat,2023-05-27,21:00,Angers,1.2,2–1,0.3,Troyes,7419,Stade Raymond Kopa,Karim Abed,/en/matches/567eeb7c/Angers-Troyes-May-27-2023-Ligue-1,,567eeb7c
FRA-Ligue 1,2223,2023-05-27 Clermont Foot-Lorient,37,Sat,2023-05-27,21:00,Clermont Foot,1.4,2–0,1.1,Lorient,13050,Stade Gabriel Montpied,Florent Batta,/en/matches/970c061a/Clermont-Foot-Lorient-May-27-2023-Ligue-1,,970c061a
FRA-Ligue 1,2223,2023-05-27 Lens-Ajaccio,37,Sat,2023-05-27,21:00,Lens,2.3,3–0,0.2,Ajaccio,37601,Stade Bollaert-Delelis,Thomas Léonard,/en/matches/5eceb234/Lens-Ajaccio-May-27-2023-Ligue-1,,5eceb234
FRA-Ligue 1,2223,2023-05-27 Lille-Nantes,37,Sat,2023-05-27,21:00,Lille,2.1,2–1,1.0,Nantes,41136,Stade Pierre-Mauroy,Eric Wattellier,/en/matches/1b4970df/Lille-Nantes-May-27-2023-Ligue-1,,1b4970df
FRA-Ligue 1,2223,2023-05-27 Lyon-Reims,37,Sat,2023-05-27,21:00,Lyon,2.6,3–0,1.1,Reims,56874,Groupama Stadium,Jeremy Stinat,/en/matches/27815d03/Lyon-Reims-May-27-2023-Ligue-1,,27815d03
FRA-Ligue 1,2223,2023-05-27 Marseille-Brest,37,Sat,2023-05-27,21:00,Marseille,1.1,1–2,1.0,Brest,61732,Orange Vélodrome,Stéphanie Frappart,/en/matches/f8507c38/Marseille-Brest-May-27-2023-Ligue-1,,f8507c38
FRA-Ligue 1,2223,2023-05-27 Montpellier-Nice,37,Sat,2023-05-27,21:00,Montpellier,2.3,2–3,3.4,Nice,16340,Stade de la Mosson,Benoît Millot,/en/matches/7d2f2a67/Montpellier-Nice-May-27-2023-Ligue-1,,7d2f2a67
FRA-Ligue 1,2223,2023-05-27 Rennes-Monaco,37,Sat,2023-05-27,21:00,Rennes,1.3,2–0,0.5,Monaco,28344,Roazhon Park,Clément Turpin,/en/matches/25f4ccfb/Rennes-Monaco-May-27-2023-Ligue-1,,25f4ccfb
FRA-Ligue 1,2223,2023-05-27 Strasbourg-Paris S-G,37,Sat,2023-05-27,21:00,Strasbourg,1.2,1–1,1.0,Paris S-G,25828,Stade de la Meinau,Jérôme Brisard,/en/matches/b78590c5/Strasbourg-Paris-Saint-Germain-May-27-2023-Ligue-1,,b78590c5
FRA-Ligue 1,2223,2023-05-27 Toulouse-Auxerre,37,Sat,2023-05-27,21:00,Toulouse,0.8,1–1,0.9,Auxerre,25172,Stadium Municipal,Mathieu Vernice,/en/matches/e117776e/Toulouse-Auxerre-May-27-2023-Ligue-1,,e117776e
FRA-Ligue 1,2223,2023-06-03 Ajaccio-Marseille,38,Sat,2023-06-03,21:00,Ajaccio,0.1,1–0,1.4,Marseille,9500,Stade François Coty,Benoît Bastien,/en/matches/2ca0b377/Ajaccio-Marseille-June-3-2023-Ligue-1,,2ca0b377
FRA-Ligue 1,2223,2023-06-03 Auxerre-Lens,38,Sat,2023-06-03,21:00,Auxerre,3.3,1–3,2.8,Lens,17246,Stade de l'Abbé Deschamps,Benoît Millot,/en/matches/a44cfa36/Auxerre-Lens-June-3-2023-Ligue-1,,a44cfa36
FRA-Ligue 1,2223,2023-06-03 Brest-Rennes,38,Sat,2023-06-03,21:00,Brest,1.5,1–2,1.9,Rennes,15143,Stade Francis-Le Blé,Jérôme Brisard,/en/matches/e9d9bb82/Brest-Rennes-June-3-2023-Ligue-1,,e9d9bb82
FRA-Ligue 1,2223,2023-06-03 Lorient-Strasbourg,38,Sat,2023-06-03,21:00,Lorient,0.5,2–1,1.0,Strasbourg,16351,Stade du Moustoir,Bastien Dechepy,/en/matches/a744a9bd/Lorient-Strasbourg-June-3-2023-Ligue-1,,a744a9bd
FRA-Ligue 1,2223,2023-06-03 Monaco-Toulouse,38,Sat,2023-06-03,21:00,Monaco,2.2,1–2,2.6,Toulouse,5670,Stade Louis II,Stéphanie Frappart,/en/matches/206cb494/Monaco-Toulouse-June-3-2023-Ligue-1,,206cb494
FRA-Ligue 1,2223,2023-06-03 Nantes-Angers,38,Sat,2023-06-03,21:00,Nantes,1.1,1–0,0.3,Angers,27650,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,/en/matches/54a0b007/Nantes-Angers-June-3-2023-Ligue-1,,54a0b007
FRA-Ligue 1,2223,2023-06-03 Nice-Lyon,38,Sat,2023-06-03,21:00,Nice,2.3,3–1,1.8,Lyon,25243,Stade de Nice,Eric Wattellier,/en/matches/7cb0ddb9/Nice-Lyon-June-3-2023-Ligue-1,,7cb0ddb9
FRA-Ligue 1,2223,2023-06-03 Paris S-G-Clermont Foot,38,Sat,2023-06-03,21:00,Paris S-G,2.2,2–3,3.1,Clermont Foot,47926,Parc des Princes,Thomas Léonard,/en/matches/1b47e9eb/Paris-Saint-Germain-Clermont-Foot-June-3-2023-Ligue-1,,1b47e9eb
FRA-Ligue 1,2223,2023-06-03 Reims-Montpellier,38,Sat,2023-06-03,21:00,Reims,1.5,1–3,2.3,Montpellier,15036,Stade Auguste-Delaune,Pierre Gaillouste,/en/matches/3dc2cde4/Reims-Montpellier-June-3-2023-Ligue-1,,3dc2cde4
FRA-Ligue 1,2223,2023-06-03 Troyes-Lille,38,Sat,2023-06-03,21:00,Troyes,0.4,1–1,1.4,Lille,11006,Stade de l'Aube,Jeremy Stinat,/en/matches/a00583c3/Troyes-Lille-June-3-2023-Ligue-1,,a00583c3
