,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2122,RB Leipzig,Philipp Tschauner,GER,GK,35,1985,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,RB Leipzig,Péter Gulácsi,HUN,GK,31,1990,33,33,2967,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,RB Leipzig,Sidney Raebiger,GER,MF,16,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,RB Leipzig,Solomon Bonnah,NED,DF,17,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,RB Leipzig,Tyler Adams,USA,MF,22,1999,24,12,1351,15.0,0,1,1,0,0,0,5,0,0.2,0.2,0.9,1.0,20,96,23,0.0,0.07,0.07,0.0,0.07,0.01,0.06,0.07,0.01,0.07
GER-Bundesliga,2122,RB Leipzig,Willi Orban,HUN,DF,28,1992,30,30,2642,29.4,2,1,3,2,0,0,1,0,2.8,2.8,1.4,4.2,8,89,7,0.07,0.03,0.1,0.07,0.1,0.1,0.05,0.14,0.1,0.14
GER-Bundesliga,2122,RB Leipzig,Yussuf Poulsen,DEN,"FW,MF",27,1994,25,12,1079,12.0,6,0,6,6,0,0,2,0,5.5,5.5,1.7,7.2,14,30,84,0.5,0.0,0.5,0.5,0.5,0.46,0.14,0.6,0.46,0.6
GER-Bundesliga,2122,Stuttgart,Alexis Tibidi,FRA,"MF,FW",17,2003,13,2,385,4.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,8,8,31,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.18,0.1,0.18
GER-Bundesliga,2122,Stuttgart,Atakan Karazor,,MF,24,1996,24,23,1898,21.1,0,1,1,0,0,0,9,1,0.3,0.3,1.2,1.5,11,82,24,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.07,0.01,0.07
GER-Bundesliga,2122,Stuttgart,Borna Sosa,CRO,"DF,FW",23,1998,28,28,2498,27.8,1,8,9,1,0,0,4,0,0.9,0.9,6.8,7.8,104,139,200,0.04,0.29,0.32,0.04,0.32,0.03,0.25,0.28,0.03,0.28
GER-Bundesliga,2122,Stuttgart,Chris Führich,GER,"FW,MF",23,1998,25,21,1714,19.0,3,2,5,3,0,0,3,0,3.2,3.2,4.2,7.4,61,69,102,0.16,0.11,0.26,0.16,0.26,0.17,0.22,0.39,0.17,0.39
GER-Bundesliga,2122,Stuttgart,Clinton Mola,ENG,DF,20,2001,3,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,Stuttgart,Daniel Didavi,GER,"MF,FW",31,1990,10,2,277,3.1,0,1,1,0,0,0,1,0,0.8,0.8,0.7,1.5,6,9,25,0.0,0.32,0.32,0.0,0.32,0.25,0.24,0.49,0.25,0.49
