,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Paris S-G,Lionel Messi,ARG,"FW,MF",34,1987,23.9,6,89,29,32.6,3.72,1.21,0.07,0.21,19.1,16,0,0,10.0,10.0,0.11,-4.0,-4.0
FRA-Ligue 1,2122,Paris S-G,Marco Verratti,ITA,MF,28,1992,21.5,2,7,2,28.6,0.33,0.09,0.29,1.0,16.4,0,0,0,0.6,0.6,0.09,1.4,1.4
FRA-Ligue 1,2122,Paris S-G,Marquinhos,BRA,DF,27,1994,31.8,5,21,7,33.3,0.66,0.22,0.24,0.71,10.1,0,0,0,3.8,3.8,0.18,1.2,1.2
FRA-Ligue 1,2122,Paris S-G,Mauro Icardi,ARG,FW,28,1993,11.4,4,28,9,32.1,2.45,0.79,0.14,0.44,10.8,0,0,0,5.4,5.4,0.19,-1.4,-1.4
FRA-Ligue 1,2122,Paris S-G,Nathan Bitumazala,FRA,DF,18,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Paris S-G,Neymar,BRA,"FW,MF",29,1992,20.6,13,50,25,50.0,2.43,1.22,0.2,0.4,19.2,8,3,4,10.8,7.7,0.15,2.2,2.3
FRA-Ligue 1,2122,Paris S-G,Nuno Mendes,POR,DF,19,2002,18.4,0,7,1,14.3,0.38,0.05,0.0,0.0,20.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
FRA-Ligue 1,2122,Paris S-G,Pablo Sarabia,ESP,FW,29,1992,0.2,1,1,1,100.0,4.09,4.09,1.0,1.0,3.6,0,0,0,1.0,1.0,0.97,0.0,0.0
FRA-Ligue 1,2122,Paris S-G,Presnel Kimpembe,FRA,DF,25,1995,28.6,1,7,1,14.3,0.24,0.03,0.14,1.0,9.7,0,0,0,1.4,1.4,0.2,-0.4,-0.4
FRA-Ligue 1,2122,Paris S-G,Rafinha,BRA,"FW,MF",28,1993,2.4,0,5,0,0.0,2.05,0.0,0.0,,18.4,1,0,0,0.2,0.2,0.05,-0.2,-0.2
FRA-Ligue 1,2122,Paris S-G,Sekou Yansané,FRA,FW,18,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Paris S-G,Sergio Ramos,ESP,DF,35,1986,8.9,2,12,4,33.3,1.35,0.45,0.17,0.5,14.8,0,0,0,1.8,1.8,0.16,0.2,0.2
FRA-Ligue 1,2122,Paris S-G,Sergio Rico,ESP,GK,27,1993,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Paris S-G,Thilo Kehrer,GER,DF,24,1996,16.8,2,9,4,44.4,0.54,0.24,0.22,0.5,13.6,0,0,0,1.0,1.0,0.11,1.0,1.0
