league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2324,2023-11-05 Strasbourg-Clermont Foot,Ligue 1,11,Sun,2023-11-05,15:00,Strasbourg,1.0,0–0,0.9,Clermont Foot,25039,Stade de la Meinau,Jeremy Stinat,/en/matches/957c6924/Strasbourg-Clermont-Foot-November-5-2023-Ligue-1,,957c6924
FRA-Ligue 1,2324,2023-11-05 Toulouse-Le Havre,Ligue 1,11,Sun,2023-11-05,15:00,Toulouse,2.6,1–2,1.1,Le Havre,23060,Stadium Municipal,Marc Bollengier,/en/matches/f7d3c634/Toulouse-Le-Havre-November-5-2023-Ligue-1,,f7d3c634
FRA-Ligue 1,2324,2023-11-10 Montpellier-Nice,Ligue 1,12,Fri,2023-11-10,21:00,Montpellier,0.5,0–0,0.7,Nice,13452,Stade de la Mosson,Hakim Ben El Hadj Salem,/en/matches/5bdc7c32/Montpellier-Nice-November-10-2023-Ligue-1,,5bdc7c32
FRA-Ligue 1,2324,2023-11-11 Le Havre-Monaco,Ligue 1,12,Sat,2023-11-11,21:00,Le Havre,1.4,0–0,0.6,Monaco,23008,Stade Océane,Thomas Léonard,/en/matches/8bb49483/Le-Havre-Monaco-November-11-2023-Ligue-1,,8bb49483
FRA-Ligue 1,2324,2023-11-11 Reims-Paris S-G,Ligue 1,12,Sat,2023-11-11,17:00,Reims,1.3,0–3,2.3,Paris S-G,20500,Stade Auguste-Delaune,Willy Delajod,/en/matches/61d9e0d0/Reims-Paris-Saint-Germain-November-11-2023-Ligue-1,,61d9e0d0
FRA-Ligue 1,2324,2023-11-12 Clermont Foot-Lorient,Ligue 1,12,Sun,2023-11-12,15:00,Clermont Foot,1.5,1–0,0.5,Lorient,9798,Stade Gabriel Montpied,Romain Lissorgue,/en/matches/e0aea3a9/Clermont-Foot-Lorient-November-12-2023-Ligue-1,,e0aea3a9
FRA-Ligue 1,2324,2023-11-12 Lens-Marseille,Ligue 1,12,Sun,2023-11-12,20:45,Lens,1.1,1–0,1.0,Marseille,38223,Stade Bollaert-Delelis,Benoît Bastien,/en/matches/fe8096da/Lens-Marseille-November-12-2023-Ligue-1,,fe8096da
FRA-Ligue 1,2324,2023-11-12 Lille-Toulouse,Ligue 1,12,Sun,2023-11-12,15:00,Lille,2.5,1–1,0.1,Toulouse,34959,Decathlon Arena - Stade Pierre-Mauroy,Mathieu Vernice,/en/matches/f0f7d5b7/Lille-Toulouse-November-12-2023-Ligue-1,,f0f7d5b7
FRA-Ligue 1,2324,2023-11-12 Metz-Nantes,Ligue 1,12,Sun,2023-11-12,15:00,Metz,1.1,3–1,1.3,Nantes,21674,Stade Saint-Symphorien,Florent Batta,/en/matches/594dba4e/Metz-Nantes-November-12-2023-Ligue-1,,594dba4e
FRA-Ligue 1,2324,2023-11-12 Rennes-Lyon,Ligue 1,12,Sun,2023-11-12,17:05,Rennes,0.9,0–1,1.5,Lyon,28441,Roazhon Park,Stéphanie Frappart,/en/matches/16251ab0/Rennes-Lyon-November-12-2023-Ligue-1,,16251ab0
FRA-Ligue 1,2324,2023-11-24 Paris S-G-Monaco,Ligue 1,13,Fri,2023-11-24,21:00,Paris S-G,2.6,5–2,1.6,Monaco,47896,Parc des Princes,Benoît Bastien,/en/matches/6f11a93d/Paris-Saint-Germain-Monaco-November-24-2023-Ligue-1,,6f11a93d
FRA-Ligue 1,2324,2023-11-25 Clermont Foot-Lens,Ligue 1,13,Sat,2023-11-25,17:00,Clermont Foot,1.9,0–3,2.2,Lens,10455,Stade Gabriel Montpied,Benoît Millot,/en/matches/4cf8ae40/Clermont-Foot-Lens-November-25-2023-Ligue-1,,4cf8ae40
FRA-Ligue 1,2324,2023-11-25 Strasbourg-Marseille,Ligue 1,13,Sat,2023-11-25,21:00,Strasbourg,1.1,1–1,1.4,Marseille,25443,Stade de la Meinau,Jérôme Brisard,/en/matches/3d1a3c81/Strasbourg-Marseille-November-25-2023-Ligue-1,,3d1a3c81
FRA-Ligue 1,2324,2023-11-26 Lorient-Metz,Ligue 1,13,Sun,2023-11-26,15:00,Lorient,1.2,2–3,1.9,Metz,14469,Stade du Moustoir,Jérémie Pignard,/en/matches/685f0592/Lorient-Metz-November-26-2023-Ligue-1,,685f0592
FRA-Ligue 1,2324,2023-11-26 Lyon-Lille,Ligue 1,13,Sun,2023-11-26,20:45,Lyon,1.9,0–2,1.5,Lille,40029,Groupama Stadium,Eric Wattellier,/en/matches/3835384c/Lyon-Lille-November-26-2023-Ligue-1,,3835384c
FRA-Ligue 1,2324,2023-11-26 Montpellier-Brest,Ligue 1,13,Sun,2023-11-26,15:00,Montpellier,1.7,1–3,1.7,Brest,12311,Stade de la Mosson,Pierre Gaillouste,/en/matches/e4cca984/Montpellier-Brest-November-26-2023-Ligue-1,,e4cca984
FRA-Ligue 1,2324,2023-11-26 Nantes-Le Havre,Ligue 1,13,Sun,2023-11-26,15:00,Nantes,1.3,0–0,0.2,Le Havre,29346,Stade de la Beaujoire - Louis Fonteneau,Miguel Nogueira,/en/matches/ec8cdc57/Nantes-Le-Havre-November-26-2023-Ligue-1,,ec8cdc57
FRA-Ligue 1,2324,2023-11-26 Nice-Toulouse,Ligue 1,13,Sun,2023-11-26,13:00,Nice,1.0,1–0,1.3,Toulouse,21849,Stade de Nice,François Letexier,/en/matches/69ee1012/Nice-Toulouse-November-26-2023-Ligue-1,,69ee1012
FRA-Ligue 1,2324,2023-11-26 Rennes-Reims,Ligue 1,13,Sun,2023-11-26,17:05,Rennes,1.8,3–1,1.6,Reims,27718,Roazhon Park,Ruddy Buquet,/en/matches/068718ca/Rennes-Reims-November-26-2023-Ligue-1,,068718ca
FRA-Ligue 1,2324,2023-11-29 Montpellier-Clermont Foot,Ligue 1,8,Wed,2023-11-29,19:00,Montpellier,2.4,1–1,0.4,Clermont Foot,,Stade de la Mosson,Mathieu Vernice,/en/matches/341877cf/Montpellier-Clermont-Foot-November-29-2023-Ligue-1,,341877cf
FRA-Ligue 1,2324,2023-12-01 Reims-Strasbourg,Ligue 1,14,Fri,2023-12-01,21:00,Reims,1.3,2–1,1.7,Strasbourg,14500,Stade Auguste-Delaune,Hakim Ben El Hadj Salem,/en/matches/ad372452/Reims-Strasbourg-December-1-2023-Ligue-1,,ad372452
