,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,ENG,GK,23,1998,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Ainsley Maitland-Niles,ENG,MF,23,1997,8,2,268,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,2,15,8,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.12,0.02,0.12
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,BEL,MF,21,1999,19,12,1134,12.6,0,0,0,0,0,0,5,0,0.6,0.6,1.0,1.6,28,84,16,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,FRA,FW,30,1991,30,20,1782,19.8,4,7,11,2,2,3,0,0,8.4,6.0,3.0,9.1,19,52,106,0.2,0.35,0.56,0.1,0.45,0.42,0.15,0.58,0.3,0.46
ENG-Premier League,2122,Arsenal,Ben White,ENG,DF,23,1997,32,32,2880,32.0,0,0,0,0,0,0,3,0,1.0,1.0,1.3,2.3,38,124,4,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07
ENG-Premier League,2122,Arsenal,Bernd Leno,GER,GK,29,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Bukayo Saka,ENG,"FW,MF",19,2001,38,36,2978,33.1,11,7,18,9,2,2,6,0,10.3,8.7,7.5,16.3,140,101,388,0.33,0.21,0.54,0.27,0.48,0.31,0.23,0.54,0.26,0.49
ENG-Premier League,2122,Arsenal,Calum Chambers,ENG,DF,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,7,5,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.08,0.04,0.08
ENG-Premier League,2122,Arsenal,Cédric Soares,POR,DF,29,1991,21,16,1486,16.5,1,1,2,1,0,0,3,0,0.6,0.6,1.6,2.1,17,84,56,0.06,0.06,0.12,0.06,0.12,0.03,0.09,0.13,0.03,0.13
ENG-Premier League,2122,Arsenal,Eddie Nketiah,ENG,FW,22,1999,21,8,835,9.3,5,1,6,5,0,0,3,0,4.4,4.4,2.0,6.4,27,21,66,0.54,0.11,0.65,0.54,0.65,0.47,0.22,0.69,0.47,0.69
ENG-Premier League,2122,Arsenal,Emile Smith Rowe,ENG,"MF,FW",21,2000,33,21,1921,21.3,10,2,12,10,0,0,1,0,6.0,6.0,2.0,8.0,65,85,139,0.47,0.09,0.56,0.47,0.56,0.28,0.09,0.38,0.28,0.38
ENG-Premier League,2122,Arsenal,Folarin Balogun,USA,FW,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,4,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29
ENG-Premier League,2122,Arsenal,Gabriel Magalhães,BRA,DF,23,1997,35,35,3063,34.0,5,0,5,5,0,0,8,1,3.2,3.2,0.7,3.9,12,110,9,0.15,0.0,0.15,0.15,0.15,0.09,0.02,0.12,0.09,0.12
ENG-Premier League,2122,Arsenal,Gabriel Martinelli,BRA,"FW,MF",20,2001,29,21,1860,20.7,6,6,12,5,1,1,3,1,7.3,6.6,4.3,11.0,79,37,207,0.29,0.29,0.58,0.24,0.53,0.35,0.21,0.56,0.32,0.53
ENG-Premier League,2122,Arsenal,Granit Xhaka,SUI,"MF,DF",28,1992,27,27,2327,25.9,1,2,3,1,0,0,10,1,1.4,1.4,2.3,3.7,39,230,67,0.04,0.08,0.12,0.04,0.12,0.05,0.09,0.14,0.05,0.14
ENG-Premier League,2122,Arsenal,Kieran Tierney,SCO,DF,24,1997,22,22,1915,21.3,1,3,4,1,0,0,0,0,0.6,0.6,1.8,2.4,62,105,128,0.05,0.14,0.19,0.05,0.19,0.03,0.09,0.11,0.03,0.11
ENG-Premier League,2122,Arsenal,Martin Ødegaard,NOR,"MF,FW",22,1998,36,32,2785,30.9,7,4,11,7,0,0,4,0,4.8,4.8,6.3,11.1,57,224,146,0.23,0.13,0.36,0.23,0.36,0.15,0.2,0.36,0.15,0.36
ENG-Premier League,2122,Arsenal,Mohamed Elneny,EGY,MF,29,1992,14,8,806,9.0,0,2,2,0,0,0,1,0,0.2,0.2,0.4,0.6,5,43,2,0.0,0.22,0.22,0.0,0.22,0.02,0.05,0.07,0.02,0.07
ENG-Premier League,2122,Arsenal,Nicolas Pépé,CIV,"FW,MF",26,1995,20,5,696,7.7,1,2,3,1,0,0,0,0,2.6,2.6,1.7,4.3,20,17,97,0.13,0.26,0.39,0.13,0.39,0.34,0.22,0.56,0.34,0.56
ENG-Premier League,2122,Arsenal,Nuno Tavares,POR,DF,21,2000,22,13,1176,13.1,1,1,2,1,0,0,2,0,1.9,1.9,1.1,2.9,47,42,91,0.08,0.08,0.15,0.08,0.15,0.14,0.08,0.22,0.14,0.22
ENG-Premier League,2122,Arsenal,Pablo Marí,ESP,DF,27,1993,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,9,0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1
ENG-Premier League,2122,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,32,1989,14,12,1037,11.5,4,1,5,4,0,2,3,0,5.9,4.2,1.0,5.2,21,26,47,0.35,0.09,0.43,0.35,0.43,0.51,0.09,0.6,0.36,0.45
