,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,Arsenal,Aaron Ramsdale,ENG,GK,24,1998,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2223,Arsenal,Albert Sambi Lokonga,BEL,MF,22,1999,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2223,Arsenal,Ben White,ENG,DF,24,1997,33.9,2,10,2,20.0,0.29,0.06,0.2,1.0,16.7,0,0,0,1.3,1.3,0.13,0.7,0.7
ENG-Premier League,2223,Arsenal,Bukayo Saka,ENG,FW,20,2001,35.3,14,86,29,33.7,2.43,0.82,0.14,0.41,16.3,1,2,3,11.2,9.1,0.11,2.8,2.9
ENG-Premier League,2223,Arsenal,Cédric Soares,POR,DF,30,1991,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2223,Arsenal,Eddie Nketiah,ENG,FW,23,1999,12.1,4,41,14,34.1,3.39,1.16,0.1,0.29,11.3,0,0,0,8.2,8.2,0.2,-4.2,-4.2
ENG-Premier League,2223,Arsenal,Emile Smith Rowe,ENG,"MF,FW",22,2000,1.9,0,4,1,25.0,2.09,0.52,0.0,0.0,15.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3
ENG-Premier League,2223,Arsenal,Ethan Nwaneri,ENG,FW,15,2007,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2223,Arsenal,Fabio Vieira,POR,"MF,FW",22,2000,5.7,1,15,2,13.3,2.63,0.35,0.07,0.5,20.1,0,0,0,0.8,0.8,0.06,0.2,0.2
ENG-Premier League,2223,Arsenal,Gabriel Jesus,BRA,FW,25,1997,22.9,11,76,31,40.8,3.31,1.35,0.13,0.32,10.6,0,1,1,13.9,13.1,0.18,-2.9,-3.1
ENG-Premier League,2223,Arsenal,Gabriel Magalhães,BRA,DF,24,1997,37.9,3,32,9,28.1,0.84,0.24,0.09,0.33,11.9,0,0,0,5.1,5.1,0.16,-2.1,-2.1
ENG-Premier League,2223,Arsenal,Gabriel Martinelli,BRA,FW,21,2001,31.0,15,79,30,38.0,2.55,0.97,0.19,0.5,15.4,2,0,0,9.1,9.1,0.12,5.9,5.9
ENG-Premier League,2223,Arsenal,Granit Xhaka,SUI,MF,29,1992,33.3,7,40,14,35.0,1.2,0.42,0.18,0.5,16.6,3,0,0,4.7,4.7,0.12,2.3,2.3
ENG-Premier League,2223,Arsenal,Jakub Kiwior,POL,DF,22,2000,4.7,1,1,1,100.0,0.21,0.21,1.0,1.0,10.0,0,0,0,0.1,0.1,0.09,0.9,0.9
ENG-Premier League,2223,Arsenal,Jorginho,ITA,MF,30,1991,9.5,0,6,0,0.0,0.63,0.0,0.0,,22.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,2223,Arsenal,Kieran Tierney,SCO,DF,25,1997,8.8,0,7,2,28.6,0.79,0.23,0.0,0.0,23.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2223,Arsenal,Leandro Trossard,BEL,FW,27,1994,10.3,1,17,5,29.4,1.64,0.48,0.06,0.2,17.5,0,0,0,1.8,1.8,0.11,-0.8,-0.8
ENG-Premier League,2223,Arsenal,Marquinhos,BRA,MF,19,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2223,Arsenal,Martin Ødegaard,NOR,MF,23,1998,34.7,15,93,31,33.3,2.68,0.89,0.16,0.48,19.2,9,0,0,9.9,9.9,0.11,5.1,5.1
ENG-Premier League,2223,Arsenal,Mohamed Elneny,EGY,MF,30,1992,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2223,Arsenal,Oleksandr Zinchenko,UKR,DF,25,1996,23.5,1,28,7,25.0,1.19,0.3,0.04,0.14,22.7,0,0,0,1.4,1.4,0.05,-0.4,-0.4
ENG-Premier League,2223,Arsenal,Reiss Nelson,ENG,FW,22,1999,2.4,3,12,7,58.3,5.09,2.97,0.25,0.43,16.4,1,0,0,1.1,1.1,0.09,1.9,1.9
ENG-Premier League,2223,Arsenal,Rob Holding,ENG,DF,26,1995,6.3,1,5,2,40.0,0.8,0.32,0.2,0.5,12.8,0,0,0,0.3,0.3,0.07,0.7,0.7
ENG-Premier League,2223,Arsenal,Takehiro Tomiyasu,JPN,DF,23,1998,7.4,0,3,0,0.0,0.41,0.0,0.0,,12.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2
ENG-Premier League,2223,Arsenal,Thomas Partey,GHA,MF,29,1993,27.6,3,28,4,14.3,1.01,0.14,0.11,0.75,20.4,0,0,0,2.2,2.2,0.08,0.8,0.8
ENG-Premier League,2223,Arsenal,William Saliba,FRA,DF,21,2001,26.8,2,6,3,50.0,0.22,0.11,0.33,0.67,13.8,0,0,0,0.9,0.9,0.15,1.1,1.1
