,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2122,Arminia,Alessandro Schöpf,AUT,MF,27,1994,26.6,1,35,9,25.7,1.31,0.34,0.03,0.11,21.4,2,0,0,2.0,2.0,0.06,-1.0,-1.0
GER-Bundesliga,2122,Arminia,Amos Pieper,GER,DF,23,1998,26.4,0,14,2,14.3,0.53,0.08,0.0,0.0,16.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8
GER-Bundesliga,2122,Arminia,Andrés Andrade Cedeño,PAN,DF,22,1998,11.6,0,7,3,42.9,0.6,0.26,0.0,0.0,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
GER-Bundesliga,2122,Arminia,Bryan Lasme,FRA,FW,22,1998,9.7,2,13,8,61.5,1.33,0.82,0.15,0.25,14.7,0,0,0,0.8,0.8,0.06,1.2,1.2
GER-Bundesliga,2122,Arminia,Burak İnce,TUR,FW,17,2004,1.5,0,4,2,50.0,2.59,1.29,0.0,0.0,18.5,0,0,0,0.5,0.5,0.13,-0.5,-0.5
GER-Bundesliga,2122,Arminia,Cédric Brunner,SUI,DF,27,1994,24.3,0,10,0,0.0,0.41,0.0,0.0,,27.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2
GER-Bundesliga,2122,Arminia,Edimilson Fernandes,SUI,"MF,FW",25,1996,3.1,0,4,2,50.0,1.27,0.64,0.0,0.0,41.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
GER-Bundesliga,2122,Arminia,Fabian Klos,GER,FW,33,1987,15.8,3,37,13,35.1,2.35,0.82,0.03,0.08,16.8,0,2,2,4.6,3.0,0.08,-1.6,-2.0
GER-Bundesliga,2122,Arminia,Fabian Kunze,GER,MF,23,1998,14.0,0,11,1,9.1,0.79,0.07,0.0,0.0,26.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
GER-Bundesliga,2122,Arminia,Florian Krüger,GER,"FW,MF",22,1999,12.5,1,18,5,27.8,1.43,0.4,0.06,0.2,18.7,1,0,0,1.2,1.2,0.07,-0.2,-0.2
GER-Bundesliga,2122,Arminia,George Bello,USA,DF,19,2002,4.8,0,3,0,0.0,0.62,0.0,0.0,,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
GER-Bundesliga,2122,Arminia,Gonzalo Castro,GER,"MF,FW",34,1987,4.8,1,8,2,25.0,1.65,0.41,0.13,0.5,20.9,2,0,0,0.8,0.8,0.1,0.2,0.2
GER-Bundesliga,2122,Arminia,Guilherme Ramos,POR,DF,23,1997,10.1,0,7,3,42.9,0.7,0.3,0.0,0.0,13.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
GER-Bundesliga,2122,Arminia,Jacob Barrett Laursen,DEN,DF,26,1994,18.1,2,8,4,50.0,0.44,0.22,0.25,0.5,26.1,0,0,0,0.2,0.2,0.03,1.8,1.8
GER-Bundesliga,2122,Arminia,Janni Serra,GER,FW,23,1998,12.4,3,24,9,37.5,1.93,0.73,0.13,0.33,14.2,0,0,0,3.2,3.2,0.13,-0.2,-0.2
GER-Bundesliga,2122,Arminia,Joakim Nilsson,SWE,DF,27,1994,30.4,2,5,3,60.0,0.16,0.1,0.4,0.67,15.6,0,0,0,0.4,0.4,0.09,1.6,1.6
GER-Bundesliga,2122,Arminia,Lennart-Marten Czyborra,GER,DF,22,1999,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2122,Arminia,Manuel Prietl,AUT,MF,29,1991,23.6,0,17,4,23.5,0.72,0.17,0.0,0.0,19.8,0,0,0,1.0,1.0,0.06,-1.0,-1.0
GER-Bundesliga,2122,Arminia,Masaya Okugawa,JPN,"MF,FW",25,1996,28.1,8,32,15,46.9,1.14,0.53,0.25,0.53,16.5,0,0,0,3.9,3.9,0.13,4.1,4.1
GER-Bundesliga,2122,Arminia,Mike van der Hoorn,NED,DF,28,1992,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2122,Arminia,Nathan de Medina,BEL,DF,23,1997,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,20.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
GER-Bundesliga,2122,Arminia,Patrick Wimmer,AUT,"FW,MF",20,2001,22.8,3,56,15,26.8,2.46,0.66,0.05,0.2,20.2,3,0,0,3.7,3.7,0.07,-0.7,-0.7
GER-Bundesliga,2122,Arminia,Robin Hack,GER,"FW,MF",22,1998,15.2,0,31,6,19.4,2.05,0.4,0.0,0.0,21.5,2,0,0,1.9,1.9,0.06,-1.9,-1.9
GER-Bundesliga,2122,Arminia,Sebastian Vasiliadis,GRE,MF,23,1997,13.3,0,12,2,16.7,0.91,0.15,0.0,0.0,25.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
GER-Bundesliga,2122,Arminia,Stefan Ortega,GER,GK,28,1992,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2122,Arminia,Stefanos Kapino,GRE,GK,27,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
