,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Mainz 05,Aymen Barkok,MAR,"MF,FW",25,1998,3.6,118,184,64.1,1842,639,64,90,71.1,39,59,66.1,9,20,45.0,0,0.3,0.6,-0.3,5,11,4,1,16
GER-Bundesliga,2324,Mainz 05,Brajan Gruda,GER,"MF,FW",19,2004,18.2,425,658,64.6,6601,2298,209,269,77.7,155,229,67.7,31,92,33.7,3,4.1,5.1,-1.1,43,31,31,3,71
GER-Bundesliga,2324,Mainz 05,Daniel Batz,GER,GK,32,1991,4.0,104,153,68.0,2854,2094,18,19,94.7,53,55,96.4,33,79,41.8,0,0.0,0.0,0.0,0,5,0,0,0
GER-Bundesliga,2324,Mainz 05,Danny da Costa,GER,DF,30,1993,9.2,317,470,67.4,5513,2576,144,177,81.4,126,193,65.3,37,69,53.6,1,1.2,1.3,-0.2,9,27,16,9,40
GER-Bundesliga,2324,Mainz 05,David Mamutovic,GER,"FW,DF",22,2000,0.1,7,10,70.0,96,45,4,6,66.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,0
GER-Bundesliga,2324,Mainz 05,Dominik Kohr,GER,"DF,MF",29,1994,24.3,876,1159,75.6,16488,5668,326,390,83.6,454,540,84.1,82,181,45.3,0,1.2,1.2,-1.2,15,87,15,5,99
GER-Bundesliga,2324,Mainz 05,Edimilson Fernandes,SUI,DF,27,1996,14.3,615,801,76.8,12814,5042,214,242,88.4,295,335,88.1,98,200,49.0,2,0.7,1.9,1.3,18,54,11,3,53
GER-Bundesliga,2324,Mainz 05,Jessic Ngankam,GER,"FW,MF",23,2000,2.0,13,24,54.2,176,18,5,10,50.0,6,11,54.5,0,0,,0,0.3,0.6,-0.3,4,0,0,0,1
GER-Bundesliga,2324,Mainz 05,Jonathan Burkardt,GER,"FW,MF",23,2000,17.1,266,394,67.5,3883,771,161,207,77.8,73,113,64.6,20,35,57.1,2,2.1,1.0,-0.1,15,20,8,5,28
GER-Bundesliga,2324,Mainz 05,Josuha Guilavogui,FRA,DF,32,1990,4.5,155,180,86.1,2781,1138,59,64,92.2,83,90,92.2,9,19,47.4,1,0.1,0.2,0.9,1,6,1,0,9
GER-Bundesliga,2324,Mainz 05,Karim Onisiwo,AUT,"FW,MF",31,1992,16.6,205,338,60.7,2977,710,117,166,70.5,52,88,59.1,19,31,61.3,3,1.3,1.3,1.7,16,19,9,5,27
