,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2223,Inter,Henrikh Mkhitaryan,ARM,MF,33,1989,31,1986,64,58.1,22.1,24,75,6,7,26,1,1.84,44,18,26,1.18,0.99,41.9,18.0,23.9,1.09,0.61
ITA-Serie A,2223,Inter,Joaquín Correa,ARG,FW,27,1994,26,950,37,27.8,10.6,12,61,0,14,16,3,1.77,13,12,1,0.09,-0.93,16.5,11.8,4.7,0.45,-0.53
ITA-Serie A,2223,Inter,Kristjan Asllani,ALB,MF,20,2002,20,592,30,17.3,6.6,5,69,1,15,16,18,2.05,9,10,-1,-0.15,-1.11,10.7,7.8,2.9,0.44,-0.47
ITA-Serie A,2223,Inter,Lautaro Martínez,ARG,FW,24,1997,38,2576,68,75.3,28.6,27,84,18,11,27,0,1.89,59,37,22,0.77,0.02,53.1,27.0,26.1,0.91,0.33
ITA-Serie A,2223,Inter,Lucien Agoume,FRA,MF,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
ITA-Serie A,2223,Inter,Marcelo Brozović,CRO,MF,29,1992,28,1770,63,51.8,19.7,19,83,11,9,22,0,1.79,35,27,8,0.41,-0.74,35.2,20.9,14.3,0.73,-0.22
ITA-Serie A,2223,Inter,Matteo Darmian,ITA,DF,32,1989,31,2025,65,59.2,22.5,24,80,10,7,16,5,1.84,30,22,8,0.36,-1.0,37.5,19.3,18.3,0.81,-0.05
ITA-Serie A,2223,Inter,Mattia Zanotti,ITA,DF,19,2003,2,27,14,0.8,0.3,0,,0,2,14,25,3.0,1,0,1,3.33,2.59,0.5,0.1,0.5,1.52,0.7
ITA-Serie A,2223,Inter,Milan Škriniar,SVK,DF,27,1995,21,1769,84,51.7,19.7,20,87,17,1,33,2,1.95,37,23,14,0.71,-0.11,32.8,17.6,15.2,0.77,-0.12
ITA-Serie A,2223,Inter,Nicolò Barella,ITA,MF,25,1997,35,2613,75,76.4,29.0,31,81,17,4,23,2,1.8,51,31,20,0.69,-0.31,53.1,27.3,25.7,0.89,0.24
ITA-Serie A,2223,Inter,Nikolaos Botis,GRE,GK,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ITA-Serie A,2223,Inter,Raoul Bellanova,ITA,DF,22,2000,18,496,28,14.5,5.5,3,73,0,15,18,20,2.0,10,8,2,0.36,-0.47,7.1,6.9,0.3,0.05,-0.92
ITA-Serie A,2223,Inter,Roberto Gagliardini,ITA,MF,28,1994,19,783,41,22.9,8.7,7,81,5,12,18,16,2.32,16,9,7,0.8,0.05,11.8,10.2,1.5,0.18,-0.85
ITA-Serie A,2223,Inter,Robin Gosens,GER,DF,28,1994,32,1184,37,34.6,13.2,11,73,2,21,18,3,1.88,17,15,2,0.15,-0.93,23.0,13.1,9.9,0.75,-0.12
ITA-Serie A,2223,Inter,Romelu Lukaku,BEL,FW,29,1993,25,1660,66,48.5,18.4,19,81,10,6,21,1,1.8,27,16,11,0.6,-0.32,33.9,18.3,15.6,0.84,0.03
ITA-Serie A,2223,Inter,Samir Handanović,SVN,GK,38,1984,14,1234,88,36.1,13.7,14,88,13,0,,21,1.93,32,18,14,1.02,0.4,25.2,13.8,11.4,0.83,0.0
ITA-Serie A,2223,Inter,Stefan de Vrij,NED,DF,30,1992,27,1945,72,56.9,21.6,22,85,18,5,15,11,1.74,41,25,16,0.74,-0.05,37.8,20.5,17.3,0.8,-0.07
ITA-Serie A,2223,Inter,Valentin Carboni,ARG,"MF,DF",17,2005,5,25,5,0.7,0.3,0,,0,5,5,23,0.8,1,1,0,0.0,-0.77,1.2,1.2,0.0,-0.05,-0.89
