,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,1,6,6,0.2,0.1,0,,0,1,6,0,1.0,0,0,0,0.0,-0.45,0.0,0.0,0.0,-0.45,-0.91
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,19,772,41,22.6,8.6,7,63,1,12,28,14,1.42,12,13,-1,-0.12,-0.73,11.4,11.3,0.0,0.0,-0.58
ITA-Serie A,2122,Atalanta,Andrea Oliveri,ITA,"DF,MF",18,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,31,2256,73,66.0,25.1,25,83,19,6,29,1,1.45,39,28,11,0.44,-0.03,41.0,29.8,11.2,0.45,-0.02
ITA-Serie A,2122,Atalanta,Bosko Sutalo,CRO,DF,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,34,2345,69,68.6,26.1,29,78,14,5,19,1,1.38,43,36,7,0.27,-0.57,43.8,31.9,11.9,0.46,0.02
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,24,1722,72,50.4,19.1,20,80,9,4,33,2,1.5,35,31,4,0.21,-0.48,35.2,26.2,9.0,0.47,0.03
ITA-Serie A,2122,Atalanta,Enrico Del Prato,ITA,"DF,MF",21,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA-Serie A,2122,Atalanta,Federico Zuccon,ITA,MF,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,1,37,37,1.1,0.4,0,,0,1,37,35,0.0,1,1,0,0.0,-0.45,0.4,0.6,-0.1,-0.29,-0.75
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,2,4,2,0.1,0.0,0,,0,2,2,9,3.0,1,0,1,22.5,22.08,0.1,0.0,0.1,2.41,1.96
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,18,763,42,22.3,8.5,9,69,2,9,16,14,1.33,12,16,-4,-0.47,-1.18,15.1,12.9,2.2,0.26,-0.24
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,21,1072,51,31.3,11.9,10,81,5,11,24,11,1.71,18,12,6,0.5,0.08,15.0,13.5,1.5,0.13,-0.47
ITA-Serie A,2122,Atalanta,Guillaume Philippe Renault,ITA,MF,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
