,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Cádiz,Salvi,ESP,"MF,FW",30,1991,15.5,212,360,58.9,2930,1025,123,157,78.3,59,99,59.6,11,49,22.4,1,1.2,0.9,-0.2,8,14,15,9,25
ESP-La Liga,2122,Cádiz,Santiago Arzamendia,PAR,MF,23,1998,5.2,105,170,61.8,1588,457,59,71,83.1,32,43,74.4,8,38,21.1,0,0.0,0.2,0.0,1,4,4,3,3
ESP-La Liga,2122,Cádiz,Tomás Alarcón,CHI,MF,22,1999,15.8,398,572,69.6,7977,2385,159,193,82.4,139,185,75.1,82,143,57.3,1,1.1,1.4,-0.1,14,41,7,4,55
ESP-La Liga,2122,Cádiz,Varazdat Haroyan,ARM,DF,28,1992,16.0,335,435,77.0,6533,2165,128,151,84.8,151,184,82.1,51,87,58.6,0,0.1,0.2,-0.1,4,14,1,0,22
ESP-La Liga,2122,Cádiz,Víctor Chust,ESP,DF,21,2000,20.3,677,807,83.9,13732,4403,222,243,91.4,332,371,89.5,108,162,66.7,0,0.0,0.1,0.0,0,39,0,0,47
ESP-La Liga,2122,Cádiz,Álex Fernández,ESP,MF,28,1992,22.8,807,1042,77.4,14636,4344,360,400,90.0,312,381,81.9,105,192,54.7,2,1.3,1.7,0.7,21,83,15,7,122
ESP-La Liga,2122,Cádiz,Álvaro Bastida,ESP,MF,17,2004,2.2,41,53,77.4,681,108,21,24,87.5,14,16,87.5,5,8,62.5,0,0.0,0.0,0.0,0,2,0,0,5
ESP-La Liga,2122,Cádiz,Álvaro Jiménez,ESP,"MF,FW",26,1995,2.6,43,72,59.7,688,267,26,32,81.3,9,19,47.4,6,13,46.2,0,0.1,0.2,-0.1,2,2,4,2,5
ESP-La Liga,2122,Cádiz,Álvaro Negredo,ESP,FW,35,1985,24.0,321,542,59.2,5477,1244,167,249,67.1,87,147,59.2,44,68,64.7,2,2.7,2.8,-0.7,22,38,9,3,50
ESP-La Liga,2122,Elche,Antonio Barragán,ESP,DF,34,1987,11.3,423,542,78.0,7372,3246,182,206,88.3,182,223,81.6,42,87,48.3,0,0.1,0.2,-0.1,2,27,4,2,41
