,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2122,Udinese,Bram Nuytinck,NED,DF,31,1990,22.6,1,10,3,30.0,0.44,0.13,0.1,0.33,8.9,0,0,0,1.2,1.2,0.12,-0.2,-0.2
ITA-Serie A,2122,Udinese,Brandon Soppy,FRA,"DF,MF",19,2002,8.6,0,6,2,33.3,0.69,0.23,0.0,0.0,12.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ITA-Serie A,2122,Udinese,Daniele Padelli,ITA,GK,35,1985,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Udinese,Destiny Udogie,ITA,DF,18,2002,27.5,5,27,12,44.4,0.98,0.44,0.19,0.42,13.2,0,0,0,4.4,4.4,0.16,0.6,0.6
ITA-Serie A,2122,Udinese,Fernando Forestieri,ITA,"FW,MF",31,1990,0.6,2,3,2,66.7,4.66,3.1,0.67,1.0,14.1,1,0,0,1.1,1.1,0.37,0.9,0.9
ITA-Serie A,2122,Udinese,Filip Benković,CRO,"DF,FW",24,1997,0.1,0,1,1,100.0,11.25,11.25,0.0,0.0,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ITA-Serie A,2122,Udinese,Gerard Deulofeu,ESP,"FW,MF",27,1994,29.1,13,77,33,42.9,2.65,1.14,0.16,0.36,17.8,13,1,1,6.9,6.1,0.08,6.1,5.9
ITA-Serie A,2122,Udinese,Ignacio Pussetto,ARG,"FW,MF",25,1995,13.4,4,31,12,38.7,2.32,0.9,0.1,0.25,17.6,0,1,1,3.8,3.0,0.1,0.2,0.0
ITA-Serie A,2122,Udinese,Ilija Nestorovski,MKD,FW,31,1990,2.1,1,5,1,20.0,2.39,0.48,0.2,1.0,13.6,0,0,0,0.8,0.8,0.16,0.2,0.2
ITA-Serie A,2122,Udinese,Isaac Success,NGA,"FW,MF",25,1996,10.1,2,25,12,48.0,2.47,1.19,0.08,0.17,17.3,0,0,0,2.1,2.1,0.08,-0.1,-0.1
ITA-Serie A,2122,Udinese,Jean-Victor Makengo,FRA,MF,23,1998,26.1,1,32,10,31.3,1.23,0.38,0.03,0.1,21.2,0,0,0,3.0,3.0,0.09,-2.0,-2.0
ITA-Serie A,2122,Udinese,Jens Stryger Larsen,DEN,DF,30,1991,7.6,0,9,4,44.4,1.18,0.53,0.0,0.0,18.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5
ITA-Serie A,2122,Udinese,Lazar Samardzic,SRB,"MF,FW",19,2002,5.4,2,17,6,35.3,3.12,1.1,0.12,0.33,24.0,1,0,0,1.0,1.0,0.06,1.0,1.0
ITA-Serie A,2122,Udinese,Marco Silvestri,ITA,GK,30,1991,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Udinese,Marvin Zeegelaar,NED,DF,30,1990,7.1,0,3,0,0.0,0.42,0.0,0.0,,12.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ITA-Serie A,2122,Udinese,Mato Jajalo,BIH,MF,33,1988,7.0,0,5,0,0.0,0.72,0.0,0.0,,21.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ITA-Serie A,2122,Udinese,Nahuel Molina,ARG,DF,23,1998,29.3,7,44,16,36.4,1.5,0.55,0.16,0.44,20.5,2,0,0,3.8,3.8,0.09,3.2,3.2
ITA-Serie A,2122,Udinese,Nehuén Pérez,ARG,DF,21,2000,18.8,0,10,1,10.0,0.53,0.05,0.0,0.0,10.5,0,0,0,1.1,1.1,0.12,-1.1,-1.1
ITA-Serie A,2122,Udinese,Pablo Marí,ESP,DF,27,1993,14.9,2,10,5,50.0,0.67,0.34,0.2,0.4,11.5,0,0,0,0.7,0.7,0.07,1.3,1.3
ITA-Serie A,2122,Udinese,Riccardo Pinzi,ITA,FW,17,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Udinese,Roberto Pereyra,ARG,"MF,FW",30,1991,19.9,3,28,6,21.4,1.4,0.3,0.07,0.33,17.2,1,1,2,4.7,3.1,0.11,-1.7,-1.1
ITA-Serie A,2122,Udinese,Rodrigo Becão,BRA,DF,25,1996,34.8,2,19,5,26.3,0.55,0.14,0.11,0.4,13.5,0,0,0,1.0,1.0,0.05,1.0,1.0
